tracking_id	FPKM_WT_ZT12_seedling_11	TPM_WT_ZT12_seedling_11	Raw_WT_ZT12_seedling_11
AT1G01010	6.53672	7.27872468	110
AT1G01020	11.1771	12.44584954	155
AT1G01030	3.12685	3.481789072	52
AT1G01040	6.87302	7.653199204	456
AT1G01046	2.22531	2.477912289	1
AT1G01050	111.033	123.6367226	895
AT1G01060	0.700985	0.780556123	19
AT1G01070	6.12656	6.822006063	67
AT1G01073	0	0	0
AT1G01080	124.507	138.6402009	1347
AT1G01090	143.761	160.079786	2212
AT1G01100	639.135	711.6853251	3129
AT1G01110	4.91288	5.470557237	84
AT1G01115	0	0	0
AT1G01120	24.9243	27.75353962	410
AT1G01130	6.40278	7.129580708	26
AT1G01140	19.9238	22.18541635	341
AT1G01150	0.174049	0.193805877	2
AT1G01160	33.0625	36.81553359	347
AT1G01170	121.511	135.304115	327
AT1G01180	6.8523	7.630127208	70
AT1G01183	0	0	0
AT1G01190	4.50886	5.020675593	89
AT1G01200	6.98991	7.783357774	64
AT1G01210	32.8965	36.63069038	180
AT1G01220	11.7609	13.09591861	418
AT1G01225	10.842	12.07271123	91
AT1G01230	32.669	36.3773661	206
AT1G01240	4.33882	4.831333791	54
AT1G01250	3.08179	3.431614163	26
AT1G01260	8.95153	9.96764774	223
AT1G01270	0	0	0
AT1G01280	0	0	0
AT1G01290	15.8072	17.60152749	153
AT1G01300	71.3582	79.458305	1080
AT1G01305	0	0	0
AT1G01310	0.109616	0.122058874	1
AT1G01320	95.349	106.17238	6160
AT1G01340	4.39091	4.889336698	97
AT1G01350	16.4104	18.27319871	229
AT1G01355	0	0	0
AT1G01360	11.2479	12.52468628	98
AT1G01370	12.5468	13.97102871	106
AT1G01380	2.4429	2.720201649	10
AT1G01390	7.27868	8.10490701	111
AT1G01400	0	0	0
AT1G01410	0	0	0
AT1G01420	10.1403	11.29135895	138
AT1G01430	36.6873	40.85179661	507
AT1G01440	9.27051	10.32283621	233
AT1G01448	3.06142	3.408931897	44
AT1G01450	2.94029	3.27405203	0
AT1G01453	1.25545	1.397960277	13
AT1G01460	0	0	0
AT1G01470	119.077	132.5938236	698
AT1G01471	0	0	0
AT1G01480	0.704374	0.784329819	12
AT1G01490	35.1261	39.11337964	351
AT1G01500	13.1765	14.67220804	177
AT1G01510	21.7342	24.20132084	504
AT1G01520	0.552033	0.614696089	4
AT1G01530	0	0	0
AT1G01540	35.036	39.01305209	665
AT1G01550	94.8435	105.609499	1129
AT1G01560	0.508243	0.565935342	6
AT1G01570	3.6895	4.108307332	49
AT1G01580	3.33948	3.718555406	73
AT1G01590	0	0	1
AT1G01600	8.64031	9.621100129	186
AT1G01610	31.8614	35.47809276	506
AT1G01620	220.501	245.5307969	2492
AT1G01630	53.2179	59.25883962	615
AT1G01640	6.24261	6.951229282	52
AT1G01650	17.4485	19.42913687	350
AT1G01660	0.638443	0.710914774	20
AT1G01670	0.87965	0.979501977	13
AT1G01680	0	0	0
AT1G01690	5.28883	5.889182564	107
AT1G01695	0.173957	0.193703434	2
AT1G01700	1.35375	1.507418634	25
AT1G01710	15.9186	17.72557287	393
AT1G01720	34.4424	38.3520706	412
