Gene	ZT2	ZT4	ZT6	ZT8	ZT10	ZT12	ZT14	ZT16	ZT18	ZT20	ZT22	ZT0
AT1G08930	0.099301948	0.127209031	0.305883495	0.425249459	0.245984037	0.141672436	0.166358468	0.136097987	0.134865283	0.042978596	0.38920166	0.330020498
AT1G30750	0.089265963	0.079504401	0.177277838	0.185016977	0.060897022	0.072328909	0.169454311	0.124488841	0.154586311	0.195480159	0.091587291	0.118934861
AT2G28810	0.066412331	0.035205101	0.080596077	0.086598053	0.004602264	0.002890387	0.046513734	0.070499737	0.103117347	0.057883259	0.185086383	0.231455965
AT2G46830	0.041177216	0.018089157	0.097891897	NA	NA	NA	NA	NA	NA	0.296151423	0.521702005	0.192401271
AT3G05880	0.093740282	0.024787197	0.037355878	0.01881279	0.041218607	0.080536334	0.065421699	0.041009643	0.038970112	0.03044074	0.030159149	0.014601865
AT4G27410	0.372828576	0.194498374	NA	0.081015189	NA	0.06757522	0.023092341	0.073041319	0.318230982	0.166124456	0.20754719	0.117657338
AT5G15970	0.332821425	0.228099989	0.203349997	0.183648779	0.197719443	0.26389043	0.453250697	0.333969481	0.102222889	0.239198657	0.20550868	0.212688325
AT5G24470	NA	0.059377799	0.064366653	0.069269669	0.037107154	0.00541626	0.177984195	0.100449331	0.15755295	0.079691727	0.307378332	0.2325073
AT5G47990	2.702519836	1.518729366	0.840902845	1.075604847	0.46441786	0.18704857	0.54535502	0.845815619	2.794993651	1.105769952	1.44652261	1.134740795
AT5G52310	0.180948247	0.41705176	0.414654635	0.71862821	0.485184957	0.236592165	0.057744593	0.072053629	0.150194137	0.175867272	NA	NA
