Sample	type	ZT	seedling
RT_WT_ZT2_seedling1	RT	ZT2	seedling1
RT_WT_ZT2_seedling2	RT	ZT2	seedling2
RT_WT_ZT2_seedling3	RT	ZT2	seedling3
RT_WT_ZT2_seedling4	RT	ZT2	seedling4
RT_WT_ZT2_seedling5	RT	ZT2	seedling5
RT_WT_ZT2_seedling6	RT	ZT2	seedling6
RT_WT_ZT2_seedling7	RT	ZT2	seedling7
RT_WT_ZT2_seedling8	RT	ZT2	seedling8
RT_WT_ZT2_seedling9	RT	ZT2	seedling9
RT_WT_ZT2_seedling10	RT	ZT2	seedling10
RT_WT_ZT2_seedling11	RT	ZT2	seedling11
RT_WT_ZT2_seedling12	RT	ZT2	seedling12
RT_WT_ZT2_seedling13	RT	ZT2	seedling13
RT_WT_ZT2_seedling14	RT	ZT2	seedling14
RT_WT_ZT2_seedling15	RT	ZT2	seedling15
RT_WT_ZT2_seedling16	RT	ZT2	seedling16
RT_WT_ZT4_seedling1	RT	ZT4	seedling1
RT_WT_ZT4_seedling2	RT	ZT4	seedling2
RT_WT_ZT4_seedling3	RT	ZT4	seedling3
RT_WT_ZT4_seedling4	RT	ZT4	seedling4
RT_WT_ZT4_seedling5	RT	ZT4	seedling5
RT_WT_ZT4_seedling6	RT	ZT4	seedling6
RT_WT_ZT4_seedling7	RT	ZT4	seedling7
RT_WT_ZT4_seedling8	RT	ZT4	seedling8
RT_WT_ZT4_seedling9	RT	ZT4	seedling9
RT_WT_ZT4_seedling10	RT	ZT4	seedling10
RT_WT_ZT4_seedling11	RT	ZT4	seedling11
RT_WT_ZT4_seedling12	RT	ZT4	seedling12
RT_WT_ZT4_seedling13	RT	ZT4	seedling13
RT_WT_ZT4_seedling14	RT	ZT4	seedling14
RT_WT_ZT4_seedling15	RT	ZT4	seedling15
RT_WT_ZT4_seedling16	RT	ZT4	seedling16
RT_WT_ZT6_seedling1	RT	ZT6	seedling1
RT_WT_ZT6_seedling2	RT	ZT6	seedling2
RT_WT_ZT6_seedling3	RT	ZT6	seedling3
RT_WT_ZT6_seedling4	RT	ZT6	seedling4
RT_WT_ZT6_seedling5	RT	ZT6	seedling5
RT_WT_ZT6_seedling6	RT	ZT6	seedling6
RT_WT_ZT6_seedling7	RT	ZT6	seedling7
RT_WT_ZT6_seedling8	RT	ZT6	seedling8
RT_WT_ZT6_seedling9	RT	ZT6	seedling9
RT_WT_ZT6_seedling10	RT	ZT6	seedling10
RT_WT_ZT6_seedling11	RT	ZT6	seedling11
RT_WT_ZT6_seedling12	RT	ZT6	seedling12
RT_WT_ZT6_seedling13	RT	ZT6	seedling13
RT_WT_ZT6_seedling14	RT	ZT6	seedling14
RT_WT_ZT6_seedling15	RT	ZT6	seedling15
RT_WT_ZT6_seedling16	RT	ZT6	seedling16
RT_WT_ZT8_seedling1	RT	ZT8	seedling1
RT_WT_ZT8_seedling2	RT	ZT8	seedling2
RT_WT_ZT8_seedling3	RT	ZT8	seedling3
RT_WT_ZT8_seedling4	RT	ZT8	seedling4
RT_WT_ZT8_seedling5	RT	ZT8	seedling5
RT_WT_ZT8_seedling6	RT	ZT8	seedling6
RT_WT_ZT8_seedling7	RT	ZT8	seedling7
RT_WT_ZT8_seedling8	RT	ZT8	seedling8
RT_WT_ZT8_seedling9	RT	ZT8	seedling9
RT_WT_ZT8_seedling10	RT	ZT8	seedling10
RT_WT_ZT8_seedling11	RT	ZT8	seedling11
RT_WT_ZT8_seedling12	RT	ZT8	seedling12
RT_WT_ZT8_seedling13	RT	ZT8	seedling13
RT_WT_ZT8_seedling14	RT	ZT8	seedling14
RT_WT_ZT8_seedling15	RT	ZT8	seedling15
RT_WT_ZT8_seedling16	RT	ZT8	seedling16
RT_WT_ZT10_seedling1	RT	ZT10	seedling1
RT_WT_ZT10_seedling2	RT	ZT10	seedling2
RT_WT_ZT10_seedling3	RT	ZT10	seedling3
RT_WT_ZT10_seedling4	RT	ZT10	seedling4
RT_WT_ZT10_seedling5	RT	ZT10	seedling5
RT_WT_ZT10_seedling6	RT	ZT10	seedling6
RT_WT_ZT10_seedling7	RT	ZT10	seedling7
RT_WT_ZT10_seedling8	RT	ZT10	seedling8
RT_WT_ZT10_seedling9	RT	ZT10	seedling9
RT_WT_ZT10_seedling10	RT	ZT10	seedling10
RT_WT_ZT10_seedling11	RT	ZT10	seedling11
RT_WT_ZT10_seedling12	RT	ZT10	seedling12
RT_WT_ZT10_seedling13	RT	ZT10	seedling13
RT_WT_ZT10_seedling14	RT	ZT10	seedling14
RT_WT_ZT10_seedling15	RT	ZT10	seedling15
RT_WT_ZT10_seedling16	RT	ZT10	seedling16
RT_WT_ZT12_seedling1	RT	ZT12	seedling1
RT_WT_ZT12_seedling2	RT	ZT12	seedling2
RT_WT_ZT12_seedling3	RT	ZT12	seedling3
RT_WT_ZT12_seedling4	RT	ZT12	seedling4
RT_WT_ZT12_seedling5	RT	ZT12	seedling5
RT_WT_ZT12_seedling6	RT	ZT12	seedling6
RT_WT_ZT12_seedling7	RT	ZT12	seedling7
RT_WT_ZT12_seedling8	RT	ZT12	seedling8
RT_WT_ZT12_seedling9	RT	ZT12	seedling9
RT_WT_ZT12_seedling10	RT	ZT12	seedling10
RT_WT_ZT12_seedling11	RT	ZT12	seedling11
RT_WT_ZT12_seedling12	RT	ZT12	seedling12
RT_WT_ZT12_seedling13	RT	ZT12	seedling13
RT_WT_ZT12_seedling14	RT	ZT12	seedling14
RT_WT_ZT12_seedling15	RT	ZT12	seedling15
RT_WT_ZT12_seedling16	RT	ZT12	seedling16
RT_WT_ZT14_seedling1	RT	ZT14	seedling1
RT_WT_ZT14_seedling2	RT	ZT14	seedling2
RT_WT_ZT14_seedling3	RT	ZT14	seedling3
RT_WT_ZT14_seedling4	RT	ZT14	seedling4
RT_WT_ZT14_seedling5	RT	ZT14	seedling5
RT_WT_ZT14_seedling6	RT	ZT14	seedling6
RT_WT_ZT14_seedling7	RT	ZT14	seedling7
RT_WT_ZT14_seedling8	RT	ZT14	seedling8
RT_WT_ZT14_seedling9	RT	ZT14	seedling9
RT_WT_ZT14_seedling10	RT	ZT14	seedling10
RT_WT_ZT14_seedling11	RT	ZT14	seedling11
RT_WT_ZT14_seedling12	RT	ZT14	seedling12
RT_WT_ZT14_seedling13	RT	ZT14	seedling13
RT_WT_ZT14_seedling14	RT	ZT14	seedling14
RT_WT_ZT14_seedling15	RT	ZT14	seedling15
RT_WT_ZT14_seedling16	RT	ZT14	seedling16
RT_WT_ZT16_seedling1	RT	ZT16	seedling1
RT_WT_ZT16_seedling2	RT	ZT16	seedling2
RT_WT_ZT16_seedling3	RT	ZT16	seedling3
RT_WT_ZT16_seedling4	RT	ZT16	seedling4
RT_WT_ZT16_seedling5	RT	ZT16	seedling5
RT_WT_ZT16_seedling6	RT	ZT16	seedling6
RT_WT_ZT16_seedling7	RT	ZT16	seedling7
RT_WT_ZT16_seedling8	RT	ZT16	seedling8
RT_WT_ZT16_seedling9	RT	ZT16	seedling9
RT_WT_ZT16_seedling10	RT	ZT16	seedling10
RT_WT_ZT16_seedling11	RT	ZT16	seedling11
RT_WT_ZT16_seedling12	RT	ZT16	seedling12
RT_WT_ZT16_seedling13	RT	ZT16	seedling13
RT_WT_ZT16_seedling14	RT	ZT16	seedling14
RT_WT_ZT16_seedling15	RT	ZT16	seedling15
RT_WT_ZT16_seedling16	RT	ZT16	seedling16
RT_WT_ZT18_seedling1	RT	ZT18	seedling1
RT_WT_ZT18_seedling2	RT	ZT18	seedling2
RT_WT_ZT18_seedling3	RT	ZT18	seedling3
RT_WT_ZT18_seedling4	RT	ZT18	seedling4
RT_WT_ZT18_seedling5	RT	ZT18	seedling5
RT_WT_ZT18_seedling6	RT	ZT18	seedling6
RT_WT_ZT18_seedling7	RT	ZT18	seedling7
RT_WT_ZT18_seedling8	RT	ZT18	seedling8
RT_WT_ZT18_seedling9	RT	ZT18	seedling9
RT_WT_ZT18_seedling10	RT	ZT18	seedling10
RT_WT_ZT18_seedling11	RT	ZT18	seedling11
RT_WT_ZT18_seedling12	RT	ZT18	seedling12
RT_WT_ZT18_seedling13	RT	ZT18	seedling13
RT_WT_ZT18_seedling14	RT	ZT18	seedling14
RT_WT_ZT18_seedling15	RT	ZT18	seedling15
RT_WT_ZT18_seedling16	RT	ZT18	seedling16
RT_WT_ZT20_seedling1	RT	ZT20	seedling1
RT_WT_ZT20_seedling2	RT	ZT20	seedling2
RT_WT_ZT20_seedling3	RT	ZT20	seedling3
RT_WT_ZT20_seedling4	RT	ZT20	seedling4
RT_WT_ZT20_seedling5	RT	ZT20	seedling5
RT_WT_ZT20_seedling6	RT	ZT20	seedling6
RT_WT_ZT20_seedling7	RT	ZT20	seedling7
RT_WT_ZT20_seedling8	RT	ZT20	seedling8
RT_WT_ZT20_seedling9	RT	ZT20	seedling9
RT_WT_ZT20_seedling10	RT	ZT20	seedling10
RT_WT_ZT20_seedling11	RT	ZT20	seedling11
RT_WT_ZT20_seedling12	RT	ZT20	seedling12
RT_WT_ZT20_seedling13	RT	ZT20	seedling13
RT_WT_ZT20_seedling14	RT	ZT20	seedling14
RT_WT_ZT20_seedling15	RT	ZT20	seedling15
RT_WT_ZT20_seedling16	RT	ZT20	seedling16
RT_WT_ZT22_seedling1	RT	ZT22	seedling1
RT_WT_ZT22_seedling2	RT	ZT22	seedling2
RT_WT_ZT22_seedling3	RT	ZT22	seedling3
RT_WT_ZT22_seedling4	RT	ZT22	seedling4
RT_WT_ZT22_seedling5	RT	ZT22	seedling5
RT_WT_ZT22_seedling6	RT	ZT22	seedling6
RT_WT_ZT22_seedling7	RT	ZT22	seedling7
RT_WT_ZT22_seedling8	RT	ZT22	seedling8
RT_WT_ZT22_seedling9	RT	ZT22	seedling9
