Sample	RT_WT_ZT2_seedling1	RT_WT_ZT2_seedling2	RT_WT_ZT2_seedling3	RT_WT_ZT2_seedling4	RT_WT_ZT2_seedling5	RT_WT_ZT2_seedling6	RT_WT_ZT2_seedling7	RT_WT_ZT2_seedling8	RT_WT_ZT2_seedling9	RT_WT_ZT2_seedling10	RT_WT_ZT2_seedling11	RT_WT_ZT2_seedling12	RT_WT_ZT2_seedling13	RT_WT_ZT2_seedling14	RT_WT_ZT2_seedling15	RT_WT_ZT2_seedling16	RT_WT_ZT4_seedling1	RT_WT_ZT4_seedling2	RT_WT_ZT4_seedling3	RT_WT_ZT4_seedling4	RT_WT_ZT4_seedling5	RT_WT_ZT4_seedling6	RT_WT_ZT4_seedling7	RT_WT_ZT4_seedling8	RT_WT_ZT4_seedling9	RT_WT_ZT4_seedling10	RT_WT_ZT4_seedling11	RT_WT_ZT4_seedling12	RT_WT_ZT4_seedling13	RT_WT_ZT4_seedling14	RT_WT_ZT4_seedling15	RT_WT_ZT4_seedling16	RT_WT_ZT6_seedling1	RT_WT_ZT6_seedling2	RT_WT_ZT6_seedling3	RT_WT_ZT6_seedling4	RT_WT_ZT6_seedling5	RT_WT_ZT6_seedling6	RT_WT_ZT6_seedling7	RT_WT_ZT6_seedling8	RT_WT_ZT6_seedling9	RT_WT_ZT6_seedling10	RT_WT_ZT6_seedling11	RT_WT_ZT6_seedling12	RT_WT_ZT6_seedling13	RT_WT_ZT6_seedling14	RT_WT_ZT6_seedling15	RT_WT_ZT6_seedling16	RT_WT_ZT8_seedling1	RT_WT_ZT8_seedling2	RT_WT_ZT8_seedling3	RT_WT_ZT8_seedling4	RT_WT_ZT8_seedling5	RT_WT_ZT8_seedling6	RT_WT_ZT8_seedling7	RT_WT_ZT8_seedling8	RT_WT_ZT8_seedling9	RT_WT_ZT8_seedling10	RT_WT_ZT8_seedling11	RT_WT_ZT8_seedling12	RT_WT_ZT8_seedling13	RT_WT_ZT8_seedling14	RT_WT_ZT8_seedling15	RT_WT_ZT8_seedling16	RT_WT_ZT10_seedling1	RT_WT_ZT10_seedling2	RT_WT_ZT10_seedling3	RT_WT_ZT10_seedling4	RT_WT_ZT10_seedling5	RT_WT_ZT10_seedling6	RT_WT_ZT10_seedling7	RT_WT_ZT10_seedling8	RT_WT_ZT10_seedling9	RT_WT_ZT10_seedling10	RT_WT_ZT10_seedling11	RT_WT_ZT10_seedling12	RT_WT_ZT10_seedling13	RT_WT_ZT10_seedling14	RT_WT_ZT10_seedling15	RT_WT_ZT10_seedling16	RT_WT_ZT12_seedling1	RT_WT_ZT12_seedling2	RT_WT_ZT12_seedling3	RT_WT_ZT12_seedling4	RT_WT_ZT12_seedling5	RT_WT_ZT12_seedling6	RT_WT_ZT12_seedling7	RT_WT_ZT12_seedling8	RT_WT_ZT12_seedling9	RT_WT_ZT12_seedling10	RT_WT_ZT12_seedling11	RT_WT_ZT12_seedling12	RT_WT_ZT12_seedling13	RT_WT_ZT12_seedling14	RT_WT_ZT12_seedling15	RT_WT_ZT12_seedling16	RT_WT_ZT14_seedling1	RT_WT_ZT14_seedling2	RT_WT_ZT14_seedling3	RT_WT_ZT14_seedling4	RT_WT_ZT14_seedling5	RT_WT_ZT14_seedling6	RT_WT_ZT14_seedling7	RT_WT_ZT14_seedling8	RT_WT_ZT14_seedling9	RT_WT_ZT14_seedling10	RT_WT_ZT14_seedling11	RT_WT_ZT14_seedling12	RT_WT_ZT14_seedling13	RT_WT_ZT14_seedling14	RT_WT_ZT14_seedling15	RT_WT_ZT14_seedling16	RT_WT_ZT16_seedling1	RT_WT_ZT16_seedling2	RT_WT_ZT16_seedling3	RT_WT_ZT16_seedling4	RT_WT_ZT16_seedling5	RT_WT_ZT16_seedling6	RT_WT_ZT16_seedling7	RT_WT_ZT16_seedling8	RT_WT_ZT16_seedling9	RT_WT_ZT16_seedling10	RT_WT_ZT16_seedling11	RT_WT_ZT16_seedling12	RT_WT_ZT16_seedling13	RT_WT_ZT16_seedling14	RT_WT_ZT16_seedling15	RT_WT_ZT16_seedling16	RT_WT_ZT18_seedling1	RT_WT_ZT18_seedling2	RT_WT_ZT18_seedling3	RT_WT_ZT18_seedling4	RT_WT_ZT18_seedling5	RT_WT_ZT18_seedling6	RT_WT_ZT18_seedling7	RT_WT_ZT18_seedling8	RT_WT_ZT18_seedling9	RT_WT_ZT18_seedling10	RT_WT_ZT18_seedling11	RT_WT_ZT18_seedling12	RT_WT_ZT18_seedling13	RT_WT_ZT18_seedling14	RT_WT_ZT18_seedling15	RT_WT_ZT18_seedling16	RT_WT_ZT20_seedling1	RT_WT_ZT20_seedling2	RT_WT_ZT20_seedling3	RT_WT_ZT20_seedling4	RT_WT_ZT20_seedling5	RT_WT_ZT20_seedling6	RT_WT_ZT20_seedling7	RT_WT_ZT20_seedling8	RT_WT_ZT20_seedling9	RT_WT_ZT20_seedling10	RT_WT_ZT20_seedling11	RT_WT_ZT20_seedling12	RT_WT_ZT20_seedling13	RT_WT_ZT20_seedling14	RT_WT_ZT20_seedling15	RT_WT_ZT20_seedling16	RT_WT_ZT22_seedling1	RT_WT_ZT22_seedling2	RT_WT_ZT22_seedling3	RT_WT_ZT22_seedling4	RT_WT_ZT22_seedling5	RT_WT_ZT22_seedling6	RT_WT_ZT22_seedling7	RT_WT_ZT22_seedling8	RT_WT_ZT22_seedling9	RT_WT_ZT22_seedling10	RT_WT_ZT22_seedling11	RT_WT_ZT22_seedling12	RT_WT_ZT22_seedling13	RT_WT_ZT22_seedling14	RT_WT_ZT22_seedling15	RT_WT_ZT22_seedling16	RT_WT_ZT24_seedling1	RT_WT_ZT24_seedling2	RT_WT_ZT24_seedling3	RT_WT_ZT24_seedling4	RT_WT_ZT24_seedling5	RT_WT_ZT24_seedling6	RT_WT_ZT24_seedling7	RT_WT_ZT24_seedling8	RT_WT_ZT24_seedling9	RT_WT_ZT24_seedling10	RT_WT_ZT24_seedling11	RT_WT_ZT24_seedling12	RT_WT_ZT24_seedling13	RT_WT_ZT24_seedling14	RT_WT_ZT24_seedling15	RT_WT_ZT24_seedling16
AT2G28810	37.54432259	30.28481842	29.86787838	28.22411012	37.84916383	27.01189326	28.25673473	31.20826372	18.4496668	15.30066929	17.88307416	20.30630991	20.8290171	20.28286468	21.71353716	23.89863294	33.17879356	31.71711235	31.35281024	48.35264336	37.19893785	35.51909348	34.07219192	39.0032613	26.7634004	30.67212443	29.08472026	27.29420661	26.8563162	26.7016352	23.78845257	26.91843921	48.52051157	22.40149105	43.62821438	30.21492641	36.01492155	37.15598876	31.71711235	36.8993336	28.75065375	22.84578626	21.61343078	20.16604398	34.7881211	22.74045985	18.4496668	25.94149148	42.77975128	31.57088628	42.09342091	47.57690515	38.68912484	50.69797399	39.50206559	42.04482076	23.21828525	21.26667902	17.63687259	23.8710401	27.07437614	28.9172046	26.51719353	28.28939705	22.68797888	22.37562677	23.73355302	22.76674584	23.89863294	18.81558434	23.65144117	23.24512357	NA	NA	NA	NA	NA	NA	NA	NA	22.22106703	22.37562677	20.44755146	22.53126157	19.21093977	21.16863281	22.22106703	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.79433656	28.85046879	28.19152318	30.81418772	23.84347911	29.79894859	22.04209616	24.120527	43.52752816	33.52555994	35.8488812	40.37870834	33.71977154	41.03708044	45.58612443	29.55894465	21.04671046	20.51854022	22.71420421	24.40079402	25.82189288	27.13700355	21.96583631	25.26128616	43.9824538	32.49598386	36.6021424	48.68896259	31.10029133	29.42266843	36.22355386	29.42266843	23.73355302	22.0930831	21.68846718	NA	21.02241038	19.27763532	25.31971961	22.55730574	42.97789316	46.32940309	36.09822989	38.95822898	47.08480087	45.21896888	42.82920095	43.57784219	24.28829853	26.39494076	24.59891634	24.17632168	29.11833966	25.11579186	27.2312164	33.02582867	41.94778874	34.82833314	44.28837596	33.68083942	46.4365705	46.86772483	31.31661097	28.35483501	27.38896524	26.7634004	22.45330932	25.5843473	22.24675265	29.73017788	29.45667847	24.31637369	56.70967002	33.06400365	45.27123807	75.52362928	66.05165735	68.61836552	44.95852678	48.80158804	23.5696134	20.56600292	18.34340454	23.13795609	16.89888541	19.10029289	25.76230051	30.35487211	64.61764153	36.47550861	62.34446268	61.62837545	42.33726562	33.17879356	60.08180248	24.31637369
AT5G47990	0.24607833	1.99150098	0.374712547	0.632376732	4.786118741	2.588631348	14.89947429	0.287278684	1.457864049	1.233014293	0.179309379	1.832554608	0.081740197	0.192401176	0.110633192	3.711981507	19.23314594	12.27107319	6.093155348	11.59573896	4.057308088	0.256528234	4.31847775	0.334989904	0.191957148	0.645664311	0.576552088	3.250187293	0.106864619	1.886252557	0.12576969	4.769560028	0.260109234	6.214002649	0.67230581	7.929278086	0.367001074	0.531763327	3.656650791	2.959847522	0.93014198	3.205441004	3.40390205	4.268875802	0.302258788	1.858136117	1.917007777	0.277492918	10.62106249	7.78406014	1.010817717	1.048884768	0.454974057	0.608722328	5.171285142	0.610130401	1.701951025	1.471400027	1.186892706	3.183299406	0.555627351	0.2295992	5.838196852	4.601772057	2.855723282	4.094979387	4.920674854	0.641204382	2.040405917	0.975258241	1.112539215	0.985451101	NA	NA	NA	NA	NA	NA	NA	NA	19.07824011	26.24291709	9.214182608	12.94081155	11.82572058	8.189958774	10.01337347	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.551152268	4.881043209	5.600372762	0.908897508	6.425711417	6.114309251	6.477884999	5.926537695	1.79484118	1.115112699	3.451418752	2.122144443	1.27061139	0.28169181	2.199521225	0.729774607	1.719738875	0.748559823	0.366577342	5.988478586	0.322459421	0.483701703	2.646079101	1.792768895	2.723615137	1.346165875	1.717753302	0.567302263	1.422921615	0.275894676	0.258611115	2.107485721	0.245794213	0.271468402	0.328095912	NA	11.11053351	0.450268104	3.73780038	0.704915804	0.246932652	0.154661876	2.532430816	0.666121009	1.533884149	0.186277181	2.373785413	0.074783105	0.239625972	3.511748489	0.192179034	0.167108403	0.363624889	3.212855708	0.260710909	1.010817717	1.539209409	0.745970003	2.661407681	0.41481008	0.172005053	0.252412662	2.30620835	4.852930469	0.156278316	0.156639813	2.19191146	3.540262142	1.764006883	0.47869861	0.214719163	0.386138289	0.010229335	0.110889104	0.312917921	1.126767239	0.94094971	0.255345556	0.471018683	0.297066163	0.141825566	2.295575989	0.723896923	0.482585405	0.865850303	2.780844081	0.049624264	1.551707024	0.41004558	0.009835332	0.087505824	0.855905164	0.157547219	0.151654077	0.769604704	0.525048594
AT2G46830	649.8019171	620.4579047	746.4263932	671.9404276	755.9722793	676.6141429	699.666136	669.6156904	379.7368484	432.1902921	456.3054863	468.0513013	545.1550708	773.6422937	538.8934307	498.7557014	251.1124108	344.2205749	271.3208655	347.8181778	297.5915028	368.0750602	268.2044796	361.751751	278.6266651	412.6732717	381.4956658	360.500185	317.4802104	325.2765157	312.0260904	335.5823099	108.1724666	83.21987347	173.7082973	90.54247613	114.6047362	113.41934	88.67913892	124.6889254	53.15706419	58.10227935	63.72803137	72.86678955	129.5342252	93.08797161	73.62835291	119.4715135	19.41172188	13.4281581	33.17879356	160.0289959	24.31637369	31.64391485	22.58338002	29.93696762	10.08302199	9.407792171	9.605469883	13.8696184	14.71133422	18.3858358	13.3508176	15.2301283	0.975258241	1.388816689	2.547101039	1.813599866	2.054598063	2.061731111	1.167850975	1.703918332	NA	NA	NA	NA	NA	NA	NA	NA	0.310756439	0.515432778	0.744248436	1.192390007	1.067218951	1.023744847	0.704101924	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.428447258	0.505993067	0.704915804	0.969641167	0.594819091	0.532993381	0.436944775	0.525048594	0.831539205	23.00469127	0.188877513	0.698431011	0.853929886	0.519617836	0.297753325	0.452353599	0.455499968	0.8344261	0.488192777	1.106131461	1.035640189	1.224497241	0.991159761	1.073401287	1.161124649	1.10103184	0.868856317	1.44946737	0.857885011	0.846074254	0.990015389	1.083367605	2.624767295	3.368694322	3.322316512	NA	4.937758199	2.558898381	5.574553246	2.570750366	2.717329514	5.366033978	16.37991755	6.62164434	6.079093421	4.166558366	7.313301583	3.618828796	36.39132957	113.1575882	42.43519857	53.77471952	40.61261982	70.71067812	40.61261982	75.52362928	49.31163522	105.3361036	63.94927906	44.44213406	58.91335694	50.46424006	57.23620803	184.6764621	277.983644	326.028933	510.4135633	296.9047141	365.1105441	327.1608234	340.2668644	518.1369008	5.059013853	292.8171392	385.4828474	850.513027	1744.812372	936.1026026	794.4739963	952.4653878	559.8343462	764.7562541	787.1653228	764.7562541	658.1120936	829.1692799	774.5365568	877.4599838	1842.168768	827.2557036	1756.948502	2128.354655	694.833189	1186.247658	1384.858498	946.9795909
AT5G24470	0.417695312	0.515432778	0.522627951	0.518418649	0.815367782	0.555627351	0.68484822	0.62873451	0.103224418	0.240735842	0.422548698	0.282669773	0.283979007	0.297753325	0.310039268	0.60801951	1.805238589	2.4688791	3.198043412	3.209146215	3.499598763	4.01070593	2.875586408	4.753058604	2.003037628	3.231467592	3.602144834	2.480314144	2.777633379	2.912361662	2.290278205	2.69544385	18.53511965	19.10029289	21.26667902	19.79672013	13.00074917	20.66125795	25.94149148	21.04671046	10.81920701	12.38500767	15.35378937	10.7817754	14.0307756	17.84180318	14.81365964	12.91094644	76.93258375	78.09669134	54.52538663	72.27991259	65.67122779	63.87544462	77.02151112	85.0667161	70.22224379	65.36846236	52.00299669	41.27480583	30.3899597	34.86859166	42.87870777	65.29298935	45.37595777	54.71468506	57.23620803	77.11054127	62.20058266	63.72803137	60.29039138	38.28894993	NA	NA	NA	NA	NA	NA	NA	NA	16.26677319	17.19427273	18.94645708	16.84041971	19.88841209	17.43429583	16.15441038	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.214820105	4.39904245	6.257224455	5.678551052	5.737900125	6.242783886	5.704852252	6.792092891	2.61568629	2.440521604	4.057308088	2.541222779	2.35466669	1.661158256	3.606308599	2.570750366	6.171079397	4.061997983	5.851701546	6.002330907	5.632815391	5.422116795	7.78406014	4.676803638	6.41829243	5.988478586	2.154255733	4.383822919	2.636924363	2.612666276	3.345425051	4.475936358	2.748903362	6.522942253	6.242783886	NA	9.807301224	5.892403349	8.391078142	6.644633024	2.040405917	4.328467088	4.470768539	4.057308088	4.470768539	3.376486657	6.065063947	3.143102941	6.583506475	7.757129338	6.337246749	6.831439085	8.57729569	8.171057795	9.299734462	7.865414828	5.580996944	3.950922434	6.910816583	3.901032965	6.410882009	5.111887866	2.311542983	7.105106083	1.44946737	1.44946737	1.582482475	2.83599736	1.300310523	2.970123368	1.548125958	2.194445118	0.045087027	0.542309942	0.852943957	3.330001568	1.930341621	2.100194374	0.423526121	1.282408764	0.374279912	0.385692462	0.295355188	0.297753325	0.290281162	0.302608173	0.44049255	0.292638101	0.195764289	0.113612189	0.706546389	0.314730636	0.11295783	0.105637174	0.192401176	0.348007312
AT1G08930	33.21714535	26.18235307	35.93180546	33.87595054	41.60993674	34.26957012	31.86401568	36.68680908	46.92189983	45.85020216	49.31163522	40.80072425	63.14177256	31.02851735	35.51909348	79.82983864	27.64326633	65.06709277	30.63671106	20.99813836	26.36446574	33.37099635	37.63116869	38.02446883	34.66776335	37.58772056	32.2715177	59.04963307	33.8368381	27.83554046	23.24512357	63.14177256	30.77861033	68.22315282	28.58506217	38.59983717	26.60925456	51.22784115	47.19371563	32.49598386	133.0221659	107.9228237	96.59363289	114.6047362	40.33208796	132.2560146	140.6068292	110.9569472	59.52908674	32.98769777	27.70720968	27.01189326	27.35734253	22.06757491	31.13624056	56.38304635	120.5807828	138.831345	164.3380629	56.77522145	51.22784115	52.12328804	88.3723324	122.1228644	125.7013375	217.3469725	115.2686347	83.79871347	80.38509907	53.58867313	59.87393523	69.97929328	NA	NA	NA	NA	NA	NA	NA	NA	65.97539554	104.9716684	54.71468506	175.3211443	125.7013375	118.0992661	74.74246243	NA	NA	NA	NA	NA	NA	NA	NA	NA	236.1985323	206.575143	182.1339667	182.1339667	271.9484746	194.7558504	261.7760904	208.9754306	65.36846236	103.7659659	119.1957944	83.99255345	112.3759517	115.2686347	72.86678955	132.7151742	136.4463056	114.4724161	111.0852038	146.5778051	104.4877153	93.19557319	161.3283518	139.9585866	64.84197773	102.9302237	43.02757186	46.81361237	86.15461597	65.59540522	56.18797583	151.0472586	87.15568439	87.15568439	89.81323729	NA	153.3328345	86.5536561	173.1073122	108.2975046	73.7986672	44.54493591	138.5109468	87.45826701	60.99093199	60.22078141	128.6394669	70.46603776	83.02781669	133.6382813	83.31606839	98.05524221	91.59452903	84.67453124	105.2144848	134.8790861	74.3978757	105.5797631	141.2580742	92.44496602	107.6737568	101.6304932	109.8092814	149.6577164	119.0581735	87.96490759	104.1262153	129.5342252	97.82894802	136.6040257	99.30924954	192.2966105	39.09348216	49.42570102	28.19152318	28.22411012	43.47727223	28.85046879	29.86787838	32.2715177	90.22922296	128.1944082	111.9871604	85.36204634	82.45430167	93.62722474	96.59363289	54.71468506	27.48405283	29.49072782	23.62413373	20.00362449	30.42508784	24.120527	22.87219399	77.91645797
AT4G27410	42.33726562	43.52752816	48.97101488	40.28552141	60.36008182	62.34446268	174.5128575	50	56.18797583	47.90782869	28.9172046	70.71067812	34.94924835	27.83554046	24.65581761	81.69577266	43.27682805	20.8290171	27.2312164	76.40117158	31.06438361	21.91514303	33.99355932	35.15170729	26.09176901	45.53349168	25.14482353	18.7721613	20.7809474	16.78215628	31.82722618	37.54432259	23.59685782	23.46094992	28.19152318	30.21492641	22.22106703	24.28829853	29.25320633	30.24985223	23.67878017	12.91094644	15.21254392	12.82176402	17.63687259	20.73298865	21.43935389	16.72409443	32.57115233	19.52417284	21.8393224	42.97789316	23.54240043	23.21828525	25.76230051	23.65144117	20.8290171	18.68561561	22.42738522	19.84251315	17.61650944	13.4592196	21.94047503	19.14447496	13.21272551	15.71266718	12.28525748	16.66623346	11.7848067	27.35734253	12.94081155	16.78215628	NA	NA	NA	NA	NA	NA	NA	NA	28.9172046	38.95822898	19.88841209	37.37123122	30.9926925	17.43429583	27.7392368	NA	NA	NA	NA	NA	NA	NA	NA	NA	30.9926925	32.3835563	28.61810401	30.31982503	43.7291335	30.04090124	31.31661097	40.51889306	43.62821438	31.79047916	37.71821567	36.72921583	34.98964664	26.51719353	36.85673043	41.99627673	22.34979236	14.30905201	23.78845257	19.50163065	21.36517936	21.34051158	31.28045349	38.46629188	38.55527064	32.42098887	22.89863226	29.90240304	28.81715867	34.66776335	24.17632168	40.84788633	17.17442059	14.27602924	13.10630879	NA	38.42187953	13.07606175	24.68431759	17.53529168	42.87870777	28.58506217	71.03818696	46.65164958	49.65462477	33.40957032	79.73766884	36.64445129	18.1536724	37.76181464	19.6599742	21.0953949	17.88307416	32.30882077	26.60925456	67.12862514	44.64797555	37.15598876	60.08180248	39.4109018	36.94198601	37.11308927	57.10411697	62.63322193	48.91447401	27.515822	38.7338461	47.6318999	29.21943121	41.56189481	34.94924835	64.76711259	103.1683179	79.55364838	52.97315472	80.38509907	131.7984436	75.08864518	72.19645978	108.5480142	40.84788633	50.17358743	38.86832027	30.67212443	34.03285291	39.0032613	40.80072425	67.36167884	82.35910173	47.35756035	64.54303541	87.15568439	59.73575676	67.28390451	91.06698336	41.08451573
AT1G30750	16.80155499	8.9622203	19.43416013	19.27763532	23.98160298	14.34215116	14.93393919	NA	13.55283588	13.49035296	10.37847709	11.81206686	7.730291709	12.04633898	12.04633898	11.44931613	15.05519535	11.436097	19.98052874	27.9967901	14.32559202	11.37022992	16.60857268	NA	10.97023751	18.13271257	20.42394317	13.88565047	13.91777023	15.17743605	12.24275372	NA	24.94230441	4.649867231	13.3508176	28.35483501	20.1427607	20.07307205	21.71353716	24.59891634	17.23404586	15.37153701	16.32324734	16.17308347	15.58611567	11.75760945	9.886931635	1.957288185	31.31661097	26.24291709	16.53200183	12.83658486	16.39885131	10.17664085	10.37847709	NA	21.41460047	22.71420421	10.49906918	25.70284567	10.9070536	9.087328233	9.583302154	NA	NA	9.627688889	20.8290171	15.07259785	18.62096829	14.66043687	12.15818684	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.3010712	14.25954645	NA	14.62660317	26.27325162	13.78973528	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25.49583218	12.98573879	9.256859702	9.944206047	11.34398944	7.271180065	11.63599645	12.98573879	6.507888453	9.506117208	9.003730386	19.18875923	9.353607276	11.96312884	9.278272316	10.84423359	19.32222761	6.538030874	15.00310833	11.436097	18.47099301	11.6898906	18.72883846	NA	7.775072833	3.06068843	4.268875802	NA	15.71266718	9.875516398	15.2301283	10.47483918	14.54236013	8.597136363	7.05602753	9.1505356	17.31386835	12.14414926	13.19747038	7.492893035	7.910978712	15.87688728	6.315321541	6.768594035	7.229301149	13.44367988	7.304857804	NA	0.49557988	8.972579846	10.75689297	15.19497985	13.53718807	11.48906527	18.00746077	NA	20.31804268	10.86931806	11.09770553	20.57788575	12.94081155	17.5961698	9.124145943	6.06156164	15.51425868	14.25954645	16.91841905	15.69452568	7.195971751	12.11612271	15.58611567	11.71693121	12.45675329	16.91841905	15.1074632	14.06323106	8.656934176	14.64351024	13.3508176	NA	13.19747038	7.355667108	12.85142283	24.77001533	11.436097	10.24742498	24.77001533	NA
AT5G52310	25.76230051	50.69797399	28.9172046	27.64326633	45.69157251	39.45645737	44.95852678	NA	26.06164402	23.00469127	11.89422629	33.40957032	22.53126157	13.64710331	9.583302154	21.91514303	64.2454713	26.7016352	48.52051157	71.6977624	41.6580342	51.76324619	34.30918276	NA	30.1103907	114.0763716	25.4369923	13.56850178	16.47480545	13.67867127	98.85140204	NA	72.02984309	24.77001533	79.46179746	53.28002508	65.14230466	58.64174746	46.86772483	59.46035575	16.00579971	16.21049443	14.95120152	13.10630879	30.31982503	13.757911	10.09467709	15.4784545	101.2788784	200	235.6534278	525.9771041	287.1225551	343.4261746	319.3193545	NA	55.8643569	33.87595054	12.54339686	72.86678955	124.5449622	65.97539554	36.09822989	NA	NA	65.36846236	194.5309895	426.7328972	451.5857619	1031.496247	439.7448454	NA	NA	NA	NA	NA	NA	NA	NA	NA	121.4194884	50	NA	23.59685782	95.59453176	62.63322193	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28.15897386	11.48906527	16.84041971	19.7054509	15.49634625	19.54674108	22.16978473	19.18875923	20.94967837	11.7848067	12.41365619	11.25262373	11.46255054	13.96608923	9.967208605	14.95120152	24.17632168	18.75048737	21.86456675	17.0557882	18.902732	16.60857268	21.86456675	NA	14.01457598	7.330218433	8.9622203	NA	6.515411005	6.293472188	6.863080086	7.721366482	15.95042385	19.61460245	9.2248334	14.69434883	18.42836522	16.51291434	11.92173956	18.40708823	8.838834765	7.254399465	8.508213228	7.883608805	7.641501736	7.304857804	4.37370583	NA	18.7721613	17.49482332	13.21272551	20.61357542	10.00181225	11.97695717	13.90170107	NA	7.101003198	7.475600761	8.313885369	9.689056526	7.730291709	7.78406014	9.489658626	9.251514274	7.703546931	14.4252344	8.323495496	7.739227252	6.264457262	8.849051688	14.30905201	8.285121511	12.25690528	6.135536595	7.71245156	6.71407905	7.730291709	7.389736163	10.769327	NA	9.795977927	10.42654681	9.235496504	6.206828096	6.477884999	6.235576103	6.206828096	NA
AT3G05880	286.7910496	323.4030609	295.5358881	321.5403963	413.1502861	329.0560468	582.9343164	NA	277.6626901	263.9015822	225.792881	314.1964035	188.7748625	198.6184991	273.2080514	244.5280555	499.9094041	355.9480423	490.187377	462.6752736	499.3322196	414.1059695	611.9158774	NA	496.4562776	458.4189448	377.9861397	319.3193545	406.9918768	429.7010592	462.6752736	NA	1113.219875	756.8461174	913.6658714	1064.177327	970.2344011	788.9861636	891.7669093	936.1026026	1110.65076	793.5567139	854.4523264	740.4145948	788.0752173	702.0952009	833.009722	433.1900182	2356.107293	2342.537114	2470.389579	2572.32317	2079.742967	2140.684088	2525.213271	NA	2380.732022	1639.290917	1861.422097	2545.716748	2999.534389	2289.033492	2487.572497	NA	NA	1924.840058	3374.651614	3041.406329	3522.025217	4022.442798	3600.187151	NA	NA	NA	NA	NA	NA	NA	NA	NA	4088.028455	2611.246352	NA	1965.285039	2874.023593	2022.872286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2394.523463	1343.880855	1198.645662	2155.573723	1438.672857	1773.26142	1746.829223	1151.146864	1009.101927	1079.032689	1097.893848	1501.500795	1274.329687	1679.546694	1019.648502	1697.100386	1736.768227	992.9125552	1622.335168	1413.957318	1644.982123	1120.962932	1503.236399	NA	819.6454584	887.6555777	984.9155307	NA	1345.434264	1147.164198	1350.105274	1295.107546	1720.791025	1258.238349	961.3088396	1396.10286	1422.14829	1283.193351	939.3525154	1164.522546	863.3825892	848.5501931	903.1715238	1208.378068	762.1103984	1119.668692	935.0217988	NA	1412.324794	924.2821575	1105.530304	1230.92134	894.8628997	937.1846556	1165.868633	NA	1013.190348	858.4098714	986.0540072	1149.153806	1045.895398	779.9238846	1021.41695	655.4564828	995.2093226	1182.143552	895.8972832	950.2672659	545.1550708	913.6658714	896.9328624	837.8352983	686.0593244	734.451216	595.1830056	564.3799228	632.0330495	463.2100859	510.4135633	NA	570.2785094	621.1751	541.3894097	595.1830056	601.4035289	491.3212597	550.2167273	NA
AT5G15970	106.9299999	316.0165247	149.4849249	135.1910833	217.3469725	158.1909062	309.5129987	NA	109.1768265	135.0349946	56.57879411	128.1944082	65.21760349	52.36470614	57.96818954	96.14830525	225.792881	74.8288582	109.1768265	92.23161936	82.16903146	76.48948468	89.50250709	NA	119.3335743	182.76629	60.22078141	69.17551254	44.08419233	70.3846792	92.01876506	NA	177.3582778	127.1619166	228.4164679	93.84379967	94.27845359	100	110.1905116	149.8307077	79.18688053	93.41114964	80.75741668	48.35264336	108.2975046	52.06310763	65.14230466	52.06310763	384.149178	490.187377	859.4021184	992.9125552	852.4804013	616.1720889	720.1679187	NA	669.6156904	175.5238002	79.27841366	564.3799228	749.8835972	606.2866266	401.8526698	NA	NA	319.6884599	971.3559075	1482.540899	981.5079818	2039.297004	1545.498126	NA	NA	NA	NA	NA	NA	NA	NA	NA	620.4579047	361.3340803	NA	177.3582778	624.0521808	171.5148311	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	518.7358219	90.43793776	102.1012126	328.6761258	111.9871604	229.4744186	276.382576	69.81779342	50.87398461	63.36098491	87.45826701	21.63841403	46.49024713	69.73718332	29.38869766	107.3012339	85.95578633	32.42098887	154.7564994	69.97929328	29.73017788	20.02674694	51.05060629	NA	19.14447496	21.16863281	20.44755146	NA	23.32582479	27.93217845	26.3340259	33.56431257	47.90782869	45.69157251	20.56600292	32.15986673	34.23000322	28.95063037	14.77947233	33.56431257	31.64391485	38.82344375	28.02915195	36.22355386	35.11112189	75.00194946	39.09348216	NA	96.37071184	52.54650323	39.96105749	45.32356767	18.6640416	20.94967837	25.8816231	NA	95.76032807	80.75741668	100.5792941	141.6666332	131.9507911	68.14438385	94.76984609	115.0690623	45.53349168	81.41312676	50.69797399	54.52538663	20.54225786	52.06310763	42.19078981	35.93180546	191.1890635	59.59789718	71.36721271	78.09669134	156.1933827	147.5973344	128.4909426	NA	89.81323729	101.9833287	76.66641723	48.29681645	40.65956447	76.31296045	54.58841323	NA
