"Gene"	"effect.size"	"p.value"	"q.value"	"Mean"	"CV2"	"TechNoise"	"BioVar"	"Stable"
"AT2G41260"	"AT2G41260"	9.20942817614611	0	0	9.78571428571429	9.2332856551515	0.0238574790053866	9.20942817614611	9.2298271624311
"AT3G02480"	"AT3G02480"	2.28787176431563	0	0	5.5	2.32803560076287	0.0401638364472432	2.28787176431563	2.32302412161944
"ATCG01060"	"ATCG01060"	1.50661559829124	0	0	11.0714285714286	1.52804290402625	0.0214273057350196	1.50661559829124	1.52481585637923
"ATCG01080"	"ATCG01080"	1.4148432875663	0	0	5.35714285714286	1.456	0.041156712433703	1.4148432875663	1.45089396123881
"AT3G20395"	"AT3G20395"	1.22794809772995	0	0	12.5	1.24726153846154	0.0193134407315892	1.22794809772995	1.24423581129103
"ATCG00400"	"ATCG00400"	1.06948289498184	0	0	9.5	1.09396974216919	0.024486847187353	1.06948289498184	1.09045130962194
"ATCG00680"	"ATCG00680"	1.06480934188832	0	0	35.2142857142857	1.07355560148207	0.00874625959375122	1.06480934188832	1.07153627251516
"AT2G14247"	"AT2G14247"	0.986504166244398	0	0	19	1.00021308331558	0.0137089170711784	0.986504166244398	0.997721120303201
"AT1G43800"	"AT1G43800"	0.911941226626347	0	0	13.5	0.930041152263374	0.0180999256370273	0.911941226626347	0.927130997959013
"ATCG00040"	"ATCG00040"	0.860374798446341	0	0	6	0.897435897435897	0.0370610989895566	0.860374798446341	0.892719917097962
"ATCG01100"	"ATCG01100"	0.850743103255074	0	0	5.07142857142857	0.894053377687577	0.0433102744325029	0.850743103255074	0.888742237783647
"ATCG00490"	"ATCG00490"	0.850013601914628	0	0	160.642857142857	0.85421934627777	0.00420574436314193	0.850013601914628	0.852632447332827
"ATCG00020"	"ATCG00020"	0.811794715227171	0	0	198.714285714286	0.815756230367258	0.00396151514008745	0.811794715227171	0.814192591348319
"AT2G41240"	"AT2G41240"	0.807341291965234	0	0	9.85714285714286	0.831047129723878	0.0237058377586447	0.807341291965234	0.827603079026982
"ATCG00580"	"ATCG00580"	0.796406855794331	0	0	23.7857142857143	0.807947240379673	0.0115403845853415	0.796406855794331	0.80566180427071
"ATCG00100"	"ATCG00100"	0.787849444415513	0	0	6.57142857142857	0.821942707575978	0.0340932631604651	0.787849444415513	0.817509378269385
"AT1G47400"	"AT1G47400"	0.772757664984206	0	0	13.5714285714286	0.790777754101854	0.0180200891176483	0.772757664984206	0.787875203275529
"AT1G55010"	"AT1G55010"	0.772072035353888	0	0	8.14285714285714	0.800151525913299	0.0280794905594112	0.772072035353888	0.796290936854425
"AT4G22513"	"AT4G22513"	0.768782912072969	0	0	154.857142857143	0.773036283442596	0.00425337136962679	0.768782912072969	0.771444848592273
"AT4G22520"	"AT4G22520"	0.761781405062878	0	0	82.7142857142857	0.767188151440078	0.00540674637719944	0.761781405062878	0.765486871350938
"AT2G37925"	"AT2G37925"	0.731902921455071	0	0	4.71428571428571	0.778272232817687	0.0463693113626165	0.731902921455071	0.77266975606327
"ATCG00130"	"ATCG00130"	0.725787392172746	0	0	18.5	0.73978760465247	0.0140002124797237	0.725787392172746	0.737267899220232
"AT5G50335"	"AT5G50335"	0.701383867406936	0	0	9.14285714285714	0.726712740384615	0.0253288729776791	0.701383867406936	0.723114114904954
"ATCG00140"	"ATCG00140"	0.697760110919332	0	0	32.2857142857143	0.707033862057748	0.00927375113841635	0.697760110919332	0.704964295800873
"ATCG00820"	"ATCG00820"	0.690853443702399	0	0	7.85714285714286	0.719847425301971	0.0289939815995714	0.690853443702399	0.71589974185832
"ATCG00520"	"ATCG00520"	0.688361390301255	0	0	7.85714285714286	0.717355371900826	0.0289939815995714	0.688361390301255	0.713407688457175
"ATCG00330"	"ATCG00330"	0.68623571441289	0	0	32.8571428571429	0.695399156608987	0.00916344219609614	0.68623571441289	0.693340095965666
"ATCG00720"	"ATCG00720"	0.670203082794151	0	0	23.2857142857143	0.681928331745788	0.0117252489516371	0.670203082794151	0.679625289506702
"AT4G22517"	"AT4G22517"	0.667833468396341	0	0	178.928571428571	0.671908938150109	0.00407546975376735	0.667833468396341	0.67033444631082
"ATCG00300"	"ATCG00300"	0.655178730862253	0	0	6.64285714285714	0.68893691578395	0.0337581849216967	0.655178730862253	0.684535498690573
"AT2G01010"	"AT2G01010"	0.651295423244201	0	0	3079.14285714286	0.654292915938532	0.00299749269433077	0.651295423244201	0.652821088581094
"AT4G05631"	"AT4G05631"	0.645404175336014	0	0	6.42857142857143	0.680189933523267	0.0347857581872531	0.645404175336014	0.67569065230936
"ATCG00120"	"ATCG00120"	0.639474766440817	0	0	28.5714285714286	0.649573076923077	0.01009831048226	0.639474766440817	0.647424981204884
"AT2G47880"	"AT2G47880"	0.637301396698068	0	0	11.8571428571429	0.657503042754893	0.0202016460568258	0.637301396698068	0.654392724601027
"AT4G10270"	"AT4G10270"	0.615974556966744	0	0	5.64285714285714	0.655195789629374	0.0392212326626296	0.615974556966744	0.650274082274955
"ATCG00070"	"ATCG00070"	0.61363582056376	0	0	16.1428571428571	0.629252335885588	0.0156165153218288	0.61363582056376	0.626578696849341
"ATCG00340"	"ATCG00340"	0.608609778922166	0	0	41.7857142857143	0.6164414999129	0.00783172099073455	0.608609778922166	0.614509269860567
"AT1G52820"	"AT1G52820"	0.595565390744045	0	0	7.78571428571429	0.624798482386228	0.0292330916421822	0.595565390744045	0.620828026557566
"ATCG00280"	"ATCG00280"	0.593741534762803	0	0	43.5	0.601380123377745	0.00763858861494221	0.593741534762803	0.599466286885011
