"tracking_id"	"TPM_ZT0_seedling1"	"TPM_ZT0_seedling10"	"TPM_ZT0_seedling12"	"TPM_ZT0_seedling13"	"TPM_ZT0_seedling14"	"TPM_ZT0_seedling15"	"TPM_ZT0_seedling16"	"TPM_ZT0_seedling2"	"TPM_ZT0_seedling4"	"TPM_ZT0_seedling5"	"TPM_ZT0_seedling6"	"TPM_ZT0_seedling7"	"TPM_ZT0_seedling8"	"TPM_ZT0_seedling9"
"AT1G01010"	8.523014	14.916752	13.565421	12.555032	17.647932	11.005794	14.467503	9.967225	12.514682	13.703483	12.827687	10.016122	16.389454	16.31559
"AT1G01020"	7.009926	12.184777	10.462184	11.154499	12.625398	12.903477	13.14058	8.892604	8.892959	10.731162	10.223641	9.580294	7.073143	13.223346
"AT1G01030"	6.533446	5.354264	4.641079	5.627532	4.658997	4.296687	5.472705	6.270767	4.42583	4.843884	6.495636	5.580859	4.613775	5.697788
"AT1G01040"	12.810627	13.273237	11.315822	13.521016	12.602999	11.434816	8.207438	12.098014	12.971107	14.043184	11.665809	13.743066	11.799844	12.691684
"AT1G01046"	4.653368	9.584137	8.394189	6.869072	5.892061	6.601155	3.372709	8.172199	6.519458	9.946064	7.443736	6.41411	11.15061	6.025071
"AT1G01050"	147.661575	147.322983	138.299667	132.950577	141.72847	163.931854	159.270355	163.931458	146.907059	144.249252	132.234909	166.758774	148.169678	153.943222
"AT1G01060"	504.378143	430.372864	501.609406	456.028961	425.555298	463.653259	417.699585	459.030548	477.024902	465.497528	449.673035	441.593842	436.27948	466.730591
"AT1G01070"	10.419505	20.209881	14.503042	19.90259	16.125202	14.809651	13.849643	19.272354	21.564886	15.675657	14.159154	17.791754	9.141781	21.523226
"AT1G01073"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G01080"	83.60498	96.435593	94.50457	96.161148	85.927124	81.792671	75.226974	64.864449	66.878532	88.5429	84.366417	74.703117	79.886368	75.254387
"AT1G01090"	170.968857	187.492706	174.138718	181.954681	194.142258	184.403122	179.834351	190.878784	189.165619	198.577805	194.431519	207.004929	172.595184	176.690353
"AT1G01100"	471.246216	499.626617	539.690369	515.021606	538.380798	462.717804	488.349945	479.998688	457.450348	510.911041	492.304993	475.560211	508.770599	539.590454
"AT1G01110"	5.721029	6.850154	6.95221	7.462094	8.670716	7.220416	7.389332	6.623	4.90577	7.120252	5.614198	5.526152	4.675718	8.66655
"AT1G01115"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G01120"	49.713161	63.661995	53.631233	57.413166	63.83588	36.623333	54.418362	42.541328	50.770081	63.566826	63.484455	57.395908	58.876568	46.932686
"AT1G01130"	3.077677	4.771649	4.483449	4.235566	1.844798	2.107412	2.749105	2.664358	5.038235	4.592975	0.708128	3.993432	0	3.192297
"AT1G01140"	45.722343	37.797161	55.457596	38.194447	37.951645	54.287807	49.722736	54.463715	50.095444	42.141617	36.84024	53.003452	46.867275	48.615643
"AT1G01150"	0.226554	0.225389	0.197823	0	0.1147	0	0.139394	0	0	0	0.416386	0.095041	0	0.245621
"AT1G01160"	42.071087	45.016544	53.196491	47.549412	49.201576	48.473953	49.428135	45.670261	38.645103	49.668549	48.266483	44.401546	40.216679	50.261894
"AT1G01170"	142.476547	137.184906	157.061844	114.330894	116.947304	169.201294	164.395233	156.840317	123.604309	141.483688	104.835121	167.382095	123.550125	141.009949
"AT1G01180"	19.536371	19.251451	26.764771	20.340946	25.234873	22.522774	27.712721	19.150684	26.623331	27.836363	20.860435	24.569958	23.246817	23.662987
"AT1G01183"	0.209991	0	0	0	0	0	0	0	0	0.145546	0	0	0	0
"AT1G01190"	3.215001	8.899388	4.364204	4.86894	8.582063	2.091953	5.157331	7.153983	5.005635	9.04233	10.358692	3.906991	6.623335	4.676927
"AT1G01200"	4.596748	4.480147	2.696377	3.719801	3.764565	3.101085	2.368719	1.924444	2.860103	3.796453	3.046908	3.561873	3.916241	3.693588
"AT1G01210"	24.075441	27.574661	33.638557	27.33786	29.281212	31.214958	39.911285	30.675241	21.369976	29.17091	21.938604	25.038885	17.714348	25.178547
"AT1G01220"	10.790206	11.422973	9.36625	10.747215	10.431787	8.664396	9.855822	9.084073	11.408104	12.646888	11.122353	11.099718	11.351418	11.347279
"AT1G01225"	6.002352	7.356161	7.79403	8.314703	7.281821	5.419233	5.497786	6.304433	2.351652	6.959657	8.925571	5.45845	4.81583	6.580952
"AT1G01230"	28.699429	38.444347	29.668886	29.612278	38.173817	32.854553	36.590763	31.862255	33.622559	35.272076	38.568501	38.515484	29.765301	35.815163
"AT1G01240"	12.621288	18.748955	19.894806	17.990107	16.7204	19.752453	19.498432	17.899252	16.365677	20.433254	20.636866	20.016565	16.485449	20.559757
"AT1G01250"	2.545935	1.598706	0.552983	1.368623	0.80963	1.85699	2.338044	1.497361	2.395556	1.901684	0.889991	0.801492	0	1.283187
"AT1G01260"	7.8924	11.29953	7.951616	9.683352	12.624902	9.395462	7.462889	11.939964	12.64887	9.206765	9.169442	10.297822	9.995334	11.826705
"AT1G01270"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G01280"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G01290"	14.11629	20.94446	15.50107	15.1787	17.901129	13.78826	18.095865	16.233261	15.686416	14.903355	14.417264	17.930094	11.701054	15.37747
"AT1G01300"	37.55732	42.903645	33.637882	43.720222	35.927395	26.389624	24.563402	35.438141	34.961784	34.271626	35.183075	32.489521	31.022528	34.947445
"AT1G01305"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G01310"	0	0.090788	0	0	0.138298	0	0	0	0	0	0	0.116901	0	0.122855
"AT1G01320"	107.194717	101.5439	102.510414	97.116821	90.117386	87.255562	73.88797	101.34169	102.603653	116.686943	99.213226	109.060417	110.513863	86.028091
"AT1G01340"	4.550687	7.105804	3.522841	7.769183	7.169166	5.223633	6.309704	6.074959	7.160443	8.774884	7.235818	5.845359	8.269189	7.178785
"AT1G01350"	19.225807	25.834417	20.703924	24.51475	24.907864	25.087095	26.197748	24.637173	30.672644	22.569954	21.232946	21.903795	21.412296	22.691969
"AT1G01355"	0.638023	0.255641	0.341484	0.545507	0	0.082812	0	0.649748	0	0.268659	0.196959	0	0	0.517202
"AT1G01360"	12.428539	25.093733	22.90156	17.316292	24.236397	19.060843	20.097391	20.600111	12.372896	19.367426	18.00312	17.245342	10.806626	24.009792
"AT1G01370"	6.44573	8.46054	7.256695	10.855385	12.630775	8.02702	6.380479	6.693937	8.195213	6.244197	5.082506	5.346025	5.331465	7.654946
"AT1G01380"	4.023383	5.151244	2.200054	3.300919	3.281188	1.832049	2.391269	1.626837	4.267262	2.579425	2.581746	0.871781	0.966326	3.66939
"AT1G01390"	6.296521	4.879622	2.937008	4.012387	4.274836	3.594332	5.499839	4.832011	4.782317	4.349625	6.092802	3.643859	3.736192	4.302421
"AT1G01400"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G01410"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G01420"	9.845261	9.882235	10.64236	6.738932	8.325107	8.205767	9.030231	9.28901	9.07538	9.068307	5.655018	8.877376	7.222018	10.823117
"AT1G01430"	74.947693	76.061684	73.729637	64.131012	67.673729	77.00843	75.132256	89.295052	82.967598	80.04998	68.667007	91.110939	86.18885	71.613617
"AT1G01440"	17.56842	15.555925	14.263257	14.516303	17.397917	13.027075	13.695613	15.700891	16.173563	15.502099	15.150895	17.898064	16.012648	13.433041
"AT1G01448"	15.846284	11.745033	10.681931	13.509598	11.679828	18.647543	9.516051	14.463144	15.522482	17.02425	10.049587	15.163224	10.854957	13.773646
"AT1G01450"	0	0.063611	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G01453"	1.084984	0.438792	0.962654	0.942983	0.818956	0.635838	0.403027	0.514233	0.327224	1.079206	1.253696	0.782067	0.448059	0.834629
"AT1G01460"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G01470"	43.981434	57.519371	45.398842	60.306679	61.690449	51.593243	62.082584	51.11113	49.506142	61.065205	56.685883	43.710297	54.233852	53.758713
"AT1G01471"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G01480"	1.681992	1.387514	0.592208	1.229899	1.083567	0.549492	0.755269	0.634375	0.403674	1.363385	1.879603	1.416155	0.825455	1.326426
"AT1G01490"	78.019028	101.217827	118.331688	99.624542	101.317177	96.020859	100.274651	104.988747	92.262222	110.417122	80.082024	105.545074	107.438629	107.201332
"AT1G01500"	4.460301	3.99442	3.551903	4.838266	4.725244	3.953508	4.439913	4.191741	4.812391	3.45731	3.735869	4.025973	2.164535	4.714961
"AT1G01510"	33.568382	37.48793	31.889505	34.803368	35.520008	39.038303	32.113701	40.523582	36.8881	36.49567	30.430048	40.715328	32.538887	39.116192
"AT1G01520"	10.725248	9.121147	9.789442	9.717374	12.009362	11.738734	11.438494	7.976544	6.046771	7.282956	9.609974	8.207984	8.355274	8.507397
"AT1G01530"	0.354896	0	0	0	0.180875	0.206329	0	0	0.344701	0	0	0	0	0
"AT1G01540"	72.677147	83.618744	78.433426	74.917641	74.322762	83.665787	72.256294	77.366608	75.501984	81.050423	71.38752	93.071159	79.979073	75.731285
"AT1G01550"	117.114601	134.177002	121.798027	128.57814	135.483047	124.802063	114.2519	129.966293	135.852249	130.231155	118.326187	124.537453	120.980911	132.559586
"AT1G01560"	0.429971	0.049797	0.134449	0.28942	0.471988	0.265556	0.096027	0	0	0.071638	0.342234	0	0	0.105521
"AT1G01570"	1.612453	3.385443	2.244228	2.91171	2.933021	2.215641	3.83374	2.191839	3.101914	3.584955	3.109704	2.744147	1.312822	3.327826
"AT1G01580"	63.340469	107.541283	33.475567	133.915863	85.759972	53.603603	64.400894	71.034081	81.191628	127.869667	101.986626	96.274742	51.106205	109.022659
"AT1G01590"	0.124513	0	0	0	0	0	0	0	0	0	0	0	0.259515	0.111248
"AT1G01600"	4.313566	7.172796	5.835149	5.757365	7.788024	5.239417	6.026543	2.772488	4.661447	9.00758	6.429303	4.667493	9.116714	4.902034
"AT1G01610"	39.228096	40.346249	35.703888	40.042549	35.992386	32.308758	37.536789	40.248642	42.479416	47.239273	45.714832	41.923653	41.090694	40.247536
