tracking_id	FPKM_ZT0_seedling8	TPM_ZT0_seedling8	Raw_ZT0_seedling8
ERCC-00002	628.62207	873.693665	1690
ERCC-00003	43.164368	59.992218	112
ERCC-00004	352.433807	489.83194	467
ERCC-00009	26.243616	36.474831	65
ERCC-00012	0	0	0
ERCC-00013	0	0	0
ERCC-00014	0.203132	0.282324	1
ERCC-00016	0	0	0
ERCC-00017	0	0	0
ERCC-00019	0	0	0
ERCC-00022	13.135825	18.256895	25
ERCC-00024	0	0	0
ERCC-00025	1.188307	1.651575	6
ERCC-00028	0	0	0
ERCC-00031	0.342427	0.475924	1
ERCC-00033	0	0	0
ERCC-00034	0.775101	1.077278	2
ERCC-00035	2.807423	3.901912	8
ERCC-00039	0	0	0
ERCC-00040	0	0	0
ERCC-00041	0	0	0
ERCC-00042	23.463785	32.611267	61
ERCC-00043	30.269257	42.069885	78
ERCC-00044	1.701319	2.364587	5
ERCC-00046	306.484009	425.968414	404
ERCC-00048	0	0	0
ERCC-00051	0	0	0
ERCC-00053	0.386035	0.536533	1
ERCC-00054	0	0	0
ERCC-00057	0	0	0
ERCC-00058	0	0	0
ERCC-00059	1.469564	2.042481	2
ERCC-00060	17.332153	24.089184	23
ERCC-00061	0	0	0
ERCC-00062	3.456421	4.803926	9
ERCC-00067	0	0	0
ERCC-00069	0	0	0
ERCC-00071	5.540252	7.700149	9
ERCC-00073	0	0	0
ERCC-00074	1517.224121	2108.722168	2015
ERCC-00075	0	0	0
ERCC-00076	17.215519	23.927078	28
ERCC-00077	0	0	0
ERCC-00078	0.771691	1.072539	2
ERCC-00079	3.05392	4.244507	5
ERCC-00081	0	0	0
ERCC-00083	0	0	0
ERCC-00084	0.791965	1.100716	2
ERCC-00085	0.467908	0.650324	1
ERCC-00086	0	0	0
ERCC-00092	13.607137	18.911949	39
ERCC-00095	3.794983	5.274477	5
ERCC-00096	634.819946	882.3078	1779
ERCC-00097	0	0	0
ERCC-00098	0	0	0
ERCC-00099	0.586994	0.815837	2
ERCC-00104	0	0	0
ERCC-00108	34.536621	48.000904	89
ERCC-00109	0	0	0
ERCC-00111	21.648787	30.08868	54
ERCC-00112	2.438053	3.388541	7
ERCC-00113	317.637451	441.470062	674
ERCC-00116	1.183529	1.644934	6
ERCC-00117	0	0	0
ERCC-00120	0.727021	1.010454	1
ERCC-00123	0	0	0
ERCC-00126	0.355572	0.494193	1
ERCC-00130	860.990112	1196.651733	2309
ERCC-00131	7.656016	10.640754	15
ERCC-00134	0	0	0
ERCC-00136	37.563965	52.208473	98
ERCC-00137	0	0	0
ERCC-00138	0	0	0
ERCC-00142	0	0	0
ERCC-00143	0	0	0
ERCC-00144	0.724319	1.006699	1
ERCC-00145	37.450352	52.050564	99
ERCC-00147	0	0	0
ERCC-00148	0.794128	1.103723	1
ERCC-00150	0	0	0
ERCC-00154	0.740278	1.02888	1
ERCC-00156	0	0	0
ERCC-00157	0	0	0
ERCC-00158	0	0	0
ERCC-00160	0	0	0
ERCC-00162	7.565941	10.515564	10
ERCC-00163	2.923578	4.06335	4
ERCC-00164	0	0	0
