Gene	ZT0_effect.size	ZT0_p.value	ZT0_q.value	ZT0_Mean	ZT0_CV2	ZT0_TechNoise	ZT0_BioVar	ZT0_Stable	ZT0_Type
AT1G06910	-0.089768869	0.9999998	0.999999999	5.142857143	0.004985755	0.094754624	-0.089768869	-0.005012032	Stable
AT1G73710	-0.089768869	0.9999998	0.999999999	5.142857143	0.004985755	0.094754624	-0.089768869	-0.005012032	Stable
AT3G14910	-0.054012327	0.99999989	0.999999999	8.714285714	0.002894177	0.056906504	-0.054012327	-0.003499028	Stable
AT5G47580	-0.065063385	0.999999412	0.999999999	7.071428571	0.004505035	0.06956842	-0.065063385	-0.003094066	Stable
AT2G30280	-0.049146959	0.999999829	0.999999999	9.571428571	0.002878832	0.052025791	-0.049146959	-0.003049542	Stable
AT5G23510	-0.049146959	0.999999829	0.999999999	9.571428571	0.002878832	0.052025791	-0.049146959	-0.003049542	Stable
AT2G47860	-0.066260504	0.99999932	0.999999999	6.928571429	0.004692725	0.070953229	-0.066260504	-0.003038263	Stable
AT4G16100	-0.049810887	0.999999809	0.999999999	9.428571429	0.00296673	0.052777618	-0.049810887	-0.003033247	Stable
AT4G27020	-0.027169506	0.999999999	0.999999999	18.64285714	0.000711404	0.02788091	-0.027169506	-0.002917458	Stable
AT2G13290	-0.055041544	0.999999562	0.999999999	8.428571429	0.003712461	0.058754005	-0.055041544	-0.002856696	Stable
AT4G13870	-0.062392175	0.999999213	0.999999999	7.357142857	0.004567965	0.06696014	-0.062392175	-0.002782729	Stable
AT1G49840	-0.046822271	0.999999678	0.999999999	10	0.003076923	0.049899194	-0.046822271	-0.002648918	Stable
AT3G10630	-0.046822271	0.999999678	0.999999999	10	0.003076923	0.049899194	-0.046822271	-0.002648918	Stable
AT5G49665	-0.046822271	0.999999678	0.999999999	10	0.003076923	0.049899194	-0.046822271	-0.002648918	Stable
AT1G16590	-0.060532517	0.999999046	0.999999999	7.571428571	0.004600597	0.065133114	-0.060532517	-0.002576094	Stable
