"Gene"	"effect.size"	"p.value"	"q.value"	"Mean"	"CV2"	"TechNoise"	"BioVar"	"Stable"
"AT3G21755"	"AT3G21755"	14.0306171757911	1	1	8.21428571428571	14	-0.0306171757910795	14.0306171757911	14.0008418977853
"AT2G28671"	"AT2G28671"	9.52922953337515	1	1	16.0714285714286	9.51608584995251	-0.013143683422633	9.52922953337515	9.51526360560749
"AT2G41260"	"AT2G41260"	9.34528823763524	1	1	9.57142857142857	9.31973884880991	-0.0255493888253326	9.34528823763524	9.32009810021752
"ATCG00400"	"ATCG00400"	5.25223499531856	0	0	175.571428571429	5.25568686435082	0.00345186903226467	5.25223499531856	5.25328409120057
"ATCG00030"	"ATCG00030"	2.85597266542939	0	0	44.8571428571429	2.85455175276263	-0.00142091266676073	2.85597266542939	2.8526130540599
"AT3G02470"	"AT3G02470"	2.12220007152694	0	0	180.071428571429	2.12569372871577	0.00349365718882936	2.12220007152694	2.12328697574108
"ATCG01070"	"ATCG01070"	1.84641626009171	1	1	8.28571428571429	1.81610719839019	-0.0303090617015105	1.84641626009171	1.81691975197649
"AT2G35733"	"AT2G35733"	1.77798119389087	1	1	6.42857142857143	1.7374358974359	-0.0405452964549695	1.77798119389087	1.73922333052252
"AT5G65609"	"AT5G65609"	1.73095237144791	1	1	7.78571428571429	1.69836778825921	-0.0325845831886944	1.73095237144791	1.69939705817762
"AT1G13609"	"AT1G13609"	1.54372604456184	0	0	88.0714285714286	1.54551657359479	0.00179052903294707	1.54372604456184	1.54327202330161
"AT2G24940"	"AT2G24940"	1.31545481012957	1	1	7.92857142857143	1.28354966192804	-0.0319051482015301	1.31545481012957	1.28451422375243
"ATMG00060"	"ATMG00060"	1.30504366180539	1	1	5.57142857142857	1.25747231072675	-0.0475713510786456	1.30504366180539	1.25992889187277
"AT5G45428"	"AT5G45428"	1.27727429509743	1	1	6.85714285714286	1.23958333333333	-0.0376909617641011	1.27727429509743	1.24109892502083
"AT2G41240"	"AT2G41240"	1.26776540404202	1	1	9.57142857142857	1.24221601521668	-0.0255493888253326	1.26776540404202	1.24257526662429
"AT2G14247"	"AT2G14247"	1.24784096914294	0	0	29.2142857142857	1.24291553640972	-0.00492543273322802	1.24784096914294	1.24131060152284
"AT3G20395"	"AT3G20395"	1.2291062794119	1	1	13.5714285714286	1.21259748561688	-0.0165087937950252	1.2291062794119	1.21209572797398
"ATCG01080"	"ATCG01080"	1.22182928330789	1	1	13	1.20436959490214	-0.0174596884057482	1.22182928330789	1.20395839865074
"AT1G05250"	"AT1G05250"	1.20067071376509	1	1	11.9285714285714	1.18118254508946	-0.0194881686756291	1.20067071376509	1.18096453743519
"ATCG01090"	"ATCG01090"	1.14865439323324	1	1	10.4285714285714	1.12562610967565	-0.0230282835575854	1.14865439323324	1.12574525581966
"AT3G04184"	"AT3G04184"	1.08124318366732	0	0	23.1428571428571	1.07368131030682	-0.00756187336049032	1.08124318366732	1.0723274650035
"ATCG01060"	"ATCG01060"	1.07668798591708	0	0	26.6428571428571	1.07079262908745	-0.00589535682962883	1.07668798591708	1.06928006792404
"AT3G49551"	"AT3G49551"	1.05102950121965	1	1	12.4285714285714	1.03253147961828	-0.0184980216013654	1.05102950121965	1.03221917224266
"AT1G43800"	"AT1G43800"	1.01443029288884	1	1	7.92857142857143	0.982525144687307	-0.0319051482015301	1.01443029288884	0.983489706511697
"AT4G19112"	"AT4G19112"	1.00720558542143	1	1	4.35714285714286	0.944948628367064	-0.0622569570543619	1.00720558542143	0.948803838653629
