Name	seedling1	seedling2	seedling4	seedling5	seedling6	seedling7	seedling8	seedling9	seedling10	seedling12	seedling13	seedling14	seedling15	seedling16
AT1G01010	7.701	9.15098	10.6648	11.6553	11.0892	9.19987	15.3582	13.7628	11.768	11.2949	10.5443	13.7063	9.09608	11.8945
AT1G01020	15.16153	21.98964	19.12308	23.02356	22.52003	20.76038	16.88423	20.34594	23.78163	23.50163	23.28609	27.59196	22.93859	28.15082
AT1G01030	6.06942	6.4788	4.0095	4.56078	5.57065	5.54775	5.49937	5.02473	4.76413	4.53271	4.99401	4.0999	3.46506	4.52003
AT1G01040	8.861498	10.49759	11.4023	11.85742	9.815	10.44778	10.34383	9.11199	9.2778	8.85409	10.11749	9.42538	8.10954	6.33714
AT1G01046	0	15.4687	11.6122	13.8828	15.489	3.45948	7.06407	4.38487	10.938	20.3785	6.35743	5.23887	10.6722	1.87904
AT1G01050	119.092	152.84	144.548	127.57	120.34	145.494	145.389	134.067	129.253	126.758	120.344	134.609	147.479	144.477
AT1G01060	464.07178	534.59581	545.06627	488.18052	484.68582	498.24418	570.94181	461.25363	457.5291	524.15117	467.6062	442.54073	472.17013	437.65369
AT1G01070	10.482	21.55481	22.0949	14.506523	13.9671	17.5089	11.13	19.387524	19.429927	16.19205	19.430695	15.72001	14.025337	13.4814
AT1G01073	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01080	71.345	65.18181	69.17812	81.632204	80.5673	69.21144	81.2161	68.72376	88.82877	90.2993	87.999104	81.876142	74.071439	70.6215
AT1G01090	129.4	166.373	164.786	163.317	164.189	163.923	151.531	140.277	152.017	148.519	147.705	159.573	147.813	148.521
AT1G01100	397.72611	453.12904	429.313	521.906706	491.73082	452.608066	468.29606	563.48074	543.17298	579.24585	536.501611	587.910746	480.51566	520.349998
AT1G01110	4.268824	4.40716	4.30063	5.27562	3.92366	3.653912	3.41728	6.320848	4.15422	5.09686	4.348558	5.20361902	4.56488	4.16643
AT1G01115	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01120	31.715	33.2081	39.7321	49.1284	49.2978	40.3012	44.6573	34.6108	44.6121	41.4693	43.0604	45.6748	25.7586	40.0077
AT1G01130	4.69508	4.9734	7.15933	8.62262	7.32628	7.62675	1.30762	6.50747	9.05365	6.34694	7.85192	8.37641	5.48201	9.11285
AT1G01140	34.13074	48.1662	44.16974	34.0996	30.8375	42.2782	42.0343	37.804836	28.531878	44.8987	30.3577	30.3238	42.24372	40.1848
AT1G01150	0.224909	0	0	0	0.464785	0.127472	0	0.157202	0.15402	0.155756	0	0.086319	0.095753	0.103278
AT1G01160	25.82011	31.77856	30.43903	32.81236	34.49226	27.78419	28.93091	31.10924	27.93927	36.6986	32.21883	32.05542	31.33027	31.94533
AT1G01170	149.32976	196.89704	165.38334	160.51386	125.90631	202.15814	166.89948	172.7475	172.46587	194.32521	141.72511	151.29767	207.71998	221.37026
AT1G01180	14.492	15.2948	19.9598	20.4776	16.2544	17.0835	15.9441	19.9509	13.9457	22.7786	17.1078	19.3186	17.4976	21.6076
AT1G01183	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01190	2.42419	5.5205	4.28775	6.23725	7.81136	2.88627	5.03548	3.3542	5.91009	3.92832	3.69072	6.68014	1.70564	3.58797
AT1G01200	2.04832	1.68025	2.15574	2.80265	2.20861	2.73353	3.06128	2.57232	2.8368	2.29734	2.61799	2.14975	2.12578	2.0502
AT1G01210	19.4416	32.8513	25.0013	24.182	21.9986	23.477	18.8775	21.9786	26.4949	32.9141	27.7127	30.9426	30.8552	34.4283
