sample	type	seedling	ZT
quant_seedling1	quant	seedling1	ZT0
quant_seedling2	quant	seedling2	ZT0
quant_seedling4	quant	seedling4	ZT0
quant_seedling5	quant	seedling5	ZT0
quant_seedling6	quant	seedling6	ZT0
quant_seedling7	quant	seedling7	ZT0
quant_seedling8	quant	seedling8	ZT0
quant_seedling9	quant	seedling9	ZT0
quant_seedling10	quant	seedling10	ZT0
quant_seedling12	quant	seedling12	ZT0
quant_seedling13	quant	seedling13	ZT0
quant_seedling14	quant	seedling14	ZT0
quant_seedling15	quant	seedling15	ZT0
quant_seedling16	quant	seedling16	ZT0
