Gene	BioVar	type	fragment	Stable_variable
AT2G41480	0.144790757	full	NA	variable
AT2G41480	0.261915688	fragment	1	variable
AT2G41480	0.397156967	fragment	2	variable
AT2G41480	0.22752796	fragment	3	variable
AT5G47500	0.108289088	full	NA	variable
AT5G47500	0.08012641	fragment	1	variable
AT5G47500	0.123594619	fragment	2	variable
AT5G47500	0.12635816	fragment	3	variable
AT3G14210	0.062887829	full	NA	variable
AT3G14210	0.067506611	fragment	1	variable
AT3G14210	0.071801219	fragment	2	variable
AT3G14210	0.055956512	fragment	3	variable
AT5G64380	-0.021984454	full	NA	stable
AT5G64380	0.012346432	fragment	1	stable
AT5G64380	0.032823253	fragment	2	stable
AT5G64380	-0.000458294	fragment	3	stable
AT3G07310	-0.010912761	full	NA	stable
AT3G07310	0.004152647	fragment	1	stable
AT3G07310	-0.006885533	fragment	2	stable
AT3G07310	-0.002133403	fragment	3	stable
AT4G11150	-0.003166194	full	NA	stable
AT4G11150	0.004241729	fragment	1	stable
AT4G11150	0.00036683	fragment	2	stable
AT4G11150	0.007643317	fragment	3	stable
AT4G01070	-8.49E-05	full	NA	trend
AT4G01070	0.003952823	fragment	1	trend
AT4G01070	0.010784413	fragment	2	trend
AT4G01070	0.013536295	fragment	3	trend
AT4G01070	0.019720384	fragment	4	trend
AT5G46690	0.00030509	full	NA	trend
AT5G46690	0.016935353	fragment	1	trend
AT5G46690	0.039300968	fragment	2	trend
AT5G46690	0.078473309	fragment	3	trend
AT1G25260	0.000377644	full	NA	trend
AT1G25260	0.026362592	fragment	1	trend
AT1G25260	0.008336054	fragment	2	trend
AT1G25260	-0.00118898	fragment	3	trend
