"Gene"	"effect.size"	"p.value"	"q.value"	"Mean"	"CV2"	"TechNoise"	"BioVar"	"Stable"
"1"	"AT2G09990"	-0.00232738259973328	0.999976126466592	0.999999997398184	497.142857142857	0.00143783601126051	0.00376521861099379	-0.00232738259973328	-2.96108344002778e-05
"2"	"AT3G56240"	-0.00234782972472398	0.999989671217702	0.999999997398184	606.5	0.00123244720759008	0.00358027693231407	-0.00234782972472398	-0.000217386144863107
"3"	"AT2G43460"	-0.00241294507398197	0.999973668112568	0.999999997398184	444.071428571429	0.00147485544924153	0.0038878005232235	-0.00241294507398197	-4.26586425065784e-06
"4"	"AT3G11940"	-0.00250466037513789	0.999993580326776	0.999999997398184	560.571428571429	0.00114450094810895	0.00364916132324684	-0.00250466037513789	-0.000311892822528315
"5"	"AT3G24830"	-0.00253426840514203	0.999984689716514	0.999999997398184	447.285714285714	0.00134528036416009	0.00387954876930212	-0.00253426840514203	-0.000133055068006249
"6"	"AT1G08360"	-0.00254944617944502	0.999985139886825	0.999999997398184	443.642857142857	0.00133946361191685	0.00388890979136187	-0.00254944617944502	-0.000139763346159943
"7"	"AT4G38920"	-0.0027306578637415	0.999973649048805	0.999999997398184	339.071428571429	0.00151272887810803	0.00424338674184953	-0.0027306578637415	-2.57789539018618e-07
"8"	"AT5G59613"	-0.00291327011337204	0.999997699037069	0.999999997398184	440.428571428571	0.000984028001071546	0.00389729811444359	-0.00291327011337204	-0.00049599784491779
"9"	"AT5G13510"	-0.0029508605828772	0.999993599684872	0.999999997398184	365.285714285714	0.00118460321245501	0.00413546379533221	-0.0029508605828772	-0.00031810507933324
"10"	"AT3G13920"	-0.0029670299711041	0.999989761028432	0.999999997398184	335.571428571429	0.00129204202348558	0.00425907199458969	-0.0029670299711041	-0.000222438477755763
"11"	"AT1G01620"	-0.00297363239623169	0.999999889413276	0.999999997398184	620.285714285714	0.000587958966599057	0.00356159136283075	-0.00297363239623169	-0.000860094807808104
"12"	"AT2G17360"	-0.00301941656236062	0.999978250088329	0.999999997398184	287.785714285714	0.00149197069551307	0.00451138725787369	-0.00301941656236062	-4.65398308029422e-05
"13"	"AT3G08610"	-0.00316304354446684	0.99998923590784	0.999999997398184	291.857142857143	0.00132362607861841	0.00448666962308526	-0.00316304354446684	-0.000212530387241558
"14"	"AT4G34110"	-0.00316694121423934	0.999984554916458	0.999999997398184	276.714285714286	0.00141533890400152	0.00458228011824087	-0.00316694121423934	-0.000129923323301839
"15"	"AT5G20010"	-0.00335744664651739	0.999992121129986	0.999999997398184	270.285714285714	0.00126866225863227	0.00462610890514966	-0.00335744664651739	-0.000280774138852885
"16"	"AT5G64350"	-0.00337284619171188	0.999985961390054	0.999999997398184	249.285714285714	0.00141218999717698	0.00478503618888887	-0.00337284619171188	-0.000152382332092854
"17"	"AT5G59880"	-0.00339722666236171	0.999998682003299	0.999999997398184	322	0.000925890204853208	0.00432311686721491	-0.00339722666236171	-0.000594689808066731
"18"	"AT1G75950"	-0.00344931286690932	0.999995823943913	0.999999997398184	275.785714285714	0.0011391718203425	0.00458848468725182	-0.00344931286690932	-0.000406681318295238
"19"	"AT5G55190"	-0.00397639588648444	0.999987621197108	0.999999997398184	190.357142857143	0.00144186667395943	0.00541826256044388	-0.00397639588648444	-0.000183012928791835
"20"	"AT4G33250"	-0.00411799495041168	0.999978452914954	0.999999997398184	170.357142857143	0.00161475274326823	0.00573274769367991	-0.00411799495041168	-4.00778245531375e-05
"21"	"AT1G24360"	-0.00447150873925971	0.999977813896072	0.999999997398184	150.142857142857	0.00166422780018096	0.00613573653944067	-0.00447150873925971	-2.89826577128565e-05
"22"	"AT4G37870"	-0.00456270511998828	0.999986257026897	0.999999997398184	152	0.00153153633070531	0.00609424145069359	-0.00456270511998828	-0.000157722213974506
"23"	"AT5G67420"	-0.00457452353080671	0.999981056817987	0.999999997398184	147.285714285714	0.00162709493719757	0.00620161846800427	-0.00457452353080671	-7.23899900832638e-05
"24"	"AT2G43090"	-0.00458770065470618	0.999992220741266	0.999999997398184	157.857142857143	0.00138206708424353	0.00596976773894972	-0.00458770065470618	-0.000295336821222576
"25"	"AT3G57870"	-0.00487416422063581	0.999997490638861	0.999999997398184	155.214285714286	0.00115060538247757	0.00602476960311337	-0.00487416422063581	-0.000532036795766033
"26"	"AT1G79010"	-0.00532447221063981	0.999994248225046	0.999999997398184	128.785714285714	0.00137447442964316	0.00669894664028297	-0.00532447221063981	-0.000372375085473738
"27"	"AT4G02080"	-0.00537167474257076	0.999993481489965	0.999999997398184	126.142857142857	0.00141022697708761	0.00678190171965837	-0.00537167474257076	-0.000344523021779324
"28"	"AT2G30620"	-0.00545820491995022	0.999999489102846	0.999999997398184	140.642857142857	0.000906935573031002	0.00636514049298122	-0.00545820491995022	-0.000808122880438109
"29"	"AT2G40060"	-0.00557946361340007	0.99999640884082	0.999999997398184	123.642857142857	0.00128417308656939	0.00686363669996946	-0.00557946361340007	-0.000478361196136692
"30"	"AT1G31910"	-0.00562102889688447	0.999977377272501	0.999999997398184	108.857142857143	0.0018027728363149	0.00742380173319937	-0.00562102889688447	-1.31104971749837e-05
"31"	"AT2G16510"	-0.00585619827077498	0.99999948896782	0.999999997398184	126	0.000930286644572359	0.00678648491534734	-0.00585619827077498	-0.000824899849122096
"32"	"AT1G27530"	-0.00601171561062254	0.999999632652305	0.999999997398184	122.571428571429	0.000887971033210409	0.00689968664383295	-0.00601171561062254	-0.000877996577482675
"33"	"AT1G75330"	-0.00610596921613632	0.999986896683538	0.999999997398184	101.071428571429	0.00167867094011758	0.0077846401562539	-0.00610596921613632	-0.000171577957472737
"34"	"AT1G22450"	-0.00621015887707896	0.999999380902062	0.999999997398184	114.5	0.000982789449828599	0.00719294832690756	-0.00621015887707896	-0.00081110784496683
"35"	"AT2G05840"	-0.00634440658409365	0.999989186001289	0.999999997398184	97.1428571428571	0.00164426404045781	0.00798867062455146	-0.00634440658409365	-0.000225416330303702
"36"	"AT5G58070"	-0.00641083904859705	0.999990353307384	0.999999997398184	96.4285714285714	0.00161671415004748	0.00802755319864453	-0.00641083904859705	-0.000256669323008609
"37"	"AT1G21720"	-0.00648419288709138	0.999995712556381	0.999999997398184	99.0714285714286	0.00140229534195234	0.00788648822904372	-0.00648419288709138	-0.000457653372094153
"38"	"AT4G19640"	-0.00651819199408183	0.999980632856876	0.999999997398184	90.5714285714286	0.00185133160384183	0.00836952359792365	-0.00651819199408183	-5.46204786694181e-05
"39"	"AT3G11400"	-0.00666857693660232	0.99999776767658	0.999999997398184	98.2142857142857	0.00126283026064844	0.00793140719725076	-0.00666857693660232	-0.000601396450370148
"40"	"AT2G37480"	-0.00738577368821056	0.999986802323822	0.999999997398184	78.9285714285714	0.00181423866770195	0.00920001235591251	-0.00738577368821056	-0.000170807582236811
"41"	"AT5G53140"	-0.00755289577307817	0.99999289182708	0.999999997398184	79.0714285714286	0.00163544451556437	0.00918834028864255	-0.00755289577307817	-0.000348490108920101
"42"	"AT2G46030"	-0.00788947463888968	0.999990191041889	0.999999997398184	73.7142857142857	0.00176752968802725	0.00965700432691694	-0.00788947463888968	-0.000261039606769067
"43"	"AT2G46230"	-0.00793467995410773	0.999997050629356	0.999999997398184	77	0.00142714428428714	0.00936182423839488	-0.00793467995410773	-0.000573312621126127
"44"	"AT5G20900"	-0.00796815813006139	0.999981108040889	0.999999997398184	70.5	0.00200423287793138	0.00997239100799277	-0.00796815813006139	-5.43732436340647e-05
"45"	"AT3G03160"	-0.00800336179016616	0.99998008225882	0.999999997398184	69.9285714285714	0.00202813334764076	0.0100314951378069	-0.00800336179016616	-3.61017386688966e-05
"46"	"AT3G56460"	-0.00812017514915411	0.999988693593384	0.999999997398184	70.6428571428571	0.00183758923015109	0.0099577643793052	-0.00812017514915411	-0.000219623879158398
