tracking_id	FPKM_ZT0_seedling14	TPM_ZT0_seedling14	Raw_ZT0_seedling14
ERCC-00002	413.898	451.2833352	3599
ERCC-00003	63.5145	69.25144696	401
ERCC-00004	556.797	607.0896868	1456
ERCC-00009	22.36	24.37966691	165
ERCC-00012	0	0	0
ERCC-00013	0	0	0
ERCC-00014	0	0	0
ERCC-00016	0	0	0
ERCC-00017	0	0	0
ERCC-00019	0.667661	0.727967477	3
ERCC-00022	9.01425	9.828462095	49
ERCC-00024	0.269708	0.294069374	1
ERCC-00025	1.15559	1.259968662	22
ERCC-00028	0	0	0
ERCC-00031	0	0	0
ERCC-00033	0.0639656	0.069743293	1
ERCC-00034	0.110271	0.120231228	1
ERCC-00035	2.04722	2.232135138	25
ERCC-00039	0.391377	0.426728126	2
ERCC-00040	0	0	0
ERCC-00041	0	0	0
ERCC-00042	27.8103	30.32226524	170
ERCC-00043	31.8055	34.67833166	232
ERCC-00044	0.875576	0.954662399	9
ERCC-00046	471.986	514.6181336	1179
ERCC-00048	0	0	0
ERCC-00051	15	16.35487494	12
ERCC-00053	0.325631	0.355043619	2
ERCC-00054	3.9851	4.345054141	3
ERCC-00057	0	0	0
ERCC-00058	0	0	0
ERCC-00059	1.71457	1.869438528	5
ERCC-00060	45.77	49.90417507	121
ERCC-00061	0	0	0
ERCC-00062	3.28168	3.578097733	23
ERCC-00067	0	0	0
ERCC-00069	0	0	0
ERCC-00071	4.41314	4.811756853	17
ERCC-00073	0	0	0
ERCC-00074	1781.98	1942.937336	4848
ERCC-00075	0	0	0
ERCC-00076	17.2495	18.80756102	78
ERCC-00077	1.25884	1.372544718	1
ERCC-00078	0.818125	0.892022137	7
ERCC-00079	4.52618	4.93500719	22
ERCC-00081	0	0	0
ERCC-00083	0	0	0
ERCC-00084	1.28536	1.401460137	11
ERCC-00085	0.145979	0.159164553	1
ERCC-00086	0	0	0
ERCC-00092	8.39813	9.156691058	78
ERCC-00095	6.00178	6.543890754	17
ERCC-00096	397.276	433.1599531	3813
ERCC-00097	0	0	0
ERCC-00098	0	0	0
ERCC-00099	1.31282	1.431400461	14
ERCC-00104	0	0	0
ERCC-00108	32.05	34.94491612	260
ERCC-00109	0	0	0
ERCC-00111	17.0287	18.56681726	153
ERCC-00112	1.91328	2.086097008	18
ERCC-00113	261.839	285.4896066	1743
ERCC-00116	1.56103	1.702030028	28
ERCC-00117	0	0	0
ERCC-00120	0.28222	0.30771152	1
ERCC-00123	0	0	0
ERCC-00126	0.108865	0.118698231	1
ERCC-00130	518.965	565.8405115	5160
ERCC-00131	4.62034	5.037672192	29
ERCC-00134	0	0	0
ERCC-00136	31.9838	34.87273661	275
ERCC-00137	0	0	0
ERCC-00138	0	0	0
ERCC-00142	0	0	0
ERCC-00143	0.162385	0.177052424	1
ERCC-00144	2.24603	2.448902651	8
ERCC-00145	27.5589	30.04815753	247
ERCC-00147	0	0	0
ERCC-00148	1.19058	1.298119134	4
ERCC-00150	0.346664	0.377976424	2
ERCC-00154	1.34626	1.467860929	5
ERCC-00156	0	0	0
ERCC-00157	0.109818	0.11973731	1
ERCC-00158	0	0	0
ERCC-00160	0.198055	0.215944317	1
ERCC-00162	12.0856	13.17723177	27
ERCC-00163	1.4923	1.627091992	5
ERCC-00164	0.178179	0.194273017	1
ERCC-00165	1.846	2.012739943	12
ERCC-00168	0.160282	0.174759471	1
ERCC-00170	0.415825	0.453384391	3
ERCC-00171	212.868	232.0953012	717
AT1G01010	13.4014	14.6118814	211
AT1G01020	12.3933	13.51272477	172
AT1G01030	3.79205	4.134566901	64
AT1G01040	8.81523	9.611465614	560
AT1G01046	2.76601	3.015849842	1
AT1G01050	130.046	141.7924044	978
AT1G01060	350.555	382.218879	8444
AT1G01070	14.5318	15.84438478	158
AT1G01073	0	0	0
AT1G01080	81.6403	89.01445977	831
AT1G01090	157.305	171.5135735	2246
AT1G01100	566.256	617.4030709	2415
AT1G01110	6.16232	6.718931529	112
AT1G01115	0	0	0
AT1G01120	55.6051	60.62763043	869
AT1G01130	3.6969	4.030822478	25
AT1G01140	28.4477	31.01723839	459
AT1G01150	0.0937904	0.102262018	1
AT1G01160	33.6352	36.6732993	344
AT1G01170	134.766	146.9387384	346
AT1G01180	21.336	23.26317411	219
AT1G01183	0	0	0
AT1G01190	5.74595	6.264952911	117
AT1G01200	3.1686	3.454803782	25
AT1G01210	26.2716	28.64458216	138
AT1G01220	8.07462	8.803960019	267
AT1G01225	7.088	7.728223572	55
AT1G01230	38.739	42.23810002	226
AT1G01240	16.271	17.74067801	201
AT1G01250	0.654402	0.713510858	5
AT1G01260	10.4354	11.37797746	240
AT1G01270	0	0	0
AT1G01280	0	0	0
AT1G01290	14.7864	16.12198152	138
AT1G01300	32.0123	34.90381087	474
AT1G01305	0	0	0
AT1G01310	0.112397	0.122549259	1
AT1G01320	64.8533	70.71117406	3955
AT1G01340	6.17377	6.73141575	128
AT1G01350	19.6591	21.43480813	261
AT1G01355	0	0	0
AT1G01360	21.446	23.38310986	176
AT1G01370	11.0641	12.06346479	84
AT1G01380	3.38252	3.688046105	14
AT1G01390	3.56601	3.888109839	52
AT1G01400	0	0	0
AT1G01410	0	0	0
AT1G01420	7.46015	8.133988019	96
AT1G01430	62.644	68.30231905	817
AT1G01440	11.9017	12.976721	286
AT1G01448	7.16879	7.816310928	79
AT1G01450	5.30901	5.788546307	0
AT1G01453	0.801555	0.873955452	7
AT1G01460	0	0	0
AT1G01470	56.7483	61.87408997	327
AT1G01471	0	0	0
AT1G01480	1.03664	1.130274504	16
AT1G01490	82.5969	90.05746466	793
AT1G01500	3.52406	3.842370705	48
AT1G01510	25.8559	28.19133406	558
AT1G01520	8.5981	9.374723348	84
AT1G01530	0.180613	0.196926868	1
AT1G01540	54.9141	59.87421586	1025
AT1G01550	126.161	137.5564918	1429
AT1G01560	0.546443	0.595800462	6
AT1G01570	2.11635	2.307509305	35
AT1G01580	74.123	80.81815968	1533
AT1G01590	0	0	0
AT1G01600	5.73706	6.255259921	121
AT1G01610	31.5719	34.42363174	481
AT1G01620	550.267	599.9698646	5698
AT1G01630	47.6342	51.93675892	524
AT1G01640	15.7156	17.13511151	121
AT1G01650	13.2237	14.41813065	247
AT1G01660	0.900643	0.981993575	24
AT1G01670	1.35144	1.473508813	19
AT1G01680	0	0	1
AT1G01690	4.45323	4.855467982	90
AT1G01695	0.0947943	0.103356595	1
AT1G01700	1.35591	1.478382565	28
AT1G01710	16.6611	18.16601379	400
AT1G01720	51.2801	55.91197483	590
AT1G01725	22.1703	24.17283226	60
AT1G01730	37.0398	40.38541979	285
AT1G01740	3.99084	4.351312607	73
AT1G01750	24.3671	26.56805821	149
AT1G01760	4.76813	5.198811323	64
AT1G01770	11.1798	12.18961539	266
AT1G01780	22.3448	24.36309397	155
AT1G01790	38.8134	42.3192202	1523
AT1G01800	70.4357	76.79780432	620
AT1G01810	1.2179	1.327906813	6
AT1G01820	55.4019	60.40607639	438
