tracking_id	FPKM_ZT0_seedling8	TPM_ZT0_seedling8	Raw_ZT0_seedling8
ERCC-00002	715.334	843.2947999	1668
ERCC-00003	74.3551	87.655933	110
ERCC-00004	716.261	844.3876241	461
ERCC-00009	32.9751	38.87377135	64
ERCC-00012	0	0	0
ERCC-00013	0	0	0
ERCC-00014	0.225589	0.265942945	1
ERCC-00016	0	0	0
ERCC-00017	0	0	0
ERCC-00019	0	0	0
ERCC-00022	17.8652	21.06097328	25
ERCC-00024	0	0	0
ERCC-00025	1.20526	1.420860033	6
ERCC-00028	0	0	0
ERCC-00031	0.393288	0.463640377	1
ERCC-00033	0	0	0
ERCC-00034	0.436064	0.514068259	1
ERCC-00035	2.57624	3.037084488	8
ERCC-00039	0	0	0
ERCC-00040	0	0	0
ERCC-00041	0	0	0
ERCC-00042	38.9088	45.86890699	60
ERCC-00043	44.7937	52.80651315	77
ERCC-00044	1.83567	2.164039407	5
ERCC-00046	625.26	737.1081294	398
ERCC-00048	0	0	0
ERCC-00051	0	0	0
ERCC-00053	0.693812	0.817922889	1
ERCC-00054	0	0	0
ERCC-00057	0	0	0
ERCC-00058	0	0	0
ERCC-00059	2.37955	2.805210071	2
ERCC-00060	36.9051	43.50677994	23
ERCC-00061	0	0	0
ERCC-00062	5.65473	6.666262758	9
ERCC-00067	0	0	0
ERCC-00069	0	0	0
ERCC-00071	8.33598	9.827141708	9
ERCC-00073	0	0	0
ERCC-00074	3029.43	3571.34229	1988
ERCC-00075	0	0	0
ERCC-00076	22.3032	26.29285422	28
ERCC-00077	0	0	0
ERCC-00078	0.446752	0.526668156	1
ERCC-00079	3.80012	4.479895315	5
ERCC-00081	0	0	0
ERCC-00083	0	0	0
ERCC-00084	0.863311	1.017742309	2
ERCC-00085	0.556782	0.656380607	1
ERCC-00086	0	0	0
ERCC-00092	15.6099	18.40223937	39
ERCC-00095	6.88572	8.11745544	5
ERCC-00096	685.104	807.6571792	1749
ERCC-00097	0	0	0
ERCC-00098	0	0	0
ERCC-00099	0.753826	0.888672349	2
ERCC-00104	0	0	0
ERCC-00108	38.3363	45.19399671	87
ERCC-00109	0	0	0
ERCC-00111	23.0012	27.11571427	52
ERCC-00112	2.81914	3.32343507	7
ERCC-00113	378.018	445.6388396	663
ERCC-00116	1.24507	1.467791349	6
ERCC-00117	0	0	0
ERCC-00120	1.05368	1.242165009	1
ERCC-00123	0	0	0
ERCC-00126	0.401569	0.473402704	1
ERCC-00130	896.99	1057.445896	2255
ERCC-00131	9.00392	10.61456455	15
ERCC-00134	0	0	0
ERCC-00136	44.1849	52.08880943	98
ERCC-00137	0	0	0
ERCC-00138	0	0	0
ERCC-00142	0	0	0
ERCC-00143	0	0	0
ERCC-00144	1.01758	1.199607348	1
ERCC-00145	42.1433	49.68200273	97
ERCC-00147	0	0	0
ERCC-00148	1.07559	1.267994327	1
ERCC-00150	0	0	0
ERCC-00154	0.96202	1.134108631	1
ERCC-00156	0	0	0
ERCC-00157	0	0	0
ERCC-00158	0	0	0
ERCC-00160	0	0	0
ERCC-00162	15.1909	17.90828756	9
ERCC-00163	4.29017	5.057606729	4
ERCC-00164	0	0	0
ERCC-00165	3.2397	3.819225933	6
ERCC-00168	0	0	0
ERCC-00170	0	0	0
ERCC-00171	326.715	385.158626	301
AT1G01010	12.4738	14.70514567	52
AT1G01020	5.99153	7.063310415	24
AT1G01030	4.05129	4.775995255	16
AT1G01040	8.62419	10.16690746	131
AT1G01046	0	0	0
AT1G01050	135.995	160.3221381	255
AT1G01060	427.535	504.0135689	2519
AT1G01070	9.65863	11.38639077	24
AT1G01073	0	0	0
AT1G01080	77.7033	91.6030677	198
AT1G01090	138.208	162.9310053	505
AT1G01100	481.237	567.3219218	575
AT1G01110	3.30206	3.892741051	16
AT1G01115	0	0	0
AT1G01120	47.8371	56.39432443	201
AT1G01130	0	0	1
AT1G01140	35.7828	42.18372001	146
AT1G01150	0	0	0
AT1G01160	26.9301	31.74742609	67
AT1G01170	140.129	165.1956387	95
AT1G01180	18.4912	21.79895378	51
AT1G01183	0	0	0
AT1G01190	5.39317	6.357914228	22
AT1G01200	3.20734	3.781077292	7
AT1G01210	16.7742	19.77481237	20
AT1G01220	8.62731	10.17058557	69
AT1G01225	4.71907	5.563229473	9
AT1G01230	30.2073	35.61086012	46
AT1G01240	15.4342	18.1951097	45
AT1G01250	0	0	0
AT1G01260	8.49235	10.01148358	47
AT1G01270	0	0	0
AT1G01280	0	0	0
AT1G01290	9.78504	11.53541332	23
AT1G01300	25.4617	30.01635489	102
AT1G01305	0	0	0
AT1G01310	0	0	0
AT1G01320	81.1813	95.70322135	1217
AT1G01340	6.8354	8.058134068	36
AT1G01350	17.2416	20.3258221	56
AT1G01355	0	0	0
AT1G01360	9.72929	11.46969061	20
AT1G01370	5.68677	6.704034157	10
AT1G01380	1.00956	1.190152709	1
AT1G01390	3.1991	3.7713633	12
AT1G01400	0	0	0
AT1G01410	0	0	0
AT1G01420	6.16438	7.267080271	20
AT1G01430	74.5678	87.90668133	256
AT1G01440	11.3834	13.4196921	66
AT1G01448	5.6375	6.645950611	20
AT1G01450	7.91086	9.32597514	0
AT1G01453	0.39125	0.461237814	1
AT1G01460	0	0	0
AT1G01470	47.6619	56.1877842	71
AT1G01471	0	0	0
AT1G01480	0.722288	0.851492749	3
AT1G01490	98.6096	116.2491408	226
AT1G01500	1.48662	1.752550439	5
AT1G01510	23.8733	28.14381778	129
AT1G01520	6.08836	7.177461617	14
AT1G01530	0	0	0
AT1G01540	59.7057	70.38601036	281
AT1G01550	112.97	133.1783664	321
AT1G01560	0	0	0
AT1G01570	0.876646	1.033462709	4
AT1G01580	44.0884	51.97504726	229
AT1G01590	0.227223	0.267869239	1
AT1G01600	6.73922	7.94474914	36
AT1G01610	33.8696	39.92828183	134
AT1G01620	569.739	671.655389	1535
AT1G01630	45.522	53.66509335	123
AT1G01640	4.63963	5.46957904	9
AT1G01650	12.4948	14.72990221	58
AT1G01660	0.40712	0.479946681	2
AT1G01670	1.75141	2.06470676	7
AT1G01680	0	0	0
AT1G01690	3.66712	4.32310393	18
AT1G01695	0	0	0
AT1G01700	0.618838	0.729537345	5
AT1G01710	16.1744	19.06771859	94
AT1G01720	51.954	61.24766618	156
AT1G01725	21.9352	25.85902543	16
AT1G01730	30.6855	36.17460177	62
AT1G01740	4.42962	5.222001906	22
AT1G01750	15.5109	18.28552999	30
AT1G01760	4.01496	4.733166451	12
AT1G01770	12.257	14.44956393	70
AT1G01780	13.8247	16.29769817	25
AT1G01790	51.1593	60.31080818	474
AT1G01800	68.6548	80.93594857	153
AT1G01810	0	0	0
AT1G01820	52.7152	62.1450316	107
AT1G01830	6.27941	7.402687136	36
AT1G01840	0	0	0
AT1G01860	11.7512	13.85328511	30
