Gene	TypeV	ZT
AT2G24940	Variable	ZT2
AT4G19112	Variable	ZT2
AT5G27889	Variable	ZT2
AT1G55010	Variable	ZT2
AT1G13609	Variable	ZT2
AT5G45428	Variable	ZT2
AT4G22505	Variable	ZT2
AT4G22513	Variable	ZT2
AT5G47990	Variable	ZT2
AT2G41240	Variable	ZT2
AT4G22517	Variable	ZT2
AT4G22485	Variable	ZT2
AT4G22510	Variable	ZT2
AT4G22520	Variable	ZT2
AT5G03545	Variable	ZT2
AT2G42540	Variable	ZT2
AT4G22490	Variable	ZT2
AT3G05727	Variable	ZT2
AT5G38930	Variable	ZT2
AT5G09672	Variable	ZT2
AT2G14580	Variable	ZT2
AT5G59330	Variable	ZT2
AT1G29951	Variable	ZT2
AT3G18000	Variable	ZT2
AT3G12900	Variable	ZT2
AT5G64110	Variable	ZT2
AT1G52000	Variable	ZT2
AT1G47400	Variable	ZT2
AT5G55450	Variable	ZT2
AT5G48000	Variable	ZT2
AT1G47395	Variable	ZT2
AT1G77120	Variable	ZT2
AT4G35770	Variable	ZT2
AT2G14247	Variable	ZT2
AT5G48010	Variable	ZT2
AT4G37095	Variable	ZT2
AT5G04238	Variable	ZT2
AT1G25470	Variable	ZT2
AT5G38940	Variable	ZT2
AT4G29030	Variable	ZT2
AT5G08760	Variable	ZT2
AT4G33610	Variable	ZT2
AT5G18661	Variable	ZT2
AT5G04790	Variable	ZT2
AT3G61930	Variable	ZT2
AT4G30140	Variable	ZT2
AT3G56970	Variable	ZT2
AT4G12490	Variable	ZT2
AT3G25572	Variable	ZT2
AT5G02760	Variable	ZT2
AT5G53486	Variable	ZT2
AT1G55990	Variable	ZT2
AT4G36850	Variable	ZT2
AT3G02480	Variable	ZT2
AT2G43018	Variable	ZT2
AT3G27027	Variable	ZT2
AT4G31940	Variable	ZT2
AT1G61275	Variable	ZT2
AT2G30766	Variable	ZT2
AT5G58390	Variable	ZT2
AT2G01520	Variable	ZT2
AT3G56980	Variable	ZT2
AT1G14960	Variable	ZT2
AT3G22231	Variable	ZT2
AT5G64570	Variable	ZT2
AT3G28220	Variable	ZT2
AT5G40590	Variable	ZT2
AT3G14620	Variable	ZT2
AT1G53542	Variable	ZT2
AT5G20150	Variable	ZT2
AT5G56080	Variable	ZT2
AT1G73830	Variable	ZT2
AT5G64572	Variable	ZT2
ATCG00710	Variable	ZT2
AT1G01580	Variable	ZT2
AT2G37770	Variable	ZT2
AT5G59320	Variable	ZT2
AT3G12820	Variable	ZT2
AT3G49580	Variable	ZT2
AT5G09520	Variable	ZT2
AT2G41100	Variable	ZT2
AT3G13610	Variable	ZT2
AT3G55240	Variable	ZT2
AT1G25472	Variable	ZT2
AT1G52400	Variable	ZT2
AT1G16515	Variable	ZT2
AT5G07842	Variable	ZT2
AT2G33830	Variable	ZT2
ATCG01020	Variable	ZT2
AT3G23290	Variable	ZT2
AT1G43800	Variable	ZT2
AT5G15960	Variable	ZT2
AT3G02040	Variable	ZT2
AT3G29250	Variable	ZT2
AT4G32480	Variable	ZT2
AT5G05250	Variable	ZT2
ATCG00640	Variable	ZT2
AT1G28710	Variable	ZT2
AT2G18150	Variable	ZT2
AT3G08770	Variable	ZT2
AT2G42610	Variable	ZT2
AT5G02780	Variable	ZT2
AT3G22060	Variable	ZT2
AT1G21910	Variable	ZT2
AT1G61280	Variable	ZT2
AT1G49860	Variable	ZT2
AT5G52640	Variable	ZT2
AT3G07273	Variable	ZT2
AT3G54363	Variable	ZT2
AT5G04140	Variable	ZT2
AT4G22610	Variable	ZT2
AT5G37990	Variable	ZT2
AT2G05380	Variable	ZT2
AT5G33370	Variable	ZT2
AT3G17790	Variable	ZT2
AT3G18217	Variable	ZT2
ATCG00905	Variable	ZT2
ATCG00300	Variable	ZT2
AT5G45070	Variable	ZT2
AT1G19394	Variable	ZT2
AT1G31258	Variable	ZT2
AT4G39675	Variable	ZT2
AT2G16060	Variable	ZT2
ATCG00140	Variable	ZT2
ATCG00580	Variable	ZT2
AT2G39530	Variable	ZT2
AT3G16360	Variable	ZT2
AT4G19690	Variable	ZT2
AT5G42800	Variable	ZT2
AT3G21680	Variable	ZT2
AT3G26460	Variable	ZT2
AT5G42530	Variable	ZT2
AT1G62500	Variable	ZT2
AT5G51440	Variable	ZT2
AT5G46890	Variable	ZT2
AT2G22482	Variable	ZT2
AT5G20820	Variable	ZT2
AT4G12480	Variable	ZT2
AT2G15128	Variable	ZT2
AT5G09530	Variable	ZT2
AT5G47500	Variable	ZT2
AT4G22870	Variable	ZT2
AT5G09670	Variable	ZT2
AT5G46900	Variable	ZT2
AT3G22121	Variable	ZT2
AT4G22880	Variable	ZT2
ATCG01060	Variable	ZT2
AT1G02205	Variable	ZT2
AT5G26220	Variable	ZT2
AT2G19800	Variable	ZT2
AT5G03552	Variable	ZT2
AT1G65486	Variable	ZT2
AT5G57560	Variable	ZT2
AT3G47640	Variable	ZT2
AT4G14130	Variable	ZT2
AT1G26250	Variable	ZT2
AT2G20670	Variable	ZT2
AT5G54060	Variable	ZT2
AT2G43535	Variable	ZT2
ATCG00070	Variable	ZT2
AT5G13580	Variable	ZT2
AT5G07690	Variable	ZT2
AT3G25570	Variable	ZT2
AT1G50060	Variable	ZT2
AT3G20380	Variable	ZT2
AT2G36030	Variable	ZT2
AT3G16150	Variable	ZT2
AT5G26260	Variable	ZT2
AT4G14630	Variable	ZT2
