Name	entropyloG2
AT2G26550	5.770920577
AT2G26570	5.919717722
AT2G26580	5.684261904
AT2G26360	5.811883741
AT2G26380	5.844260666
AT2G26390	5.877264644
AT2G26400	5.304625549
AT2G26410	2.447990417
AT2G26560	4.62819896
AT2G26600	5.869954393
AT2G26520	5.883181757
AT2G26530	5.358567887
AT2G26540	5.776798412
AT2G26430	5.895287773
AT2G26500	5.675550759
AT2G26590	5.946644158
AT2G26510	5.903895104
AT2G23320	5.752591827
AT2G26440	5.444079474
AT2G26450	2.888031571
AT2G26460	5.895228776
AT2G26490	3.409796377
AT2G39720	5.939307145
AT2G39770	5.88911048
AT2G39730	5.632702608
AT2G39760	5.924759869
AT2G39795	5.782675922
AT2G39725	5.780915393
AT2G39750	5.942298243
AT2G39840	5.966879056
AT2G39780	5.841719365
AT2G23260	5.44318986
AT2G23240	2.890525319
AT2G23230	5.564526322
AT2G23220	4.791044619
AT2G23200	5.637797443
AT2G23180	5.557208029
AT2G23170	5.356711846
AT2G23160	5.937373414
AT2G23340	5.828643829
AT2G23330	5.912364558
AT2G23300	5.799859343
AT2G23270	5.821849668
AT2G23310	5.920725785
AT2G23290	5.873216292
AT2G23350	5.839441622
AT2G39820	5.138033151
AT2G39830	5.852054979
AT2G39850	5.385207848
AT2G45290	4.905138732
AT2G40900	5.468767175
AT2G40950	5.886173114
AT2G40820	5.877409559
AT2G40840	5.848188695
AT2G40880	5.650834785
AT2G40935	5.95777849
AT2G40940	5.808188481
AT2G40830	5.869606004
AT2G40930	5.877335378
AT2G40890	5.668538838
AT2G41600	5.918570387
AT2G41610	4.87902102
AT2G41650	5.44205553
AT2G41510	5.799616766
AT2G41520	5.91902325
AT2G41550	5.267032146
AT2G41540	5.276237348
AT2G41660	4.171313669
AT2G41630	5.78069273
AT2G41530	5.901687077
AT2G41620	5.910127422
AT2G41560	5.58077882
AT2G41680	5.590089524
AT2G41640	5.196463621
AT2G39810	5.936781255
AT2G47610	5.801776464
AT2G47420	5.88397188
AT2G47450	5.588656138
AT2G47580	5.913682695
AT2G47460	5.288774102
AT2G47600	5.751827267
AT2G45340	5.528775968
AT2G45330	5.881178612
AT2G45320	5.950381732
AT2G45310	4.171466156
AT2G45250	5.920003823
AT2G45210	4.960107814
