Gene	effect.size_ZT16	p.value_ZT16	q.value_ZT16	Mean_ZT16	CV2_ZT16	TechNoise_ZT16	BioVar_ZT16
AT2G24940	3.756782589	0	0	7.071428571	3.881032548	0.124249959	4.96512325
AT1G43800	2.593577219	0	0	42.57142857	2.618030026	0.024452808	6.742337699
AT1G31258	1.299320413	0	0	61.14285714	1.317735173	0.01841476	6.161054038
AT3G20395	1.244371783	0	0	12.35714286	1.31743074	0.073058957	4.172522152
AT3G28220	1.156694765	3.56E-14	3.99E-12	4.928571429	1.332977881	0.176283117	2.918686629
AT4G22880	1.1476232	0	0	23.85714286	1.187669801	0.040046601	4.890310175
AT4G12490	1.06419545	0	0	11.14285714	1.144717544	0.080522094	3.829463157
AT4G22870	1.057287706	0	0	8.285714286	1.163998902	0.106711197	3.447306234
AT3G13857	1.045107023	0	0	9.571428571	1.138098257	0.092991234	3.613386583
AT4G31940	1.040325598	0	0	33.71428571	1.070000884	0.029675286	5.172206242
AT4G22485	1.030015122	0	0	15.64285714	1.088689047	0.058673925	4.213728628
AT5G42800	1.019833219	0	0	30.85714286	1.051832727	0.031999507	5.038711791
AT3G29590	1.018810956	0	0	7.642857143	1.134113157	0.115302201	3.298072633
AT5G45430	0.960811443	0	0	27	0.996728923	0.03591748	4.79444315
ATCG01020	0.953113916	0	0	28.64285714	0.987233623	0.034119707	4.854714367
AT4G27450	0.916085127	0	0	55	0.936045772	0.019960645	5.551348821
AT5G54060	0.90203997	0	0	10.71428571	0.9856	0.08356003	3.560117339
AT5G09672	0.89481485	4.60E-14	5.03E-12	6.5	1.029585799	0.134770949	2.933482607
AT4G10270	0.88455363	0	0	20.85714286	0.929702499	0.045148868	4.364007405
AT1G52060	0.877159789	0	0	16.78571429	0.932150294	0.054990505	4.083308133
AT5G45428	0.832702517	0	0	34.57142857	0.86175545	0.029052933	4.890522815
AT1G25472	0.824236153	1.94E-12	1.81E-10	6.285714286	0.963445645	0.139209492	2.790945693
AT4G22520	0.799594918	0	0	61.78571429	0.817865667	0.018270749	5.484256207
AT3G03820	0.767779256	1.36E-09	8.58E-08	5.214285714	0.934653637	0.166874381	2.485669344
AT2G04040	0.766882165	0	0	10.42857143	0.852606204	0.085724039	3.314107818
AT5G17220	0.754916726	0	0	39.5	0.780915287	0.025998561	4.908662351
ATCG00070	0.743478123	0	0	15.85714286	0.801420964	0.057942841	3.789857919
AT4G22517	0.73964263	0	0	99	0.752764632	0.013122002	5.842139134
AT4G22513	0.737320821	0	0	128.7857143	0.748465761	0.01114494	6.069475624
AT4G35770	0.736970956	0	0	84.92857143	0.751509288	0.014538331	5.691857341
AT4G22505	0.732169235	0	0	20.57142857	0.777881648	0.045712412	4.088892813
AT1G52070	0.726842811	0	0	44.42857143	0.750464659	0.023621848	4.98959038
AT5G24770	0.712225072	9.99E-16	1.29E-13	9.5	0.8058811	0.093656028	3.105123246
AT4G22490	0.701794207	0	0	127.8571429	0.71298687	0.011192664	5.993250191
AT2G41240	0.697158071	0	0	36.57142857	0.724872296	0.027714224	4.709028311
AT4G26055	0.682335688	1.13E-08	6.22E-07	5.357142857	0.844882051	0.162546363	2.377898674
AT2G42530	0.676901131	0	0	18.42857143	0.727397115	0.050495984	3.848502651
AT1G55010	0.674779395	9.05E-14	9.56E-12	8.785714286	0.775677888	0.100898493	2.942553043
AT4G22510	0.658095868	3.28E-14	3.69E-12	9.357142857	0.753111931	0.095016063	2.986620964
AT5G38930	0.654581638	3.97E-14	4.38E-12	9.357142857	0.749597701	0.095016063	2.979873193
AT3G22231	0.651216146	0	0	148.7857143	0.661477769	0.010261623	6.010361802
AT4G19112	0.639482479	0	0	13.57142857	0.706413808	0.066931328	3.399759989
ATCG00905	0.634305078	2.88E-10	1.99E-08	6.928571429	0.761022589	0.126717511	2.586323374
AT2G16060	0.629796942	0	0	56.5	0.649349085	0.019552142	5.053595685
AT2G42540	0.615728162	0	0	33.64285714	0.645456743	0.02972858	4.440397938
AT3G02550	0.612067639	0	0	13.5	0.679328902	0.067261263	3.33626246
AT2G36854	0.607204597	2.55E-11	2.03E-09	8.071428571	0.716627409	0.109422812	2.711309692
AT3G44006	0.59761247	0	0	13.21428571	0.66622914	0.06861667	3.279387442
AT3G14981	0.582815564	1.62E-07	7.64E-06	5.5	0.741258741	0.158443177	2.226011679
AT1G52000	0.567059293	1.67E-10	1.20E-08	8.071428571	0.676482105	0.109422812	2.628138239
AT1G63245	0.558475331	4.26E-07	1.89E-05	5.428571429	0.718943107	0.160467775	2.163594
AT4G13493	0.554940405	7.85E-14	8.35E-12	11.14285714	0.635462499	0.080522094	2.98035039
AT1G26250	0.553369378	1.35E-08	7.34E-07	6.714285714	0.683985096	0.130615718	2.388636374
AT4G36850	0.550847879	0	0	61.92857143	0.569087031	0.018239153	4.963538685
AT1G01580	0.549299834	0	0	38.64285714	0.575773624	0.02647379	4.442865076
AT4G33560	0.546901986	0	0	29.71428571	0.579956332	0.033054346	4.133032398
AT1G77120	0.546185207	1.11E-16	1.51E-14	14.14285714	0.610597035	0.064411828	3.244823038
AT1G52400	0.544297217	0	0	38.21428571	0.571016615	0.026719398	4.417573316
AT4G17470	0.540016029	2.43E-06	8.98E-05	5	0.713846154	0.173830125	2.037935059
AT3G27027	0.535861923	3.91E-09	2.30E-07	7.428571429	0.654358216	0.118496293	2.465238704
AT3G05727	0.531503368	0	0	213	0.540050221	0.008546853	5.981556489
AT1G13609	0.530666432	0	0	55.42857143	0.550508106	0.019841674	4.794158159
AT5G51720	0.519978635	0	0	41.71428571	0.544839918	0.024861283	4.453859768
AT4G15700	0.518038067	9.42E-06	0.000319229	4.714285714	0.702126157	0.18408809	1.931333982
AT5G18661	0.517630402	1.37E-09	8.58E-08	8.142857143	0.626133485	0.108503083	2.528734227
AT4G19690	0.510440224	0	0	146.1428571	0.520804708	0.010364484	5.651022282
AT5G35480	0.504669955	1.04E-07	5.06E-06	6.642857143	0.636640963	0.131971008	2.270258957
AT5G63160	0.496107095	0	0	81.85714286	0.511019318	0.014912222	5.098810637
AT2G16005	0.491664187	0	0	17.78571429	0.543820013	0.052155825	3.382228938
AT4G29030	0.485120119	0	0	35.92857143	0.513248389	0.02812827	4.189564482
AT5G38940	0.48416029	1.11E-16	1.51E-14	16.71428571	0.539366251	0.055205962	3.288369272
AT2G47880	0.483701169	2.89E-15	3.60E-13	14.78571429	0.545511339	0.06181017	3.141693041
AT3G22235	0.478861238	0	0	50.92857143	0.500051976	0.021190738	4.560572335
AT3G56980	0.469373196	0	0	31.35714286	0.50093539	0.031562194	3.988355153
AT5G54370	0.462640834	0	0	21.14285714	0.507241389	0.044600555	3.507538898
ATCG00640	0.454845746	3.10E-11	2.40E-09	11.28571429	0.534406468	0.079560722	2.747809195
AT3G56970	0.454234577	0	0	24.57142857	0.49324999	0.039015412	3.660202976
AT5G15120	0.447354501	4.35E-12	3.92E-10	12.5	0.519630769	0.072276268	2.845892936
AT1G47600	0.445054663	0	0	25.14285714	0.483287309	0.038232646	3.660004161
AT4G14090	0.444987492	2.43E-11	1.95E-09	11.71428571	0.521804787	0.076817294	2.764007122
AT5G04238	0.444900959	8.77E-15	1.04E-12	15.85714286	0.5028438	0.057942841	3.117407991
AT2G14247	0.44136255	0	0	112.9285714	0.453430207	0.012067657	5.231663041
AT2G14580	0.4413117	9.14E-05	0.002528431	4.571428571	0.631009615	0.189697915	1.733958168
AT4G33070	0.441008015	4.30E-05	0.001299994	4.928571429	0.617291131	0.176283117	1.808056757
AT4G02380	0.439471392	0	0	1501.5	0.444608714	0.005137322	6.435376002
AT1G52050	0.432709898	2.92E-07	1.32E-05	7.428571429	0.55120619	0.118496293	2.217750167
AT5G59330	0.432709898	2.92E-07	1.32E-05	7.428571429	0.55120619	0.118496293	2.217750167
AT5G35190	0.43141404	4.79E-07	2.10E-05	7.214285714	0.553294172	0.121880132	2.182583757
AT5G45650	0.425692963	1.92E-11	1.57E-09	12.5	0.497969231	0.072276268	2.784462677
AT1G31690	0.424546723	4.19E-13	4.11E-11	14.64285714	0.486915298	0.062368575	2.964779627
AT1G02850	0.419398723	0	0	57.42857143	0.438708676	0.019309953	4.505846655
AT1G49860	0.412258038	0	0	70.78571429	0.428787286	0.016529247	4.697169211
AT5G45080	0.407126333	3.02E-05	0.000931568	5.571428571	0.563596824	0.156470491	1.848772877
AT4G30140	0.399410852	0	0	41.57142857	0.424341851	0.024931	4.089214346
AT5G03545	0.395643183	0	0	27.14285714	0.431395696	0.035752513	3.592895233
AT5G56840	0.393020209	3.25E-10	2.22E-08	12.14285714	0.46728773	0.07426752	2.653507839
AT5G60530	0.392639479	2.65E-11	2.09E-09	13.64285714	0.459244327	0.066604849	2.78556279
ATCG00330	0.385143312	0	0	26.42857143	0.421738495	0.036595184	3.526623028
AT5G64110	0.384538311	1.67E-09	1.03E-07	11.5	0.462701759	0.078163448	2.565516564
AT5G39890	0.384118526	3.09E-06	0.000113382	7.214285714	0.505998658	0.121880132	2.053670588
AT5G10130	0.383437478	0	0	28.78571429	0.417410555	0.033973077	3.619003297
ATCG01060	0.380677721	3.05E-08	1.60E-06	9.928571429	0.470488468	0.089810747	2.389199364
AT5G48485	0.380110819	0	0	67.92857143	0.397142928	0.017032109	4.543329293
AT5G26200	0.369959047	3.38E-08	1.76E-06	10.21428571	0.457385541	0.087426494	2.38726831
AT5G56080	0.365892182	1.92E-09	1.17E-07	12.14285714	0.440159702	0.07426752	2.567223752
AT1G51470	0.364336899	8.69E-07	3.55E-05	8.428571429	0.469316951	0.104980053	2.160447345
AT5G47990	0.347748006	0	0	27.71428571	0.382857657	0.035109651	3.446868564
AT1G62500	0.347342346	7.67E-11	5.71E-09	15.21428571	0.407540221	0.060197875	2.759157978
AT1G77760	0.342806376	0	0	273.5	0.35047434	0.007667965	5.514321331
AT2G37770	0.342120737	1.90E-06	7.22E-05	8.571428571	0.44542735	0.103306613	2.108257533
AT4G37160	0.342107328	9.27E-05	0.002560382	6.071428571	0.486068672	0.143961343	1.755478681
AT2G41090	0.33976965	0	0	182.7857143	0.348973261	0.009203611	5.244772647
AT1G68600	0.339160266	5.20E-06	0.000182897	8	0.449519231	0.110358964	2.026179012
AT3G28550	0.337810709	1.16E-11	9.97E-10	17.21428571	0.391546024	0.053735315	2.865239444
AT5G45070	0.335890827	5.46E-13	5.33E-11	19.78571429	0.383236907	0.04734608	3.016919626
AT3G02240	0.333690637	4.15E-07	1.85E-05	9.857142857	0.424119044	0.090428407	2.229621313
AT4G33610	0.33323599	1.46E-09	9.08E-08	13.85714286	0.398881595	0.065645604	2.603190245
AT4G15160	0.327757869	7.39E-14	7.92E-12	22.21428571	0.370427868	0.042669999	3.11789865
AT3G01940	0.326337081	4.78E-05	0.001431548	6.857142857	0.454326923	0.127989842	1.827701483
AT5G57080	0.322183269	1.16E-13	1.21E-11	22.35714286	0.364609841	0.042426572	3.103313468
AT1G25470	0.320208816	1.28E-07	6.15E-06	11.21428571	0.400247162	0.080038346	2.322127907
AT3G20380	0.318385473	3.37E-06	0.000123194	8.928571429	0.417742769	0.099357297	2.071917031
AT3G06390	0.316821852	1.59E-11	1.33E-09	18.5	0.367140529	0.050318678	2.867166471
AT2G28780	0.315121805	1.43E-05	0.000468534	8	0.425480769	0.110358964	1.946890102
AT5G09670	0.313979107	1.17E-11	9.99E-10	19	0.36309397	0.049114862	2.886111409
AT3G18200	0.310250139	0.000186556	0.004861868	6.285714286	0.449459631	0.139209492	1.690933961
