Gene	TPM_average_ZT2	TPM_average_ZT4	TPM_average_ZT6	TPM_average_ZT8	TPM_average_ZT10	TPM_average_ZT12	TPM_average_ZT14	TPM_average_ZT16	TPM_average_ZT18	TPM_average_ZT20	TPM_average_ZT22	TPM_average_ZT24
AT1G01010	11.21428571	9.928571429	8.214285714	7.5	8	8.071428571	8	8.785714286	9.571428571	10.35714286	12.5	12.28571429
AT1G01020	16.14285714	13.07142857	13.28571429	11.07142857	13.07142857	11.5	13.35714286	13.42857143	13.21428571	13.35714286	13.14285714	13.57142857
AT1G01040	11	11.07142857	10.42857143	8.785714286	9.071428571	8	9.571428571	10.57142857	10.85714286	11	10.92857143	10.35714286
AT1G01050	138.2142857	125.0714286	108.8571429	101.9285714	120	126.2142857	143.7142857	155.8571429	149.6428571	151.9285714	153.7857143	161.8571429
AT1G01060	174.6428571	27.92857143	NA	NA	NA	NA	NA	NA	20.28571429	131.2142857	315.7142857	455.7857143
AT1G01070	9.785714286	10.07142857	7.071428571	5.357142857	5.571428571	5.285714286	7	8.571428571	11.78571429	12.14285714	15.28571429	18.5
AT1G01080	105.4285714	109.5	109.8571429	110.9285714	129.3571429	134.6428571	118.2142857	118.8571429	123.4285714	117.8571429	111.3571429	92.92857143
AT1G01090	187.5	183.8571429	181.2857143	164.9285714	167	161.6428571	172.2857143	173.6428571	166.7142857	168	167.0714286	176.8571429
AT1G01100	598	538.4285714	554.1428571	590.0714286	618.7142857	677.4285714	661	674.5714286	652.5714286	581.6428571	577.0714286	558.3571429
AT1G01120	69.78571429	44.92857143	55.07142857	47.21428571	30.92857143	22.85714286	29	35.78571429	37.64285714	37.07142857	42.92857143	55.14285714
AT1G01140	32.78571429	29.21428571	30.35714286	24.71428571	24.92857143	26.07142857	39.35714286	32.5	31.42857143	36	35	42
AT1G01160	32.35714286	29.28571429	30	30.07142857	34.28571429	34.35714286	39.28571429	40.35714286	38.78571429	36.35714286	37.35714286	37.42857143
AT1G01170	143.9285714	161.9285714	153.7857143	147.2857143	150	155.2857143	176.5	195.3571429	194.7857143	206.7142857	195.5714286	185.6428571
AT1G01180	11.71428571	9.142857143	8.642857143	9.928571429	9.142857143	7.285714286	16.5	17.71428571	17.35714286	20.85714286	20.07142857	23.5
AT1G01210	33.57142857	25.5	28.5	29.35714286	34.92857143	39.14285714	30.5	31.57142857	33.21428571	30.14285714	30.07142857	29.64285714
AT1G01220	11.42857143	13.57142857	13.42857143	12.28571429	14.85714286	13.5	13.07142857	13.07142857	13.14285714	12.14285714	11.71428571	9.857142857
AT1G01225	7.785714286	9.571428571	9.857142857	9.214285714	9.785714286	10.21428571	8.928571429	9.214285714	8.785714286	8.785714286	8.5	7.357142857
AT1G01230	34.28571429	40.85714286	45.57142857	45	41.42857143	37.64285714	41.5	41.21428571	40	39.92857143	39.35714286	40.78571429
AT1G01240	8.214285714	13.14285714	12.57142857	11.21428571	6.285714286	NA	12.42857143	11.5	11.42857143	14.92857143	16.78571429	20.35714286
AT1G01260	8.5	9	9.642857143	9.285714286	10.21428571	9.714285714	8.214285714	8.714285714	8.857142857	8.642857143	8.214285714	9.357142857
AT1G01290	17.21428571	18.14285714	18.14285714	16.57142857	15.42857143	14.57142857	14.85714286	15.57142857	16.21428571	16.14285714	15.14285714	15.85714286
AT1G01300	50.78571429	57.42857143	77.57142857	88.21428571	102.0714286	86.71428571	76	70.28571429	67.78571429	49.57142857	43.92857143	35.64285714
AT1G01320	132.2142857	102.0714286	91.5	87.28571429	120.3571429	115.8571429	121.5	125.2142857	125.2857143	115.3571429	105.1428571	85.35714286
AT1G01340	6.642857143	NA	NA	NA	5.428571429	5.071428571	8.142857143	8.571428571	7.428571429	6.571428571	6.928571429	6.571428571
AT1G01350	19.07142857	18.57142857	19.14285714	19.07142857	19.14285714	18.85714286	24.42857143	22.21428571	22.21428571	22	20.92857143	22.14285714
AT1G01360	15	14.35714286	12	10.21428571	10.57142857	11.78571429	16.21428571	16.35714286	16.28571429	18.28571429	19	19.85714286
AT1G01370	11.71428571	13.28571429	13.14285714	11.5	13.28571429	13.64285714	11.5	9.785714286	10.85714286	8.142857143	8.071428571	7.928571429
AT1G01390	8.857142857	7.357142857	NA	NA	5.357142857	7.357142857	NA	NA	NA	NA	NA	NA
AT1G01420	14.85714286	14.57142857	13.57142857	11.28571429	10.57142857	11.42857143	10.78571429	11.85714286	9.642857143	10.57142857	9.214285714	9.071428571
AT1G01430	77.78571429	58.71428571	60.07142857	54.71428571	51.78571429	42.35714286	67.5	69	64.07142857	70.78571429	69.92857143	82.64285714
AT1G01440	9.928571429	9.714285714	9.714285714	9.428571429	9.571428571	8.714285714	9.928571429	11.28571429	11.71428571	11.64285714	11.78571429	12.35714286
AT1G01470	71.42857143	104.5714286	149.0714286	193.7857143	185.5	134.4285714	131	95.5	79.71428571	74.85714286	68.64285714	56.78571429
AT1G01490	88.21428571	63.14285714	51.21428571	41.28571429	38.21428571	37.21428571	57.42857143	55	60.57142857	71.14285714	82.28571429	100.1428571
AT1G01500	9.857142857	16.64285714	20.5	20.14285714	19.07142857	14.64285714	9.928571429	9	8	6.071428571	NA	NA
AT1G01510	22.85714286	24.78571429	25.28571429	22.28571429	23	22.5	25.78571429	26.64285714	26.64285714	28.14285714	29.21428571	31.07142857
