Gene	TypeV	ZT
AT2G41240	Variable	ZT8
AT2G24940	Variable	ZT8
AT5G45428	Variable	ZT8
AT4G19690	Variable	ZT8
AT1G76600	Variable	ZT8
AT1G13609	Variable	ZT8
AT5G24770	Variable	ZT8
AT2G14247	Variable	ZT8
AT1G77120	Variable	ZT8
AT2G43020	Variable	ZT8
AT5G20790	Variable	ZT8
AT1G55010	Variable	ZT8
AT5G18661	Variable	ZT8
AT5G48850	Variable	ZT8
AT4G17490	Variable	ZT8
AT3G56980	Variable	ZT8
AT3G23550	Variable	ZT8
AT1G47400	Variable	ZT8
AT5G03545	Variable	ZT8
AT2G36030	Variable	ZT8
AT5G45430	Variable	ZT8
AT1G47395	Variable	ZT8
AT4G17470	Variable	ZT8
AT2G43620	Variable	ZT8
AT4G15700	Variable	ZT8
AT5G26220	Variable	ZT8
AT4G22520	Variable	ZT8
AT4G39675	Variable	ZT8
AT5G59820	Variable	ZT8
AT4G22517	Variable	ZT8
AT4G22485	Variable	ZT8
AT4G22505	Variable	ZT8
AT1G70700	Variable	ZT8
AT4G22513	Variable	ZT8
AT3G50480	Variable	ZT8
AT2G05540	Variable	ZT8
AT5G42800	Variable	ZT8
AT4G22490	Variable	ZT8
AT5G54060	Variable	ZT8
AT4G22880	Variable	ZT8
AT3G18000	Variable	ZT8
AT1G72900	Variable	ZT8
AT2G43018	Variable	ZT8
ATCG00640	Variable	ZT8
AT4G22510	Variable	ZT8
AT2G25735	Variable	ZT8
AT3G05727	Variable	ZT8
AT2G36854	Variable	ZT8
AT5G27889	Variable	ZT8
AT5G04340	Variable	ZT8
AT5G59330	Variable	ZT8
AT5G09672	Variable	ZT8
AT4G12490	Variable	ZT8
AT5G64110	Variable	ZT8
AT1G27020	Variable	ZT8
AT3G15356	Variable	ZT8
AT4G17500	Variable	ZT8
AT1G15125	Variable	ZT8
AT1G05680	Variable	ZT8
AT5G38930	Variable	ZT8
AT1G52400	Variable	ZT8
AT4G22870	Variable	ZT8
AT5G55450	Variable	ZT8
AT5G08760	Variable	ZT8
AT5G44585	Variable	ZT8
AT5G53486	Variable	ZT8
AT2G38470	Variable	ZT8
AT4G36670	Variable	ZT8
AT5G48570	Variable	ZT8
AT4G15680	Variable	ZT8
AT1G08090	Variable	ZT8
AT5G04238	Variable	ZT8
AT4G29030	Variable	ZT8
ATCG00710	Variable	ZT8
AT3G08770	Variable	ZT8
AT3G25760	Variable	ZT8
AT2G41730	Variable	ZT8
AT3G18217	Variable	ZT8
AT3G30720	Variable	ZT8
AT4G08555	Variable	ZT8
AT5G04790	Variable	ZT8
AT3G14981	Variable	ZT8
AT3G28220	Variable	ZT8
AT2G42540	Variable	ZT8
ATCG01020	Variable	ZT8
AT2G15128	Variable	ZT8
AT1G07135	Variable	ZT8
AT2G16060	Variable	ZT8
AT5G44568	Variable	ZT8
AT5G07842	Variable	ZT8
AT1G65390	Variable	ZT8
AT2G30766	Variable	ZT8
AT4G31800	Variable	ZT8
AT5G07840	Variable	ZT8
AT2G42530	Variable	ZT8
AT4G26055	Variable	ZT8
AT4G30140	Variable	ZT8
AT3G29590	Variable	ZT8
AT2G16005	Variable	ZT8
AT4G22230	Variable	ZT8
AT2G36800	Variable	ZT8
AT1G19020	Variable	ZT8
AT1G06160	Variable	ZT8
AT4G24380	Variable	ZT8
AT2G41100	Variable	ZT8
AT1G02205	Variable	ZT8
AT1G19380	Variable	ZT8
AT4G27280	Variable	ZT8
AT3G07273	Variable	ZT8
AT3G49580	Variable	ZT8
AT3G06390	Variable	ZT8
AT3G51450	Variable	ZT8
AT5G64120	Variable	ZT8
AT3G49570	Variable	ZT8
AT1G63245	Variable	ZT8
AT4G11210	Variable	ZT8
AT1G09240	Variable	ZT8
AT4G13493	Variable	ZT8
AT5G08210	Variable	ZT8
AT5G23940	Variable	ZT8
AT1G56650	Variable	ZT8
AT1G26250	Variable	ZT8
AT3G17790	Variable	ZT8
AT2G28630	Variable	ZT8
AT5G38940	Variable	ZT8
AT4G30270	Variable	ZT8
AT5G53450	Variable	ZT8
AT5G47990	Variable	ZT8
AT5G17220	Variable	ZT8
AT3G16360	Variable	ZT8
AT3G22060	Variable	ZT8
AT3G12580	Variable	ZT8
AT1G32920	Variable	ZT8
AT5G05600	Variable	ZT8
AT5G57560	Variable	ZT8
AT5G61600	Variable	ZT8
AT3G02040	Variable	ZT8
AT3G03820	Variable	ZT8
AT5G20150	Variable	ZT8
ATCG00070	Variable	ZT8
AT5G56080	Variable	ZT8
AT5G48000	Variable	ZT8
AT5G54710	Variable	ZT8
AT3G16530	Variable	ZT8
AT1G31258	Variable	ZT8
AT3G13857	Variable	ZT8
AT1G72450	Variable	ZT8
AT3G47420	Variable	ZT8
AT1G13420	Variable	ZT8
AT4G14090	Variable	ZT8
AT5G24780	Variable	ZT8
AT5G46890	Variable	ZT8
AT5G07690	Variable	ZT8
AT1G19180	Variable	ZT8
AT2G21650	Variable	ZT8
AT1G14960	Variable	ZT8
AT4G21870	Variable	ZT8
AT5G05250	Variable	ZT8
AT5G24660	Variable	ZT8
AT1G31690	Variable	ZT8
AT5G09670	Variable	ZT8
AT1G19670	Variable	ZT8
AT1G73330	Variable	ZT8
AT1G53885	Variable	ZT8
AT1G65486	Variable	ZT8
AT2G34925	Variable	ZT8
AT3G48360	Variable	ZT8
AT5G14730	Variable	ZT8
AT2G01520	Variable	ZT8
AT5G26270	Variable	ZT8
AT1G29395	Variable	ZT8
AT1G22400	Variable	ZT8
AT2G39510	Variable	ZT8
AT1G14250	Variable	ZT8
AT2G15480	Variable	ZT8
AT2G33830	Variable	ZT8
AT1G02930	Variable	ZT8
AT5G64572	Variable	ZT8
AT2G44080	Variable	ZT8
AT1G65490	Variable	ZT8
AT5G64570	Variable	ZT8
AT4G01870	Variable	ZT8
AT5G48010	Variable	ZT8
AT2G19800	Variable	ZT8
AT2G06050	Variable	ZT8
AT5G01600	Variable	ZT8
AT5G52310	Variable	ZT8
