tracking_id	ZT	seedling
TPM_WT_ZT24_seedling_1	ZT24	seedling1
TPM_WT_ZT24_seedling_10	ZT24	seedling10
TPM_WT_ZT24_seedling_12	ZT24	seedling12
TPM_WT_ZT24_seedling_13	ZT24	seedling13
TPM_WT_ZT24_seedling_14	ZT24	seedling14
TPM_WT_ZT24_seedling_15	ZT24	seedling15
TPM_WT_ZT24_seedling_16	ZT24	seedling16
TPM_WT_ZT24_seedling_2	ZT24	seedling2
TPM_WT_ZT24_seedling_4	ZT24	seedling4
TPM_WT_ZT24_seedling_5	ZT24	seedling5
TPM_WT_ZT24_seedling_6	ZT24	seedling6
TPM_WT_ZT24_seedling_7	ZT24	seedling7
TPM_WT_ZT24_seedling_8	ZT24	seedling8
TPM_WT_ZT24_seedling_9	ZT24	seedling9
TPM_WT_ZT10_seedling_1	ZT10	seedling1
TPM_WT_ZT10_seedling_10	ZT10	seedling10
TPM_WT_ZT10_seedling_11	ZT10	seedling11
TPM_WT_ZT10_seedling_13	ZT10	seedling13
TPM_WT_ZT10_seedling_14	ZT10	seedling14
TPM_WT_ZT10_seedling_16	ZT10	seedling16
TPM_WT_ZT10_seedling_2	ZT10	seedling2
TPM_WT_ZT10_seedling_3	ZT10	seedling3
TPM_WT_ZT10_seedling_4	ZT10	seedling4
TPM_WT_ZT10_seedling_5	ZT10	seedling5
TPM_WT_ZT10_seedling_6	ZT10	seedling6
TPM_WT_ZT10_seedling_7	ZT10	seedling7
TPM_WT_ZT10_seedling_8	ZT10	seedling8
TPM_WT_ZT10_seedling_9	ZT10	seedling9
TPM_WT_ZT12_seedling_1	ZT12	seedling1
TPM_WT_ZT12_seedling_10	ZT12	seedling10
TPM_WT_ZT12_seedling_11	ZT12	seedling11
TPM_WT_ZT12_seedling_12	ZT12	seedling12
TPM_WT_ZT12_seedling_13	ZT12	seedling13
TPM_WT_ZT12_seedling_14	ZT12	seedling14
TPM_WT_ZT12_seedling_15	ZT12	seedling15
TPM_WT_ZT12_seedling_16	ZT12	seedling16
TPM_WT_ZT12_seedling_2	ZT12	seedling2
TPM_WT_ZT12_seedling_5	ZT12	seedling5
TPM_WT_ZT12_seedling_6	ZT12	seedling6
TPM_WT_ZT12_seedling_7	ZT12	seedling7
TPM_WT_ZT12_seedling_8	ZT12	seedling8
TPM_WT_ZT12_seedling_9	ZT12	seedling9
TPM_WT_ZT14_seedling_1	ZT14	seedling1
TPM_WT_ZT14_seedling_11	ZT14	seedling11
TPM_WT_ZT14_seedling_12	ZT14	seedling12
