GO	ZT2	ZT4	ZT6	ZT8	ZT10	ZT12	ZT14	ZT16	ZT18	ZT20	ZT22	ZT24
lipid transport	2.03E-10	1.48E-07	3.04E-10	1.12E-06	3.89E-10	2.56E-12	4.33E-11	1.16E-07	2.06E-09	3.83E-10	3.23E-09	5.14E-09
hydrogen peroxide catabolic process	1.61E-04	2.79E-02	2.71E-01	2.96E-02	4.71E-01	1.66E-04	1.28E-05	1.93E-12	1.11E-04	4.84E-10	5.25E-10	5.22E-06
defense response to fungus	3.48E-04	3.25E-07	9.36E-07	2.98E-15	1.01E-09	7.39E-10	4.20E-05	4.34E-08	3.99E-05	9.74E-06	2.26E-06	2.63E-04
response to iron ion	4.64E-04	4.19E-02	4.46E-03	7.19E-03	1.75E-02	2.01E-04	2.02E-05	1.56E-03	2.69E-05	2.10E-03	6.87E-06	5.43E-04
killing of cells of other organism	3.43E-03	1.09E-05	7.16E-04	3.02E-07	3.04E-05	1.76E-04	7.07E-01	3.95E-06	7.92E-03	3.65E-05	1.77E-06	1.55E-03
response to insect	7.62E-03	1.89E-01	7.05E-02	8.67E-03	6.70E-03	1.70E-02	3.50E-02	9.17E-02	4.35E-01	6.50E-03	4.35E-02	3.50E-03
response to nitric oxide	3.80E-04	1.23E-02	4.77E-04	1.52E-01	1.64E-02	1.69E-02	1.07E-03	8.21E-05	7.25E-04	4.03E-06	3.99E-04	7.24E-03
photosystem II	5.58E-03	3.34E-01	8.30E-03	1.11E+00	4.40E-04	9.82E-05	1.78E-03	7.55E-01	9.70E-03	9.79E-04	4.06E-04	1.25E-02
glucosinolate biosynthetic process	2.46E-04	2.78E+00	2.78E+00	1.24E-03	5.18E-01	3.04E-02	1.13E-07	2.89E-01	5.02E-02	1.07E-02	1.95E-02	1.36E-02
plant-type cell wall organization	1.11E+00	3.39E-04	1.22E-01	2.43E-01	4.69E-01	6.10E-02	5.61E-01	4.37E-03	6.45E-03	3.54E-03	1.27E-01	4.92E-02
oxidation-reduction process	5.01E-06	3.59E-02	3.58E-02	4.75E-01	1.55E-01	1.96E-06	9.46E-13	7.26E-11	1.91E-07	3.17E-15	3.54E-15	1.02E-05
toxin metabolic process	8.23E-03	9.30E-01	6.91E-02	7.01E-05	4.31E-02	1.65E-03	9.99E-08	1.09E-04	9.67E-04	3.73E-03	2.55E-07	1.41E+00
glutathione metabolic process	3.42E-02	7.95E-02	1.44E-02	4.72E-05	2.93E-02	2.29E-04	1.01E-08	2.51E-04	9.94E-04	5.53E-04	3.86E-06	2.30E+00
phenylpropanoid biosynthetic process	8.60E-01	1.44E+00	6.21E-01	3.11E+00	1.01E+00	1.28E+00	9.26E-01	1.73E-02	1.19E+00	2.93E-05	1.79E-03	2.02E+00
response to acid chemical	2.10E+00	4.09E+00	3.38E-01	5.83E-02	2.98E-05	3.79E-03	4.04E-03	2.76E-01	7.00E-02	2.73E-01	1.11E-02	7.97E-01
response to salt stress	8.67E-01	8.00E-02	6.43E-03	4.30E-04	1.69E-04	1.46E-02	6.77E-06	1.10E-06	4.11E-03	5.56E-05	1.91E-02	5.70E-01
response to cold	6.93E-01	8.91E-02	4.96E-03	8.41E-03	1.98E-03	1.65E-02	4.30E-03	9.55E-02	2.88E-02	4.20E-03	2.34E-02	4.85E-01
thalianol metabolic process	8.09E-03	6.16E-03	1.09E-02	8.61E-03	7.31E-03	3.02E-02	2.64E-03	3.29E-02	1.18E-02	3.84E-02	2.48E-02	1.01E+00
nicotianamine biosynthetic process	1.36E-01	1.36E-01	1.76E-01	1.76E-01	8.84E-01	2.47E-01	7.79E-01	3.35E-02	1.53E-01	3.92E-02	2.53E-02	1.62E-01
lignin metabolic process	1.10E+00	8.65E-01	1.21E+00	1.07E+00	1.03E+00	1.01E+00	2.19E+00	3.72E-01	1.32E+00	2.48E-03	5.78E-01	1.33E+00
response to wounding	6.69E-02	7.96E-01	3.10E-01	4.13E-08	6.51E-02	1.41E-03	8.96E-07	2.29E-02	1.74E-02	2.75E-02	1.84E-01	3.44E-01
photosystem I	2.46E+00	2.38E+00	2.30E+00	2.38E+00	1.16E-03	9.86E-04	2.08E-02	9.21E-02	6.26E-04	3.69E-02	2.59E-01	1.27E+00
response to herbivore	1.79E-01	1.31E-01	1.27E-01	9.92E-01	7.56E-01	2.43E-01	4.99E-02	5.26E-02	1.10E+00	3.86E-02	2.98E-01	2.17E-01
response to water deprivation	8.99E-04	3.22E-04	1.56E-03	3.26E-05	8.58E-09	4.95E-04	4.08E-02	2.69E-01	3.66E-03	2.05E-03	1.04E-01	1.42E+00
anthocyanin biosynthetic process	3.67E-04	1.07E+00	5.92E-04	2.92E-04	2.35E-04	4.63E-03	4.42E-01	2.18E-02	4.42E-03	9.88E-01	9.51E-01	2.91E+00
response to abscisic acid	3.25E-01	6.33E-01	1.93E-01	4.86E-01	4.58E-04	8.22E-02	1.49E-03	8.81E-01	1.87E-02	3.80E-01	1.32E+00	3.24E+00
aging	2.69E+00	1.96E+00	1.03E+00	1.83E-01	1.40E-01	5.11E-01	4.49E-02	7.58E-01	2.00E-02	4.31E-01	7.58E-01	1.09E+00
response to low light intensity	1.70E+00	1.09E+00	2.20E+00	1.32E+00	3.10E-02	1.85E-01	1.08E+00	2.18E+00	3.59E-02	6.48E-01	2.25E+00	3.34E+00
ammonium ion metabolic process	4.85E-01	1.10E+00	1.38E+00	1.37E+00	3.98E-01	9.55E-01	2.05E-02	1.93E-01	4.60E-02	6.47E-01	1.78E+00	2.81E+00
response to jasmonic acid	4.65E-03	2.37E+00	4.10E-02	2.59E-07	3.92E-02	4.56E-02	3.54E-02	8.81E-03	1.69E-01	9.42E-01	2.34E+00	1.59E+00
response to bacterium	3.81E-02	4.17E-02	7.67E-02	4.38E-03	1.60E-02	1.46E-02	1.29E-03	1.19E-01	1.97E-01	1.14E-01	7.25E-01	2.48E-01
polyamine biosynthetic process	1.68E+00	1.60E+00	1.62E+00	1.64E+00	1.35E+00	1.63E+00	3.75E-02	1.96E-01	5.22E-01	1.71E+00	3.15E+00	3.01E+00
"2,4,6-trinitrotoluene catabolic process"	2.02E+00	1.52E+00	8.57E-02	8.63E-01	1.42E+00	8.83E-01	3.80E-02	1.77E-01	8.51E-01	2.01E-01	1.51E-01	2.12E+00
response to herbicide	1.90E+00	1.17E+00	6.25E-01	1.86E+00	1.07E+00	8.21E-02	4.22E-02	9.12E-01	1.68E-01	1.02E+00	2.98E-01	2.06E+00
response to salicylic acid	3.58E-01	1.59E+00	8.85E-01	1.51E-01	1.16E-01	1.58E-03	4.38E-01	3.49E-01	2.11E+00	1.08E-01	4.57E-01	2.06E+00
response to sulfur starvation	2.71E-01	2.06E-02	3.17E-03	2.24E-03	1.76E-03	1.40E-02	3.13E+00	1.39E+00	1.07E+00	4.60E-01	1.42E+00	1.21E+00
induced systemic resistance	4.18E-02	2.17E+00	2.36E-01	2.00E-01	1.20E-02	1.69E-02	7.76E-01	2.12E+00	1.02E+00	1.39E+00	2.33E+00	2.51E+00
response to ethylene	4.78E-02	2.77E-01	2.53E-01	2.30E-02	4.16E-01	3.20E-01	8.53E-01	9.94E-02	7.15E-01	4.32E-01	1.84E+00	6.38E-02
response to reactive nitrogen species	6.62E-04	2.62E-03	1.61E-04	4.14E-02	3.75E-03	7.31E-03	5.00E-03	2.09E-04	1.37E-03	1.20E-05	8.55E-04	1.17E-02
response to toxic substance	3.22E-03	9.69E-02	8.81E-04	2.01E-01	2.19E-03	5.94E-08	2.18E-14	1.82E-07	1.51E-09	1.03E-06	1.73E-08	7.89E-02
cuticle development	4.42E-01	1.06E+00	2.57E-02	1.24E+00	3.25E-01	4.16E-01	1.26E+00	1.32E+00	2.38E+00	1.67E+00	2.65E+00	1.39E+00
secondary metabolic process	9.25E-07	5.74E-03	1.17E-05	5.20E-08	1.16E-03	1.15E-08	1.07E-11	7.63E-08	4.22E-06	5.61E-18	1.72E-13	6.14E-03
response to osmotic stress	6.35E-01	4.40E-02	7.29E-03	8.18E-04	2.67E+00	2.43E-02	6.77E-06	2.96E-06	4.42E-03	6.31E-05	1.48E-02	7.92E-01
lipid catabolic process	1.06E+00	4.48E-02	3.00E-02	3.34E+00	2.89E+00	8.50E-01	5.77E-01	3.00E-01	1.20E+00	1.53E-01	1.20E-01	4.07E-03
