GO	ZT2	ZT4	ZT6	ZT8	ZT10	ZT12	ZT14	ZT16	ZT18	ZT20	ZT22	ZT24
actin filament-based process	3.59E-02	1.68E+00	2.28E+00	1.95E+00	1.87E+00	2.62E+00	2.00E+00	2.31E+00	2.07E+00	1.54E+00	8.41E-01	1.99E+00
protein phosphorylation	8.06E-04	1.63E+00	2.16E+00	5.42E-01	6.90E-01	1.84E+00	1.11E+00	1.90E+00	7.78E-02	1.14E+00	3.93E-02	3.32E-01
DNA repair	1.27E+00	1.66E-02	1.72E+00	1.98E+00	1.79E+00	1.61E-03	9.84E-03	1.44E-01	1.69E-01	1.31E-01	4.79E-01	1.29E+00
RNA modification	2.26E+00	9.47E-05	1.78E+00	2.72E+00	1.91E+00	1.89E+00	1.30E+00	2.14E+00	1.41E+00	1.46E+00	1.36E+00	1.68E+00
macromolecule methylation	1.52E+00	3.01E-02	1.83E+00	2.13E+00	2.30E+00	1.33E-01	2.55E-02	6.87E-01	6.40E-01	1.65E+00	6.60E-02	1.80E+00
RNA processing	1.91E+00	9.56E-06	2.11E+00	2.19E+00	1.90E+00	7.76E-02	4.67E-01	1.91E+00	2.84E-01	1.75E+00	4.18E-01	1.23E+00
protein ubiquitination	1.88E-01	1.61E+00	6.02E-03	4.47E-03	4.35E-02	4.43E-02	4.72E-01	1.48E+00	3.21E-01	1.01E+00	5.55E-01	1.52E+00
protein modification process	1.37E-06	1.51E+00	8.14E-04	4.47E-03	6.61E-05	2.81E-03	1.31E-01	7.27E-02	1.03E-05	3.32E-02	8.13E-04	1.19E-02
RNA interference	6.55E-01	1.81E+00	2.06E+00	1.46E+00	1.85E+00	3.53E-02	3.68E-01	2.72E+00	1.47E-01	5.65E-01	1.77E+00	1.60E+00
regulation of transcription	1.97E+00	1.40E+00	1.17E+00	2.14E+00	1.87E+00	1.60E-03	9.02E-01	1.80E+00	1.20E+00	1.61E+00	2.55E-04	1.14E+00
RNA splicing	1.75E+00	6.60E-02	2.24E+00	1.89E+00	1.89E+00	4.28E-02	2.05E-01	1.76E+00	1.44E+00	1.95E+00	7.10E-01	6.36E-01
macromolecule metabolic process	4.74E-01	2.49E-01	1.58E+00	2.00E+00	1.33E+00	1.91E-03	3.56E-02	1.40E+00	8.35E-03	4.91E-01	1.44E-01	1.51E+00
histone lysine methylation	1.91E+00	1.46E+00	1.68E+00	2.08E+00	2.00E+00	1.56E+00	3.46E-01	2.39E-02	1.82E+00	1.98E+00	3.22E-01	1.38E+00
"regulation of gene expression, epigenetic"	1.34E+00	4.09E-01	1.00E+00	1.96E+00	2.02E+00	9.88E-02	2.60E-01	1.91E+00	1.73E-02	1.90E+00	8.61E-02	1.78E+00
DNA metabolic process	1.20E+00	6.56E-03	8.17E-01	2.75E+00	1.81E+00	4.46E-04	5.38E-04	2.29E-01	8.69E-03	3.34E-01	4.86E-02	1.09E+00
cell cycle	2.31E+00	6.62E-02	2.10E+00	1.71E+00	1.21E+00	1.68E+00	1.32E+00	2.53E+00	3.81E-02	2.09E+00	1.48E+00	2.40E+00
vacuole organization	6.52E-02	1.74E+00	1.54E+00	2.09E+00	1.85E+00	2.54E+00	1.68E+00	8.29E-01	1.41E+00	4.59E-01	6.10E-03	8.34E-01
histone modification	1.83E+00	1.40E+00	1.19E+00	1.09E+00	1.78E+00	1.04E+00	6.59E-01	3.06E-01	1.31E+00	4.42E-01	2.41E-03	1.06E+00
regulation of cellular process	1.51E-01	1.53E+00	1.66E+00	1.93E+00	2.10E+00	3.09E-02	1.06E+00	2.16E+00	9.83E-02	1.74E+00	1.71E-04	1.32E+00
RNA metabolic process	1.34E+00	8.38E-05	2.75E+00	2.03E+00	1.87E+00	3.51E-02	1.13E+00	1.66E+00	5.11E-01	1.55E+00	1.81E-02	1.61E+00
macromolecule biosynthetic process	1.88E+00	7.77E-01	6.25E-01	1.30E+00	1.90E+00	5.08E-04	8.06E-01	1.75E+00	4.49E-01	1.51E+00	2.32E-03	1.22E+00
