Gene	TypeV	ZT
AT5G66400	Variable	ZT12
AT5G45428	Variable	ZT12
AT2G43620	Variable	ZT12
AT3G50480	Variable	ZT12
AT5G48850	Variable	ZT12
AT5G47990	Variable	ZT12
AT2G24940	Variable	ZT12
AT5G09670	Variable	ZT12
AT1G77120	Variable	ZT12
AT5G03545	Variable	ZT12
AT5G45430	Variable	ZT12
AT1G55010	Variable	ZT12
AT5G20790	Variable	ZT12
AT1G13609	Variable	ZT12
AT4G31940	Variable	ZT12
AT5G27889	Variable	ZT12
AT5G48000	Variable	ZT12
AT1G14960	Variable	ZT12
AT2G19800	Variable	ZT12
AT1G31258	Variable	ZT12
AT4G39675	Variable	ZT12
AT2G42540	Variable	ZT12
AT2G43020	Variable	ZT12
AT2G41240	Variable	ZT12
AT5G09672	Variable	ZT12
AT3G02480	Variable	ZT12
AT4G36670	Variable	ZT12
AT4G17245	Variable	ZT12
AT3G18000	Variable	ZT12
AT1G43800	Variable	ZT12
AT3G56970	Variable	ZT12
AT4G11460	Variable	ZT12
AT1G01580	Variable	ZT12
AT1G27020	Variable	ZT12
AT2G18193	Variable	ZT12
AT3G49580	Variable	ZT12
AT3G22231	Variable	ZT12
AT4G19690	Variable	ZT12
AT4G19112	Variable	ZT12
AT2G05540	Variable	ZT12
AT1G25472	Variable	ZT12
AT3G44006	Variable	ZT12
AT5G38930	Variable	ZT12
AT5G04150	Variable	ZT12
AT4G33070	Variable	ZT12
AT3G15356	Variable	ZT12
AT5G42800	Variable	ZT12
AT5G48010	Variable	ZT12
AT1G15125	Variable	ZT12
AT4G27450	Variable	ZT12
AT5G59330	Variable	ZT12
AT3G18217	Variable	ZT12
AT2G42530	Variable	ZT12
AT4G22485	Variable	ZT12
AT2G43018	Variable	ZT12
AT5G03350	Variable	ZT12
AT4G10270	Variable	ZT12
AT2G01520	Variable	ZT12
AT3G15450	Variable	ZT12
AT2G16060	Variable	ZT12
AT5G51720	Variable	ZT12
AT3G28220	Variable	ZT12
AT4G22513	Variable	ZT12
ATCG01020	Variable	ZT12
AT4G21870	Variable	ZT12
AT3G22235	Variable	ZT12
AT1G13420	Variable	ZT12
AT4G22510	Variable	ZT12
AT5G39890	Variable	ZT12
AT2G14247	Variable	ZT12
AT4G16690	Variable	ZT12
AT4G22490	Variable	ZT12
AT5G04790	Variable	ZT12
AT4G22520	Variable	ZT12
AT4G22517	Variable	ZT12
AT1G78830	Variable	ZT12
AT3G48360	Variable	ZT12
AT5G14120	Variable	ZT12
AT1G25470	Variable	ZT12
AT5G18600	Variable	ZT12
AT1G75750	Variable	ZT12
AT4G22505	Variable	ZT12
AT1G08090	Variable	ZT12
AT1G52000	Variable	ZT12
AT3G29250	Variable	ZT12
AT1G61800	Variable	ZT12
AT5G40590	Variable	ZT12
AT3G02550	Variable	ZT12
AT1G47400	Variable	ZT12
AT5G44568	Variable	ZT12
AT4G12550	Variable	ZT12
AT1G05340	Variable	ZT12
AT2G28630	Variable	ZT12
AT4G26055	Variable	ZT12
AT4G33560	Variable	ZT12
AT4G22880	Variable	ZT12
AT5G64120	Variable	ZT12
AT3G57520	Variable	ZT12
AT3G61898	Variable	ZT12
AT1G19070	Variable	ZT12
AT5G15120	Variable	ZT12
AT1G63245	Variable	ZT12
AT4G22870	Variable	ZT12
AT1G26250	Variable	ZT12
AT5G20250	Variable	ZT12
AT3G56980	Variable	ZT12
AT5G58390	Variable	ZT12
AT3G45730	Variable	ZT12
AT1G73120	Variable	ZT12
AT5G44572	Variable	ZT12
AT3G05727	Variable	ZT12
AT3G49570	Variable	ZT12
AT1G43310	Variable	ZT12
AT3G25572	Variable	ZT12
ATCG00070	Variable	ZT12
AT5G46900	Variable	ZT12
AT4G12490	Variable	ZT12
AT5G22920	Variable	ZT12
AT3G47420	Variable	ZT12
AT2G05380	Variable	ZT12
AT1G22400	Variable	ZT12
AT5G26260	Variable	ZT12
AT3G16530	Variable	ZT12
AT5G46890	Variable	ZT12
AT5G61590	Variable	ZT12
AT5G54060	Variable	ZT12
AT3G02040	Variable	ZT12
AT3G46700	Variable	ZT12
AT2G15128	Variable	ZT12
AT5G19120	Variable	ZT12
AT4G30140	Variable	ZT12
AT3G29590	Variable	ZT12
AT2G36854	Variable	ZT12
