"Gene"	"effect.size"	"p.value"	"q.value"	"Mean"	"CV2"	"TechNoise"	"BioVar"
"AT2G24940"	2.26251529720205	0	0	4.78571428571429	2.33209383621502	0.0695785390129745	5.06683964300493
"AT4G19112"	1.75635865495401	0	0	5.28571428571429	1.81952014384447	0.0631614888904615	4.84836903317018
"AT5G27889"	1.15855763966503	0	0	5.5	1.21932612841704	0.0607684887520104	4.3266168253466
"AT1G55010"	0.959337583801165	0	0	9	0.997150997150997	0.0378134133498318	4.72084199657378
"AT1G13609"	0.930694274794748	0	0	18.2142857142857	0.950259367698814	0.0195650929040662	5.60196747636109
"AT5G45428"	0.929640632576245	0	0	28.7857142857143	0.942659960583844	0.0130193280075991	6.17801056016065
"AT4G22505"	0.861477862666673	0	0	35.5714285714286	0.872345731396392	0.0108678687297184	6.32675907281592
"AT4G22513"	0.806396842588477	0	0	136.642857142857	0.810513898893979	0.00411705630550153	7.62107993610757
"AT5G47990"	0.805047087811491	0	0	8.21428571428571	0.846310891377054	0.041263803565563	4.35823901766584
"AT2G41240"	0.799191680212321	0	0	6.42857142857143	0.851433998100665	0.0522423178883441	4.0266038857175
"AT4G22517"	0.799187937824196	0	0	113.142857142857	0.80379847425302	0.00461053642882333	7.44575541292241
"AT4G22485"	0.797044417120697	0	0	27.7857142857143	0.81046964349348	0.0134252263727833	5.9157398300719
"AT4G22510"	0.728669324916258	0	0	13.9285714285714	0.753718707328175	0.025049382411917	4.91117926128619
"AT4G22520"	0.723374243532073	0	0	66.2142857142857	0.730018421349681	0.00664417781760857	6.77969837477059
"AT5G03545"	0.692682041551748	0	0	23.7142857142857	0.70811326864455	0.0154312270928021	5.52005545507055
"AT2G42540"	0.689816616317556	0	0	34.3571428571429	0.701007050919093	0.0111904346015372	5.9690909830415
"AT4G22490"	0.674336078583613	0	0	169	0.677998238587854	0.0036621600042405	7.53244288945801
"AT3G05727"	0.672654684064226	0	0	300.642857142857	0.675475689935591	0.00282100587136553	7.90355036970745
"AT5G38930"	0.655145286934788	0	0	10.2857142857143	0.688449667616334	0.0333043806815467	4.36956732379831
"AT5G09672"	0.65185948908769	0	0	10.9285714285714	0.683307209258766	0.0314477201710763	4.44150701148412
"AT2G14580"	0.627337696990774	0	0	5.21428571428571	0.691340560359138	0.0640028633683644	3.43318821466565
"AT5G59330"	0.616546239015932	0	0	9.5	0.652461112294907	0.0359148732789749	4.18323858708009
"AT1G29951"	0.574678921543756	0	0	9.07142857142857	0.61220830133968	0.037529379795924	4.02793025365506
"AT3G18000"	0.572625393174783	0	0	8.92857142857143	0.610727384615385	0.038101991440602	4.00259022735753
"AT3G12900"	0.533601221432442	0	0	22.1428571428571	0.550004002241255	0.0164027808088135	5.06742979203291
"AT5G64110"	0.53317046395255	0	0	12	0.561965811965812	0.0287953480132616	4.28657470129844
"AT1G52000"	0.527896823269675	0	0	14.5714285714286	0.55191790139887	0.024021078129195	4.5220808703908
"AT1G47400"	0.515401247617893	0	0	15.4285714285714	0.538184552073441	0.0227833044555481	4.56205206717206
"AT5G55450"	0.500279564000264	0	0	24.6428571428571	0.515194933191153	0.0149153691908883	5.11024681162609
"AT5G48000"	0.489883132488675	0	0	7.85714285714286	0.532943420216147	0.0430602877274726	3.62955251312062
"AT1G47395"	0.467648075764696	0	0	28.0714285714286	0.480954380260947	0.0133063044962517	5.17571819882203
"AT1G77120"	0.45268417410699	0	0	8.07142857142857	0.494647493629403	0.0419633195224127	3.55920005447409
"AT4G35770"	0.446887808677563	0	0	16.4285714285714	0.46839028646212	0.021502477784557	4.44513633747241
"AT2G14247"	0.423327276082503	0	0	19.7142857142857	0.441536199570226	0.0182089234877226	4.59981418504982
"AT5G48010"	0.401560291652971	1.66533453693773e-15	2.71702949993863e-13	6.92857142857143	0.450158195508392	0.0485979038554209	3.21146609199687
"AT4G37095"	0.391149892853454	0	0	24.7857142857143	0.405989329956807	0.0148394371033532	4.77393353848707
"AT5G04238"	0.38466807895758	0	0	10.2857142857143	0.417972459639126	0.0333043806815467	3.64962402638239
"AT1G25470"	0.381256320026084	4.44089209850063e-16	7.48963937061735e-14	7.71428571428571	0.425081776933629	0.0438254569075452	3.27789937544353
"AT5G38940"	0.381192179390537	0	0	19.5714285714286	0.399521305589823	0.0183291261992859	4.44606252562661
"AT4G29030"	0.379182264805987	0	0	48	0.387686965811966	0.00850470100597864	5.51048790477897
"AT5G08760"	0.372028417382195	0	0	17	0.392866648922012	0.0208382315398173	4.2367349483348
"AT4G33610"	0.367109638756013	0	0	11.2142857142857	0.397800503687152	0.0306908649311394	3.69616389330757
"AT5G18661"	0.365033102542694	1.15685239165941e-12	1.57857767261889e-10	6.21428571428571	0.419016839944307	0.0539837374016128	2.95641145979937
"AT5G04790"	0.363534651872416	0	0	13.1428571428571	0.389977461102225	0.0264428092298085	3.88244338620605
"AT3G61930"	0.361897589971746	0	0	10.5	0.394557823129252	0.0326602331575059	3.59462974990188
"AT4G30140"	0.356862557972421	0	0	52.8571428571429	0.364745743664663	0.00788318569224204	5.53196857442928
"AT3G56970"	0.356261839709227	0	0	15.7857142857143	0.378569077367218	0.0223072376579916	4.08497279384093
"AT4G12490"	0.355085301027278	0	0	19.5714285714286	0.373414427226564	0.0183291261992859	4.3485677532335
"AT3G25572"	0.321871784886754	0	0	14.2857142857143	0.346338461538462	0.0244666766517079	3.82329255419819
