allZT	nbZT
AT3G15470	5
AT5G08500	3
AT1G70570	3
AT1G77680	2
AT2G47070	2
AT5G66810	3
AT5G56290	2
AT1G01220	1
AT2G36390	1
AT1G53090	3
AT1G52260	3
AT2G26970	4
AT4G03000	4
AT1G05900	3
AT3G04240	2
AT2G46180	5
AT2G45140	1
AT3G52950	2
AT1G51550	5
AT5G62620	5
AT2G35795	1
AT3G25680	4
AT3G57570	1
AT5G47380	1
AT4G28600	9
AT2G05170	5
AT5G64760	2
AT2G38410	3
AT1G54440	2
AT2G22910	3
AT2G37520	8
AT4G24390	6
AT3G47910	3
AT5G64030	1
AT1G71920	5
AT3G09850	2
AT1G10320	2
AT1G08720	5
AT2G26200	5
AT4G34540	6
AT2G40760	3
AT1G45976	1
AT5G20730	1
AT2G22530	6
AT5G01560	5
AT3G44610	2
AT1G69340	3
AT3G09650	1
AT3G54280	1
AT2G25320	1
AT1G61210	2
AT2G43710	1
AT3G57630	1
AT4G30935	4
AT5G08550	5
AT4G34140	3
AT5G12430	4
AT3G10360	2
AT4G00090	3
AT5G49890	2
AT3G59380	2
AT1G35220	3
AT1G77020	4
AT4G01810	2
AT2G47960	1
AT1G18160	5
AT2G05630	1
AT2G15560	5
AT5G01290	2
AT1G54920	3
AT1G74160	4
AT2G32010	3
AT2G46920	3
AT3G20490	6
AT1G65800	2
AT4G37670	1
AT5G19280	3
AT3G15920	2
AT4G29010	1
AT1G16445	2
AT3G27700	3
AT5G22010	4
AT5G39500	3
AT2G27600	1
AT3G26370	4
AT1G17820	11
AT4G35910	4
AT5G08160	1
AT3G10550	5
AT5G40660	1
AT5G50530	2
AT4G27100	4
AT4G32770	1
AT3G13670	1
AT2G21950	3
AT1G18260	1
AT2G30910	5
AT3G63260	6
AT1G50410	1
AT5G59450	3
AT2G40280	2
AT1G49710	4
AT3G03210	3
AT5G19310	2
AT1G49670	1
AT2G39930	1
AT3G21865	1
AT1G53720	5
AT1G65580	3
AT1G54220	1
AT2G28320	3
AT1G21660	1
AT2G41520	4
AT2G43490	2
AT2G45980	1
AT4G00740	1
AT1G67560	2
AT2G30100	5
AT1G67410	5
AT2G32800	4
AT5G49960	4
AT4G38500	2
AT1G30090	3
AT1G76850	1
AT1G02270	3
AT1G71090	3
AT5G49830	4
AT3G46610	2
AT1G79230	1
AT5G57070	2
AT3G26950	3
AT5G07270	1
AT4G21530	5
AT1G53880	1
AT1G51610	2
AT4G05040	4
AT4G32160	3
AT5G41940	5
AT1G14000	3
AT3G08650	1
AT5G42130	1
AT3G05010	3
AT1G69670	7
AT1G22870	3
AT2G20725	1
AT1G21840	1
AT1G71800	2
AT3G17830	2
AT3G20910	7
AT3G53320	3
AT1G24340	2
AT4G11800	2
AT1G08190	2
AT3G21160	3
AT4G10620	2
AT4G18465	5
