"position"	"cor_less_1seedling"	"cor_less_2seedling"	"cor_less_3seedling"	"cor_less_4seedling"	"cor_less_6seedling"	"cor_less_8seedling"
1	0.993452430110959	0.987022612236832	0.980184853496484	0.974005288580187	NA	NA
2	0.993078547261861	0.986223184978085	0.98145137637741	0.973796530879875	NA	NA
3	0.991763147658084	0.989054011223379	0.980834186001814	NA	NA	NA
4	0.994118339143842	0.988125679144264	0.974736610228594	0.959673502934919	0.950460550036657	NA
5	0.992999259085444	0.981413906797871	0.954474182925019	0.960405242440683	0.951016455444954	NA
6	0.98995659808481	0.963014250048783	0.968675179767504	0.967038343155801	0.949538502397165	NA
7	0.975111252501842	0.976400002568833	0.974963452379057	0.971654447115735	NA	NA
8	0.987382885678086	0.980478263517143	0.976784561725088	0.966396595901027	NA	NA
9	0.988541021240459	0.982293529238892	0.971788559124415	0.962771030220898	NA	NA
10	0.989160531913052	0.983690551436886	0.965341614981393	0.952398640995184	0.939535622590231	NA
11	0.99178617041657	0.971784421124992	0.96075433310031	NA	0.954390511138303	NA
12	0.977932902536976	0.968760713871718	NA	0.963761959283655	NA	NA
13	0.975220112870309	0.985962599349114	0.968040642769804	NA	NA	NA
14	0.991361605871159	0.976561465140076	0.980905317265695	0.974005288580187	NA	NA
15	0.983654352438156	0.987678554699923	0.980184853496484	0.973946587595209	NA	NA
16	0.993652428499847	0.987022612236832	0.981348583168319	0.96978664034651	NA	NA
NA	NA	0.986877765794059	0.979831869183773	0.95046145894823	NA	NA
NA	NA	0.987599166360321	NA	0.962285778268049	NA	NA
NA	NA	0.986140867236222	0.968269776633328	0.969332517474707	NA	NA
NA	NA	0.983800799934212	0.967089118971861	0.97092509439347	NA	NA
NA	NA	0.968807704921305	0.974366044407855	0.967125433089804	NA	NA
NA	NA	0.979624578884687	0.977036814190473	0.95932971993354	NA	NA
NA	NA	0.983238497841028	0.978097871002238	0.955384303769145	NA	NA
NA	NA	0.983349052378064	0.969448867343626	NA	NA	NA
NA	NA	0.983427296195523	0.960692063369429	0.961952892818232	NA	NA
NA	NA	0.972908602181521	0.981446649050156	0.975227341070412	0.936131072815249	NA
NA	NA	0.96893728416841	0.975456849920222	0.973796530879875	NA	NA
NA	NA	NA	NA	0.973946587595209	NA	NA
NA	NA	0.976829819760335	0.98145137637741	0.967589837122592	NA	NA
NA	NA	0.988129395663034	0.981348583168319	0.946235858215323	NA	NA
NA	NA	0.986223184978085	NA	0.961256167185336	NA	NA
NA	NA	0.986877765794059	0.977524684142623	0.967585879752125	NA	NA
NA	NA	0.986879133618459	0.958953925051426	0.966865889685967	0.95245135338183	NA
NA	NA	0.987188920721839	0.970724507197221	0.965703967385418	NA	NA
NA	NA	NA	0.976046142289246	0.953490352425011	NA	NA
NA	NA	0.980924205492407	0.976955823166568	NA	NA	NA
NA	NA	0.978648653673473	0.98036341653183	NA	NA	NA
NA	NA	0.981545359589565	0.967005696336904	0.959518564236767	NA	NA
NA	NA	0.982965631797996	0.964827076233164	0.973279428292414	NA	NA
NA	NA	0.986051986855487	0.98178424073367	NA	NA	NA
NA	NA	0.975702944418217	0.9728413071503	0.96978664034651	NA	NA
NA	NA	0.968382394327101	0.984183325655406	0.967589837122592	NA	NA
NA	NA	0.987521833894229	0.980834186001814	0.942295111083888	NA	NA
NA	NA	0.981567329362442	0.979831869183773	0.954468271970711	NA	NA
NA	NA	NA	NA	0.962114628067469	0.950460550036657	NA
NA	NA	0.989054011223379	0.976209936570482	0.96314956847369	NA	NA
NA	NA	0.987599166360321	0.956028745295064	0.952010018542254	0.936131072815249	NA
NA	NA	0.986879133618459	0.969671848721459	0.953002903511251	NA	NA
NA	NA	NA	0.975156416419724	NA	0.949285466697655	NA
NA	NA	0.985390673892841	NA	NA	0.94727131893351	NA
NA	NA	0.971399924400031	0.979559506708134	0.952472790530124	NA	NA
NA	NA	0.981503933786163	0.963333575143906	0.968197891919622	NA	NA
NA	NA	0.983762995149047	0.962036423235317	0.959673502934919	0.949345922732944	NA
NA	NA	0.983084344175223	0.980841271819895	0.95046145894823	NA	NA
NA	NA	0.988015326894723	0.971375790732204	0.946235858215323	NA	NA
NA	NA	0.973504289807625	0.982632538838665	0.942295111083888	0.951016455444954	NA
NA	NA	0.971115052761402	0.974736610228594	0.949901718851142	NA	NA
NA	NA	0.987087493227221	NA	0.944539711376752	NA	NA
NA	NA	0.979809156149306	0.977524684142623	0.950567226841287	NA	NA
NA	NA	0.989928283219494	0.976209936570482	0.916791641112936	0.949285466697655	NA
