tracking_id	ZT	seedling
TPM_WT_ZT6_seedling_1	ZT6	seedling1
TPM_WT_ZT6_seedling_2	ZT6	seedling2
TPM_WT_ZT6_seedling_3	ZT6	seedling3
TPM_WT_ZT6_seedling_4	ZT6	seedling4
TPM_WT_ZT6_seedling_5	ZT6	seedling5
TPM_WT_ZT6_seedling_6	ZT6	seedling6
TPM_WT_ZT6_seedling_7	ZT6	seedling7
TPM_WT_ZT6_seedling_8	ZT6	seedling8
TPM_WT_ZT6_seedling_9	ZT6	seedling9
TPM_WT_ZT6_seedling_10	ZT6	seedling10
TPM_WT_ZT6_seedling_11	ZT6	seedling11
TPM_WT_ZT6_seedling_12	ZT6	seedling12
TPM_WT_ZT6_seedling_13	ZT6	seedling13
TPM_WT_ZT6_seedling_14	ZT6	seedling14
TPM_WT_ZT6_seedling_15	ZT6	seedling15
TPM_WT_ZT6_seedling_16	ZT6	seedling16
