Gene	BioVar_ZT2	BioVar_ZT4	BioVar_ZT6	BioVar_ZT8	BioVar_ZT10	BioVar_ZT12	BioVar_ZT14	BioVar_ZT16	BioVar_ZT18	BioVar_ZT20	BioVar_ZT22	BioVar_ZT24
AT2G24940	5.066839643	4.470812607	3.904487863	4.265397286	2.206053143	4.913689446	4.299034162	4.96512325	3.731255322	3.820775815	NA	4.206469349
AT4G19112	4.848369033	4.608759567	4.352136578	NA	4.398690227	4.295089993	4.627897581	3.399759989	4.473159295	3.593720549	4.567355408	5.56990692
AT5G27889	4.326616825	4.168132756	NA	2.557508104	NA	4.493089256	3.710281412	NA	4.649801615	NA	4.94280816	3.588042925
AT1G55010	4.720841997	4.346175738	3.082653175	3.459488709	2.656754533	3.732321641	3.893350016	2.942553043	2.281860743	NA	4.179267628	4.257600875
AT1G13609	5.601967476	4.738241923	4.461279528	4.497565245	4.118871543	6.447242466	5.218622395	4.794158159	6.766202454	5.111916661	4.870187099	5.924457495
AT5G45428	6.17801056	6.186047171	5.652175806	6.167326482	5.728998042	6.796734698	4.802669749	4.890522815	5.544211473	4.286277413	6.241384878	5.925262419
AT4G22505	6.326759073	5.338493213	4.50909089	4.5823281	4.145769255	4.219100746	4.868449082	4.088892813	3.740320416	4.960245956	6.231516601	3.854837289
AT4G22513	7.621079936	7.115698639	6.641478923	6.48543854	6.763556981	6.204979685	5.959191421	6.069475624	5.273935884	7.338717077	7.073546333	6.663017272
AT5G47990	4.358239018	4.521595935	4.305955048	3.273825762	3.467113225	5.327579463	4.542807309	3.446868564	3.101008906	5.160405217	4.015688685	2.089318831
AT2G41240	4.026603886	NA	NA	4.142990322	3.939730032	5.437630706	5.474658059	4.709028311	6.508410606	4.673547132	3.511050332	3.903147811
AT4G22517	7.445755413	7.212160866	6.622497235	6.371775846	6.410370184	5.780384702	5.720013384	5.842139134	4.910715537	6.811780019	7.002999625	6.416711751
AT4G22485	5.91573983	4.392638953	4.644818708	4.096615068	3.847030582	3.97572208	3.599957382	4.213728628	3.445611957	4.512862059	5.722169808	3.794145827
AT4G22510	4.911179261	3.877846594	3.298290327	3.203436192	2.857596422	3.16797335	2.492518923	2.986620964	2.504655682	3.070774392	2.889773679	3.066051838
AT4G22520	6.779698375	6.894309192	5.891302565	5.784564215	6.202938185	5.17727661	5.505097336	5.484256207	4.746935993	6.097254073	6.208437838	5.85760671
AT5G03545	5.520055455	5.207012074	4.588604119	5.242040365	3.645376879	5.419512263	4.863506647	3.592895233	4.268298628	6.668491666	4.70280881	3.804408385
AT2G42540	5.969090983	5.949471532	5.259682805	5.180282649	7.638232129	7.665976448	4.497566877	4.440397938	7.223103674	NA	NA	NA
AT4G22490	7.532442889	7.183083841	6.492895761	6.372029149	6.605832332	6.096522679	6.025854529	5.993250191	5.144696422	7.007051436	7.829514023	6.562781336
AT3G05727	7.90355037	7.088118141	5.99443415	6.826316326	6.919168014	6.081985313	5.881942389	5.981556489	5.223596072	6.633415406	8.058136311	6.507681334
AT5G38930	4.369567324	2.522181406	3.188495756	2.72156441	2.473600896	3.871785895	2.800902574	2.979873193	1.872903334	3.384205055	4.11886105	2.756162188
AT5G09672	4.441507011	3.572649677	3.524986157	2.453683092	3.292258044	4.132847286	3.292200045	2.933482607	3.936924257	NA	3.238926493	3.820806169
AT2G14580	3.433188215	2.926755649	NA	NA	NA	NA	NA	1.733958168	1.514919915	NA	3.766589199	2.467965733
AT5G59330	4.183238587	3.850470133	2.331494783	2.400690766	2.953574713	3.964141133	1.988010379	2.217750167	1.565060219	3.372210377	3.593655006	2.763392344
AT1G29951	4.027930254	1.26143443	1.841991356	0.58269037	0.951784918	2.171779832	0.428498386	1.242958001	1.536678861	3.442167175	3.306915048	3.355577059
AT3G18000	4.002590227	2.763567671	4.745554372	5.126972103	4.954949979	5.014580252	3.738759035	2.605980589	3.49195969	2.37760066	-1.435817505	0.876711835
AT3G12900	5.067429792	NA	NA	NA	NA	NA	NA	NA	3.92404156	4.782213341	4.468148288	2.720133679
AT5G64110	4.286574701	2.670161612	2.535370499	3.132958329	3.297196334	2.667338742	2.342104815	2.565516564	2.224611876	3.662320927	2.21056664	3.192219832
AT1G52000	4.52208087	2.123834688	NA	NA	NA	3.597692615	0.443176686	2.628138239	1.745281189	1.122143985	2.951617981	1.521618347
AT1G47400	4.562052067	3.450347556	4.046030486	4.61087654	4.48140312	5.804063039	5.335503134	4.122587863	6.300315144	3.701852449	4.792003263	5.03356963
AT5G55450	5.110246812	1.882360908	4.765903907	4.481735282	4.356628146	4.237233345	2.646155369	1.339410049	2.333042827	1.536783703	0.07000653	2.53589582
AT5G48000	3.629552513	4.462402754	4.377158553	3.231521095	3.561955393	5.283141508	4.249207389	3.201154401	3.057648347	4.35738688	3.613379092	1.928128107
AT1G47395	5.175718199	4.382847417	4.647304306	5.165362823	4.678198172	5.312637124	5.361408463	3.89318432	6.473441807	4.37399873	5.013936496	5.866758563
AT1G77120	3.559200054	2.680627034	4.367843453	4.051946571	4.449242313	6.063259268	3.647989527	3.244823038	2.831077473	2.425800235	3.972818333	NA
AT4G35770	4.445136337	NA	NA	NA	NA	NA	5.471982843	5.691857341	5.801059543	6.133564565	5.507928684	5.178014588
