allZT	nbZT
AT2G24940	11
AT4G19112	11
AT5G27889	8
AT1G55010	11
AT1G13609	12
AT5G45428	12
AT4G22505	12
AT4G22513	12
AT5G47990	11
AT2G41240	10
AT4G22517	12
AT4G22485	12
AT4G22510	12
AT4G22520	12
AT5G03545	12
AT2G42540	9
AT4G22490	12
AT3G05727	12
AT5G38930	12
AT5G09672	11
AT2G14580	5
AT5G59330	11
AT1G29951	6
AT3G18000	10
AT3G12900	5
AT5G64110	12
AT1G52000	6
AT1G47400	12
AT5G55450	8
AT5G48000	11
AT1G47395	12
AT1G77120	11
AT4G35770	7
AT2G14247	12
AT5G48010	11
AT4G37095	4
AT5G04238	9
AT1G25470	10
AT5G38940	12
AT4G29030	12
AT5G08760	7
AT4G33610	9
AT5G18661	5
AT5G04790	10
AT3G61930	4
AT4G30140	12
AT3G56970	8
AT4G12490	10
AT3G25572	6
AT5G02760	2
AT5G53486	10
AT1G55990	9
AT4G36850	7
AT3G02480	8
AT2G43018	7
AT3G27027	4
AT4G31940	10
AT1G61275	6
AT2G30766	12
AT5G58390	7
AT2G01520	11
AT3G56980	10
AT1G14960	11
AT3G22231	9
AT5G64570	6
AT3G28220	9
AT5G40590	5
AT3G14620	5
AT1G53542	3
AT5G20150	7
AT5G56080	12
AT1G73830	2
AT5G64572	10
ATCG00710	9
AT1G01580	9
AT2G37770	5
AT5G59320	8
AT3G12820	5
AT3G49580	7
AT5G09520	9
AT2G41100	9
AT3G13610	9
AT3G55240	3
AT1G25472	11
AT1G52400	12
AT1G16515	2
AT5G07842	5
AT2G33830	9
ATCG01020	12
AT3G23290	6
AT1G43800	11
AT5G15960	10
AT3G02040	7
AT3G29250	12
AT4G32480	1
AT5G05250	10
ATCG00640	7
AT1G28710	2
AT2G18150	3
AT3G08770	12
AT2G42610	2
AT5G02780	7
AT3G22060	7
AT1G21910	1
AT1G61280	1
AT1G49860	12
AT5G52640	1
AT3G07273	9
AT3G54363	3
AT5G04140	1
AT4G22610	2
AT5G37990	11
AT2G05380	12
AT5G33370	5
AT3G17790	8
AT3G18217	6
ATCG00905	8
ATCG00300	4
AT5G45070	8
AT1G19394	1
AT1G31258	12
AT4G39675	9
AT2G16060	12
ATCG00140	7
ATCG00580	6
AT2G39530	10
AT3G16360	6
AT4G19690	12
AT5G42800	10
AT3G21680	2
AT3G26460	2
AT5G42530	12
AT1G62500	8
AT5G51440	1
AT5G46890	12
AT2G22482	1
AT5G20820	1
AT4G12480	12
AT2G15128	7
AT5G09530	10
AT5G47500	11
AT4G22870	8
AT5G09670	11
AT5G46900	9
AT3G22121	9
AT4G22880	10
ATCG01060	9
AT1G02205	6
AT5G26220	6
AT2G19800	7
AT5G03552	4
AT1G65486	6
AT5G57560	5
AT3G47640	4
AT4G14130	2
AT1G26250	11
AT2G20670	5
AT5G54060	7
AT2G43535	11
ATCG00070	12
AT5G13580	4
AT5G07690	5
AT3G25570	4
AT1G50060	8
AT3G20380	6
AT2G36030	7
AT3G16150	2
AT5G26260	11
AT4G14630	6
AT2G34925	5
AT4G12510	12
AT5G51720	11
AT1G71030	1
AT1G66100	9
ATCG00350	11
ATCG00340	11
AT1G24530	5
AT5G47450	7
AT5G23940	9
AT5G03285	4
AT4G36430	4
AT5G45080	4
AT4G17280	4
AT3G12145	1
AT3G57157	8
AT3G17998	9
AT2G22122	1
ATCG00270	10
AT4G08770	6
AT3G29590	7
AT2G35736	2
AT2G19590	9
AT5G17220	9
AT5G54510	3
AT5G65390	2
AT1G73120	7
AT3G25770	8
AT5G63660	11
AT5G64120	12
AT3G09220	6
AT2G28790	5
AT1G67148	9
AT3G12580	2
AT3G45140	12
AT5G38020	7
AT3G58550	8
AT1G11600	3
AT5G53450	12
AT3G07720	6
AT4G08950	1
ATCG00280	9
AT3G15450	11
AT3G62450	3
AT1G74770	4
AT2G38530	8
AT1G75240	1
AT3G16660	8
ATCG00820	5
AT5G28640	1
AT4G02270	5
AT3G47510	1
AT5G01600	10
AT2G01530	11
ATCG00520	4
AT1G70850	11
AT1G11080	6
AT1G74460	9
AT1G19960	5
AT3G03190	2
AT2G29300	1
AT2G07732	6
ATCG00720	8
AT2G37130	10
AT2G22510	10
AT2G05510	9
ATCG00330	10
ATCG00020	8
AT3G23730	1
ATCG00490	7
AT1G73330	11
AT2G06925	1
AT2G22330	1
AT5G15970	11
AT5G44580	5
AT1G25098	2
AT1G08115	11
AT3G21510	8
AT4G11650	10
AT3G53980	11
AT1G62510	4
AT5G25090	3
AT5G22580	3
AT4G12545	12
AT4G11320	11
ATCG00680	6
AT4G39950	1
AT1G13590	8
ATCG00780	2
AT3G22120	6
AT4G14090	7
ATCG00730	7
AT5G25980	11
AT3G54040	11
AT5G62210	2
AT3G16530	11
AT5G14330	4
AT5G19120	6
AT2G29995	1
AT1G06360	7
AT5G22920	2
AT2G23130	5
AT2G38390	7
ATCG00120	3
AT1G76930	6
AT3G63160	3
AT1G52100	7
AT2G39310	8
AT2G27385	3
AT5G14780	8
AT4G04745	6
AT1G49310	5
AT3G22620	9
AT3G49120	3
AT1G18590	1
AT5G10580	8
AT4G27440	4
AT1G62560	4
AT5G53250	12
AT4G26320	10
AT1G62380	8
AT4G25100	9
AT5G04950	4
AT3G50740	3
AT5G64100	9
AT5G01870	3
AT4G12030	3
AT3G09440	3
AT5G64770	3
AT4G39940	2
AT5G23010	7
AT1G28290	3
AT1G29418	8
AT3G54400	1
AT2G42840	8
ATMG00020	9
AT4G16260	9
AT3G58990	5
AT2G43100	3
AT2G46650	4
AT2G05520	4
AT4G34710	5
AT1G78370	9
ATCG00920	10
AT5G20790	5
AT2G43020	4
AT1G61800	2
AT5G48850	5
AT1G09240	3
AT5G45430	11
AT5G66400	4
AT5G57080	7
AT4G11460	5
AT5G23980	2
AT4G21870	7
AT2G36854	9
AT5G15120	9
AT3G14981	7
AT4G30270	11
AT3G46700	6
AT3G49570	5
AT5G26270	4
AT1G52070	11
AT4G20390	9
AT5G37690	8
AT2G31730	3
AT1G65490	7
AT1G08090	5
AT4G38080	11
AT1G19020	7
AT4G28940	8
AT1G13420	8
AT2G23540	9
AT5G03120	3
AT5G44568	6
AT1G52060	9
AT5G24770	8
AT3G20340	1
AT3G45070	8
AT4G37070	7
AT5G54370	10
AT2G19970	3
AT2G21100	4
AT2G35380	7
AT4G12550	8
AT1G76790	4
AT5G58860	9
AT4G37410	8
AT2G38170	8
AT2G43510	4
AT5G61590	4
AT3G25820	8
AT5G44550	9
AT2G38310	5
AT3G62680	4
AT2G39800	5
AT5G09480	9
AT1G03870	5
AT1G10640	2
AT1G65845	5
AT2G48140	9
AT2G40610	8
AT1G22530	2
AT3G02470	8
AT3G30775	6
AT1G66270	11
AT1G08930	5
AT3G01420	9
AT5G24660	8
AT5G18600	4
AT3G14280	3
AT5G43580	7
AT4G30290	5
AT5G44130	5
AT2G24762	1
AT1G05240	6
AT2G21650	7
AT5G43180	4
AT3G57520	3
AT3G08520	11
AT1G78850	5
AT2G17500	8
AT4G22212	5
AT4G30450	1
AT1G02920	9
AT1G21310	9
AT3G25190	7
AT1G60590	3
AT4G33420	5
AT1G01120	2
AT1G73260	6
AT4G23680	6
AT1G09560	7
AT5G41010	4
AT1G02930	10
AT5G19240	6
AT4G04830	8
AT2G43150	8
AT5G06860	6
AT5G40730	9
AT4G03210	5
AT1G72430	4
AT1G04040	3
AT2G22470	7
AT4G21990	8
AT3G05890	11
AT1G32450	8
AT3G02468	2
AT1G29660	1
AT3G51600	6
AT2G45180	5
AT3G44006	8
AT2G43620	4
AT3G50480	7
AT2G42530	7
AT2G16005	9
AT1G15125	7
AT1G65390	3
AT4G36670	6
AT4G33070	4
AT4G15680	2
AT3G02550	6
AT1G19380	4
AT5G36920	4
AT1G66800	4
AT5G44585	5
AT4G11210	4
