allZT	nbZT
AT5G08470	1
AT2G29980	1
AT1G76550	1
AT5G05987	1
AT3G28460	1
AT3G06180	3
AT5G64850	1
AT1G59940	1
AT2G02820	1
AT5G57040	2
AT4G33950	3
AT3G14415	2
AT2G42750	2
AT1G80190	1
AT4G20390	2
AT4G26410	1
AT3G22620	1
AT1G11930	1
AT1G21600	1
AT4G00238	1
AT3G14960	1
AT5G62180	1
AT1G14450	1
AT2G18380	2
AT5G23080	1
AT2G14835	1
AT2G41800	1
AT3G10530	1
AT3G13404	1
AT1G63980	1
AT5G63610	1
AT5G11800	1
AT1G10120	3
AT4G18810	1
AT5G15600	1
AT1G63840	1
AT3G46900	1
AT1G28670	1
AT5G46180	2
AT4G01080	1
AT5G20225	1
AT3G60200	2
AT3G26440	2
AT2G03440	1
AT2G15830	1
AT1G64660	1
AT5G14930	1
AT3G01040	1
AT1G06890	1
AT1G57620	1
AT1G67550	1
AT2G39730	1
AT4G38220	1
AT5G02590	1
AT3G49180	1
AT4G39240	1
AT4G29070	2
AT1G12410	1
AT1G73650	2
AT1G54460	1
AT5G47970	1
AT1G58807	1
AT3G48100	1
AT4G15840	1
AT4G00050	1
AT3G60180	1
AT2G32650	1
AT4G16100	3
AT2G46170	1
AT3G49390	1
AT4G21110	1
AT3G20050	1
AT1G51060	2
AT4G24960	1
AT5G57625	1
AT4G36420	1
AT2G02050	1
AT1G20830	1
AT1G73670	1
AT2G33620	1
AT2G34160	1
AT1G05240	1
AT3G61420	2
AT5G58240	1
AT5G64680	1
AT5G17660	1
AT1G10430	1
AT5G12410	1
AT4G34750	2
AT5G57250	1
AT4G39990	2
AT2G29700	1
AT1G50410	1
AT1G55920	2
AT4G09580	1
AT1G69800	2
AT3G07210	2
AT5G65930	1
AT2G30270	1
AT5G66290	1
AT1G21830	2
AT5G49570	1
AT2G40690	1
AT5G15730	2
AT2G44380	1
AT4G16360	1
AT1G45010	2
AT2G31170	1
AT2G27100	2
AT3G46610	1
AT3G56640	1
AT4G08580	1
AT1G19010	1
AT5G67240	2
AT5G13960	1
AT1G62370	1
AT1G50140	2
AT4G37410	1
AT2G17250	2
AT1G20890	2
AT5G37830	1
AT1G79590	2
AT5G40760	1
AT1G18100	1
AT3G15760	1
AT3G24100	1
AT4G01250	1
AT1G21090	1
AT1G08530	1
AT3G60960	1
AT5G19330	1
AT5G01215	1
AT5G63220	2
AT1G21900	2
AT4G14147	1
AT1G08800	1
AT1G71865	1
AT4G20860	1
AT2G14080	1
AT5G23490	1
AT1G50660	1
AT3G12150	1
AT3G51840	1
AT5G17840	1
AT3G04520	1
AT4G01900	1
AT5G59050	2
AT1G30330	1
AT2G37160	1
AT2G45250	1
AT1G76860	1
AT2G23980	2
AT4G13340	1
AT3G55480	2
AT3G13180	1
AT5G52380	1
AT3G11397	1
AT5G14320	1
AT1G71170	2
AT1G69970	1
AT5G40170	2
AT2G35390	1
AT1G52740	1
AT3G46940	1
AT3G62650	1
AT3G29350	1
AT3G22290	2
AT5G14780	1
AT5G27470	1
AT1G69840	1
AT1G10960	2
AT1G77720	1
AT3G50000	2
AT2G33210	1
AT5G02670	1
AT5G35520	1
AT2G30945	2
AT5G56790	1
AT2G25210	2
AT1G53233	1
AT2G21600	1
AT3G56330	2
AT1G24240	1
AT2G03760	2
AT2G27770	1
AT5G51740	2
AT1G78882	2
AT4G02080	1
AT2G37555	1
AT1G80240	1
AT3G04860	1
AT3G23255	1
AT5G47860	2
AT5G56660	1
AT1G64940	1
ATCG00710	3
AT4G17100	1
AT5G04470	1
AT3G30775	1
AT2G02860	1
AT5G23140	1
AT1G55300	3
AT3G09800	1
AT5G54270	1
AT4G10340	1
AT5G09445	1
AT3G04830	1
AT1G02990	1
AT2G40860	1
AT5G64860	1
AT3G50370	2
AT4G13100	1
AT1G74390	1
AT5G07350	1
AT4G38150	1
AT1G20930	1
AT3G11560	1
AT3G45830	2
AT5G20400	1
AT1G69370	1
AT1G13870	1
AT5G49448	2
AT5G14620	1
AT4G11860	1
AT2G21370	1
AT5G08710	1
AT5G15020	1
AT3G48440	1
AT3G22330	1
AT1G72630	2
AT5G24500	1
AT4G14500	2
AT1G20780	3
AT4G34910	2
AT3G57340	1
AT5G64150	1
AT5G24320	1
AT5G59550	1
AT3G52240	1
AT4G30020	1
AT2G32970	2
AT3G18217	2
AT2G46270	1
AT1G15500	1
AT1G21560	3
AT1G31160	2
AT5G04170	2
AT5G49530	2
AT2G02560	1
AT2G21870	2
AT3G44450	1
AT1G31050	1
AT5G02030	1
AT1G06645	2
AT1G17760	1
AT4G32880	1
AT1G71870	2
AT1G03740	2
AT5G11980	1
AT5G05100	2
AT4G05460	2
AT5G16880	2
AT3G01810	1
AT1G20200	1
AT2G38695	1
AT5G23580	1
