gene_name	type	chromsome	start	stop	length	strand
AT1G01010	protein_coding_gene	Chr1	3631	5899	2269	+
AT1G01020	protein_coding_gene	Chr1	5928	8737	2810	-
AT1G01030	protein_coding_gene	Chr1	11649	13714	2066	-
AT1G01040	protein_coding_gene	Chr1	23146	31227	8082	+
AT1G01046	miRNA	Chr1	28500	28706	207	+
AT1G01050	protein_coding_gene	Chr1	31170	33153	1984	-
AT1G01060	protein_coding_gene	Chr1	33379	37871	4493	-
AT1G01070	protein_coding_gene	Chr1	38752	40944	2193	-
AT1G01073	protein_coding_gene	Chr1	44677	44787	111	+
AT1G01080	protein_coding_gene	Chr1	45296	47019	1724	-
AT1G01090	protein_coding_gene	Chr1	47485	49286	1802	-
AT1G01100	protein_coding_gene	Chr1	50075	51199	1125	-
AT1G01110	protein_coding_gene	Chr1	52239	54692	2454	+
AT1G01115	protein_coding_gene	Chr1	56624	56740	117	+
AT1G01120	protein_coding_gene	Chr1	57269	59167	1899	-
AT1G01130	protein_coding_gene	Chr1	61905	63811	1907	-
AT1G01140	protein_coding_gene	Chr1	64166	67625	3460	-
AT1G01150	protein_coding_gene	Chr1	70115	72138	2024	-
AT1G01160	protein_coding_gene	Chr1	72339	74096	1758	+
AT1G01170	protein_coding_gene	Chr1	73931	74737	807	-
AT1G01180	protein_coding_gene	Chr1	75583	76758	1176	+
AT1G01183	miRNA	Chr1	78932	79032	101	-
AT1G01190	protein_coding_gene	Chr1	83045	84864	1820	-
AT1G01200	protein_coding_gene	Chr1	86515	88213	1699	-
AT1G01210	protein_coding_gene	Chr1	88898	89745	848	+
AT1G01220	protein_coding_gene	Chr1	91376	95651	4276	+
AT1G01225	protein_coding_gene	Chr1	95987	97407	1421	+
AT1G01230	protein_coding_gene	Chr1	97456	99240	1785	+
AT1G01240	protein_coding_gene	Chr1	99894	101834	1941	+
AT1G01250	protein_coding_gene	Chr1	104491	105330	840	-
AT1G01260	protein_coding_gene	Chr1	108946	111609	2664	+
AT1G01270	tRNA	Chr1	111890	111961	72	-
AT1G01280	protein_coding_gene	Chr1	112263	113947	1685	+
AT1G01290	protein_coding_gene	Chr1	114286	116108	1823	+
AT1G01300	protein_coding_gene	Chr1	116943	118764	1822	+
AT1G01305	protein_coding_gene	Chr1	119397	119997	601	+
AT1G01310	protein_coding_gene	Chr1	120154	121130	977	+
AT1G01320	protein_coding_gene	Chr1	121067	130577	9511	-
AT1G01340	protein_coding_gene	Chr1	132328	135831	3504	-
AT1G01350	protein_coding_gene	Chr1	136124	138162	2039	+
AT1G01355	protein_coding_gene	Chr1	138513	139568	1056	+
AT1G01360	protein_coding_gene	Chr1	141971	143183	1213	+
AT1G01370	protein_coding_gene	Chr1	143564	145684	2121	+
AT1G01380	protein_coding_gene	Chr1	147153	147942	790	+
AT1G01390	protein_coding_gene	Chr1	148120	149806	1687	-
AT1G01400	protein_coding_gene	Chr1	150689	152210	1522	-
AT1G01410	protein_coding_gene	Chr1	153113	154198	1086	+
AT1G01420	protein_coding_gene	Chr1	154492	156011	1520	-
AT1G01430	protein_coding_gene	Chr1	156801	158655	1855	-
AT1G01440	protein_coding_gene	Chr1	159856	162572	2717	-
AT1G01448	other_RNA	Chr1	163419	166239	2821	+
AT1G01450	protein_coding_gene	Chr1	164105	165517	1413	-
AT1G01453	protein_coding_gene	Chr1	166589	167842	1254	-
AT1G01460	protein_coding_gene	Chr1	168723	171165	2443	+
AT1G01470	protein_coding_gene	Chr1	172146	172948	803	-
AT1G01471	protein_coding_gene	Chr1	173251	173466	216	+
AT1G01480	protein_coding_gene	Chr1	175782	178400	2619	+
AT1G01490	protein_coding_gene	Chr1	180059	182358	2300	-
AT1G01500	protein_coding_gene	Chr1	185133	186923	1791	+
AT1G01510	protein_coding_gene	Chr1	187211	190056	2846	+
AT1G01520	protein_coding_gene	Chr1	190596	192139	1544	+
AT1G01530	protein_coding_gene	Chr1	192640	193670	1031	-
AT1G01540	protein_coding_gene	Chr1	195780	198684	2905	+
AT1G01550	protein_coding_gene	Chr1	199639	201775	2137	+
AT1G01560	protein_coding_gene	Chr1	202136	204335	2200	+
AT1G01570	protein_coding_gene	Chr1	205176	207435	2260	+
AT1G01580	protein_coding_gene	Chr1	209395	213041	3647	+
AT1G01590	protein_coding_gene	Chr1	214229	217304	3076	+
AT1G01600	protein_coding_gene	Chr1	218994	221286	2293	+
AT1G01610	protein_coding_gene	Chr1	221691	224340	2650	-
AT1G01620	protein_coding_gene	Chr1	225665	227302	1638	-
AT1G01630	protein_coding_gene	Chr1	229013	230917	1905	+
AT1G01640	protein_coding_gene	Chr1	230994	232508	1515	-
AT1G01650	protein_coding_gene	Chr1	232841	237817	4977	-
AT1G01660	protein_coding_gene	Chr1	240057	242608	2552	-
AT1G01670	protein_coding_gene	Chr1	242843	245988	3146	-
AT1G01680	protein_coding_gene	Chr1	246411	248367	1957	-
AT1G01690	protein_coding_gene	Chr1	249141	252462	3322	+
AT1G01695	protein_coding_gene	Chr1	252947	254495	1549	+
AT1G01700	protein_coding_gene	Chr1	259495	261474	1980	-
AT1G01710	protein_coding_gene	Chr1	262828	267771	4944	+
AT1G01720	protein_coding_gene	Chr1	268330	269819	1490	+
AT1G01725	protein_coding_gene	Chr1	269792	270775	984	-
AT1G01730	protein_coding_gene	Chr1	270956	272061	1106	+
AT1G01740	protein_coding_gene	Chr1	272111	274569	2459	-
AT1G01750	protein_coding_gene	Chr1	275366	276310	945	+
AT1G01760	protein_coding_gene	Chr1	276266	278448	2183	-
AT1G01770	protein_coding_gene	Chr1	278615	282891	4277	+
AT1G01780	protein_coding_gene	Chr1	282761	284245	1485	+
AT1G01790	protein_coding_gene	Chr1	284610	291094	6485	+
AT1G01800	protein_coding_gene	Chr1	293342	295040	1699	+
AT1G01810	protein_coding_gene	Chr1	295221	295859	639	+
AT1G01820	protein_coding_gene	Chr1	296001	298120	2120	-
AT1G01830	protein_coding_gene	Chr1	298535	302315	3781	-
AT1G01840	protein_coding_gene	Chr1	303537	304358	822	+
AT1G01860	protein_coding_gene	Chr1	304133	306287	2155	-
AT1G01870	tRNA	Chr1	306384	306456	73	+
AT1G01880	protein_coding_gene	Chr1	306480	309109	2630	-
AT1G01890	tRNA	Chr1	309275	309347	73	-
AT1G01900	protein_coding_gene	Chr1	310316	313130	2815	+
